github.com/RoaringBitmap/roaring	v0.4.18
github.com/anacrolix/dht/v2	v2.2.1-0.20191103020011-1dba080fb358
github.com/anacrolix/go-libutp	v1.0.2
github.com/anacrolix/log	v0.3.1-0.20191001111012-13cede988bcd
github.com/anacrolix/missinggo	v1.2.1
github.com/anacrolix/missinggo/perf	v1.0.0
github.com/anacrolix/missinggo/v2	v2.2.1-0.20191103010835-12360f38ced0
github.com/anacrolix/mmsg	v1.0.0
github.com/anacrolix/stm	v0.1.0
github.com/anacrolix/sync	v0.2.0
github.com/anacrolix/torrent	v1.9.0
github.com/anacrolix/upnp	v0.1.1
github.com/benbjohnson/immutable	v0.2.0
github.com/bradfitz/iter	v0.0.0-20190303215204-33e6a9893b0c
github.com/davecgh/go-spew	v1.1.1
github.com/dustin/go-humanize	v1.0.0
github.com/edsrzf/mmap-go	v1.0.0
github.com/etcd-io/bbolt	v1.3.3
github.com/glycerine/go-unsnap-stream	v0.0.0-20181221182339-f9677308dec2
github.com/golang/snappy	v0.0.1
github.com/google/btree	v1.0.0
github.com/huandu/xstrings	v1.2.0
github.com/mattn/go-sqlite3	v1.10.0
github.com/philhofer/fwd	v1.0.0
github.com/pkg/errors	v0.8.1
github.com/ryszard/goskiplist	v0.0.0-20150312221310-2dfbae5fcf46
github.com/spaolacci/murmur3	v1.1.0
github.com/tinylib/msgp	v1.1.0
github.com/willf/bitset	v1.1.10
github.com/willf/bloom	v2.0.3+incompatible
golang.org/x/net	v0.0.0-20190628185345-da137c7871d7
golang.org/x/sys	v0.0.0-20190910064555-bbd175535a8b
golang.org/x/time	v0.0.0-20191024005414-555d28b269f0
golang.org/x/xerrors	v0.0.0-20190717185122-a985d3407aa7
