module,syft,trivy,cdxgen,cyclonedx-gomod,total
github.com/stretchr/testify,136,104,6,0,246
github.com/pmezard/go-difflib,137,101,6,0,244
github.com/davecgh/go-spew,123,95,9,0,227
gopkg.in/check.v1,158,57,3,0,218
gopkg.in/yaml.v3,97,74,7,1,179
github.com/kr/pretty,103,39,3,1,146
github.com/kr/text,107,35,2,1,145
golang.org/x/tools,43,60,10,24,137
github.com/inconshreveable/mousetrap,39,45,9,40,133
github.com/google/go-cmp,86,34,2,0,122
golang.org/x/mod,35,46,8,18,107
github.com/rogpeppe/go-internal,68,28,2,1,99
golang.org/x/sys,27,36,10,14,87
github.com/stretchr/objx,31,48,3,0,82
golang.org/x/net,31,38,5,2,76
golang.org/x/text,27,34,9,4,74
gopkg.in/yaml.v2,36,30,6,2,74
golang.org/x/sync,25,36,7,6,74
github.com/microsoft/go-winio,27,29,2,15,73
golang.org/x/crypto,17,38,7,1,63
golang.org/x/exp,26,27,6,3,62
github.com/mattn/go-isatty,18,24,11,6,59
github.com/pkg/errors,30,22,6,1,59
github.com/go-ole/go-ole,20,23,3,11,57
github.com/google/uuid,23,23,8,0,54
golang.org/x/term,21,25,5,2,53
github.com/yusufpapurcu/wmi,19,19,3,9,50
github.com/fsnotify/fsnotify,21,18,5,5,49
github.com/google/pprof,18,21,4,6,49
github.com/power-devops/perfstat,18,18,3,8,47
github.com/onsi/gomega,29,17,1,0,47
github.com/mitchellh/go-homedir,14,18,5,10,47
github.com/sirupsen/logrus,19,21,2,3,45
github.com/mattn/go-colorable,14,20,7,4,45
github.com/lufia/plan9stats,17,17,3,7,44
golang.org/x/xerrors,13,28,2,1,44
go.uber.org/goleak,37,5,1,0,43
go.opentelemetry.io/otel/sdk,27,10,3,0,40
go.opentelemetry.io/otel/sdk/metric,28,7,3,0,38
github.com/frankban/quicktest,33,4,0,0,37
github.com/klauspost/compress,16,13,7,1,37
github.com/golang/protobuf,21,15,0,0,36
github.com/azure/go-ansiterm,14,16,0,5,35
github.com/opencontainers/go-digest,17,14,3,1,35
google.golang.org/appengine,8,21,0,6,35
github.com/ebitengine/purego,13,13,2,6,34
github.com/mattn/go-sqlite3,19,14,1,0,34
google.golang.org/protobuf,17,13,4,0,34
github.com/go-logr/logr,15,11,7,1,34
dario.cat/mergo,16,14,3,1,34
github.com/gogo/protobuf,12,19,2,0,33
github.com/spf13/cast,9,14,5,4,32
github.com/spf13/pflag,12,13,4,3,32
github.com/moby/term,16,14,2,0,32
github.com/opencontainers/image-spec,16,13,2,1,32
