repo,n_require,n_linux_imp,n_test_only,n_win_only,n_unreached
sourcegraph__zoekt,138,122,10,4,3
seborama__govcr,28,17,12,0,0
shopify__toxiproxy,22,22,0,0,1
vladopajic__go-actor,7,2,5,0,1
tdewolff__canvas,79,64,1,0,15
mongodb__mongo-go-driver,10,9,1,0,1
nilpoona__leakhound,4,5,0,0,0
1set__todotxt,1,2,0,0,0
tendermint__tendermint,258,66,12,1,180
golang__tools,7,6,1,1,0
slotix__dataflowkit,30,33,3,1,5
box-cli-maker__box-cli-maker,12,12,0,0,1
posener__cmd,3,6,4,0,0
beego__beego,78,72,7,0,0
SeldonIO__goven,21,5,17,0,0
ip2location__ip2location-io-go,2,3,0,0,0
elgs__gojq,1,2,0,0,0
wlevene__ini,1,3,0,0,0
go-gitea__gitea,268,259,0,4,6
taubyte__tau,330,299,2,4,26
bhope__hedge,6,7,0,0,0
DylanMeeus__hasgo,2,3,0,0,0
Mutasem-mk4__gspy,21,18,0,3,1
go-playground__log,4,5,0,0,0
aragossa__pii-shield,15,14,1,0,1
