cel.dev/expr	v0.25.1
cloud.google.com/go/auth	v0.7.2
cloud.google.com/go/auth/oauth2adapt	v0.2.3
cloud.google.com/go/compute/metadata	v0.9.0
dario.cat/mergo	v1.0.0
filippo.io/edwards25519	v1.2.0
github.com/99designs/go-keychain	v0.0.0-20191008050251-8e49817e8af4
github.com/99designs/keyring	v1.2.1
github.com/AthenZ/athenz	v1.10.39
github.com/Azure/go-ansiterm	v0.0.0-20210617225240-d185dfc1b5a1
github.com/BurntSushi/toml	v0.3.1
github.com/ClickHouse/ch-go	v0.71.0
github.com/ClickHouse/clickhouse-go/v2	v2.45.0
github.com/DATA-DOG/go-sqlmock	v1.5.2
github.com/DataDog/zstd	v1.5.0
github.com/GoogleCloudPlatform/opentelemetry-operations-go/detectors/gcp	v1.31.0
github.com/Microsoft/go-winio	v0.6.2
github.com/Microsoft/hcsshim	v0.11.5
github.com/adrg/frontmatter	v0.2.0
github.com/alecthomas/assert/v2	v2.11.0
github.com/alecthomas/chroma/v2	v2.26.1
github.com/alecthomas/kingpin/v2	v2.4.0
github.com/alecthomas/repr	v0.5.2
github.com/alecthomas/units	v0.0.0-20240927000941-0f3dac36c52b
github.com/andybalholm/brotli	v1.2.1
github.com/anthropics/anthropic-sdk-go	v1.46.0
github.com/antihax/optional	v1.0.0
github.com/antlr4-go/antlr/v4	v4.13.1
github.com/apache/pulsar-client-go	v0.14.0
github.com/ardielle/ardielle-go	v1.5.2
github.com/ardielle/ardielle-tools	v1.5.4
github.com/aws/aws-sdk-go	v1.32.6
github.com/aws/aws-sdk-go-v2	v1.30.3
github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream	v1.6.3
github.com/aws/aws-sdk-go-v2/config	v1.27.27
github.com/aws/aws-sdk-go-v2/credentials	v1.17.27
github.com/aws/aws-sdk-go-v2/feature/ec2/imds	v1.16.11
github.com/aws/aws-sdk-go-v2/internal/configsources	v1.3.15
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2	v2.6.15
github.com/aws/aws-sdk-go-v2/internal/ini	v1.8.0
github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding	v1.11.3
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url	v1.11.17
github.com/aws/aws-sdk-go-v2/service/sso	v1.22.4
github.com/aws/aws-sdk-go-v2/service/ssooidc	v1.26.4
github.com/aws/aws-sdk-go-v2/service/sts	v1.30.3
github.com/aws/smithy-go	v1.20.3
github.com/bahlo/generic-list-go	v0.2.0
github.com/beorn7/perks	v1.0.1
github.com/bits-and-blooms/bitset	v1.4.0
github.com/bmatcuk/doublestar/v4	v4.10.0
github.com/bmizerany/perks	v0.0.0-20141205001514-d9a9656a3a4b
github.com/buger/jsonparser	v1.1.2
github.com/cenkalti/backoff/v4	v4.3.0
github.com/cenkalti/backoff/v5	v5.0.3
github.com/cespare/xxhash/v2	v2.3.0
github.com/cncf/xds/go	v0.0.0-20260202195803-dba9d589def2
github.com/coder/websocket	v1.8.14
github.com/containerd/containerd	v1.7.18
github.com/containerd/errdefs	v1.0.0
github.com/containerd/errdefs/pkg	v0.3.0
github.com/containerd/log	v0.1.0
github.com/coreos/go-oidc/v3	v3.18.0
github.com/cpuguy83/dockercfg	v0.3.1
github.com/cpuguy83/go-md2man/v2	v2.0.6
github.com/creack/pty	v1.1.24
github.com/danieljoos/wincred	v1.1.2
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/dimfeld/httptreemux	v5.0.1+incompatible
github.com/distribution/reference	v0.6.0
github.com/dlclark/regexp2	v1.7.0
github.com/dlclark/regexp2/v2	v2.1.1
github.com/dnaeon/go-vcr	v1.2.0
github.com/docker/docker	v27.1.1+incompatible
github.com/docker/go-connections	v0.7.0
github.com/docker/go-units	v0.5.0
github.com/dustin/go-humanize	v1.0.1
github.com/dvsekhvalnov/jose2go	v1.6.0
github.com/elastic/go-sysinfo	v1.15.4
github.com/elastic/go-windows	v1.0.2
github.com/envoyproxy/go-control-plane	v0.14.0
github.com/envoyproxy/go-control-plane/envoy	v1.37.0
github.com/envoyproxy/go-control-plane/ratelimit	v0.1.0
github.com/envoyproxy/protoc-gen-validate	v1.3.3
github.com/ettle/strcase	v0.2.0
github.com/felixge/httpsnoop	v1.0.4
github.com/frankban/quicktest	v1.14.6
github.com/fsnotify/fsnotify	v1.10.1
github.com/go-faster/city	v1.0.1
github.com/go-faster/errors	v0.7.1
github.com/go-jose/go-jose/v4	v4.1.4
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/go-ole/go-ole	v1.2.6
github.com/go-sql-driver/mysql	v1.9.3
github.com/go-test/deep	v1.1.1
github.com/go-viper/mapstructure/v2	v2.4.0
github.com/godbus/dbus	v0.0.0-20190726142602-4481cbc300e2
github.com/gogo/protobuf	v1.3.2
github.com/golang-jwt/jwt	v3.2.1+incompatible
github.com/golang-jwt/jwt/v4	v4.5.2
github.com/golang-jwt/jwt/v5	v5.3.0
github.com/golang-sql/civil	v0.0.0-20220223132316-b832511892a9
github.com/golang-sql/sqlexp	v0.1.0
github.com/golang/glog	v1.2.5
github.com/golang/groupcache	v0.0.0-20210331224755-41bb18bfe9da
github.com/golang/mock	v1.4.3
github.com/golang/protobuf	v1.5.4
github.com/golang/snappy	v0.0.4
github.com/google/go-cmp	v0.7.0
github.com/google/gofuzz	v1.0.0
github.com/google/jsonschema-go	v0.4.2
github.com/google/pprof	v0.0.0-20250317173921-a4b03ec1a45e
github.com/google/s2a-go	v0.1.7
github.com/google/uuid	v1.6.0
github.com/googleapis/enterprise-certificate-proxy	v0.3.2
github.com/gorilla/mux	v1.7.4
github.com/gorilla/websocket	v1.5.3
github.com/grpc-ecosystem/grpc-gateway/v2	v2.29.0
github.com/gsterjov/go-libsecret	v0.0.0-20161001094733-a6f4afe4910c
github.com/hamba/avro/v2	v2.22.2-0.20240625062549-66aad10411d9
github.com/hashicorp/errwrap	v1.1.0
github.com/hashicorp/go-multierror	v1.1.1
github.com/hashicorp/golang-lru/v2	v2.0.7
github.com/hexops/gotextdiff	v1.0.3
github.com/inconshreveable/mousetrap	v1.1.0
github.com/invopop/jsonschema	v0.13.0
github.com/jackc/pgpassfile	v1.0.0
github.com/jackc/pgservicefile	v0.0.0-20240606120523-5a60cdf6a761
github.com/jackc/pgx/v5	v5.9.2
github.com/jackc/puddle/v2	v2.2.2
github.com/jawher/mow.cli	v1.2.0
github.com/jmespath/go-jmespath	v0.3.0
github.com/joho/godotenv	v1.5.1
github.com/jonboulle/clockwork	v0.5.0
github.com/josharian/intern	v1.0.0
github.com/jpillora/backoff	v1.0.0
github.com/json-iterator/go	v1.1.12
github.com/julienschmidt/httprouter	v1.3.0
github.com/kisielk/errcheck	v1.5.0
github.com/kisielk/gotool	v1.0.0
github.com/kisielk/sqlstruct	v0.0.0-20201105191214-5f3e10d3ab46
github.com/klauspost/compress	v1.18.5
github.com/kr/pretty	v0.3.1
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.2.0
github.com/kylelemons/godebug	v1.1.0
github.com/larksuite/oapi-sdk-go/v3	v3.9.3
github.com/lufia/plan9stats	v0.0.0-20211012122336-39d0f177ccd0
github.com/magiconair/properties	v1.8.7
github.com/mailru/easyjson	v0.7.7
github.com/mattn/go-isatty	v0.0.22
github.com/matttproud/golang_protobuf_extensions	v1.0.4
github.com/mfridman/interpolate	v0.0.2
github.com/mfridman/xflag	v0.1.0
github.com/microsoft/go-mssqldb	v1.9.8
github.com/mitchellh/mapstructure	v1.5.0
github.com/moby/docker-image-spec	v1.3.1
github.com/moby/moby/api	v1.54.2
github.com/moby/moby/client	v0.4.1
github.com/moby/patternmatcher	v0.6.0
github.com/moby/sys/sequential	v0.5.0
github.com/moby/sys/user	v0.1.0
github.com/moby/term	v0.5.0
github.com/modelcontextprotocol/go-sdk	v1.3.1
github.com/modern-go/concurrent	v0.0.0-20180306012644-bacd9c7ef1dd
github.com/modern-go/reflect2	v1.0.2
github.com/morikuni/aec	v1.0.0
github.com/mtibben/percent	v0.2.1
github.com/munnerz/goautoneg	v0.0.0-20191010083416-a7dc8b61c822
github.com/mwitkow/go-conntrack	v0.0.0-20190716064945-2f068394615f
github.com/ncruces/go-strftime	v1.0.0
github.com/niemeyer/pretty	v0.0.0-20200227124842-a10e7caefd8e
github.com/nxadm/tail	v1.4.8
github.com/onsi/ginkgo	v1.16.5
github.com/onsi/gomega	v1.19.0
github.com/opencontainers/go-digest	v1.0.0
github.com/opencontainers/image-spec	v1.1.1
github.com/opentracing/opentracing-go	v1.2.0
github.com/paulmach/orb	v0.13.0
github.com/pelletier/go-toml/v2	v2.2.4
github.com/pierrec/lz4	v2.0.5+incompatible
github.com/pierrec/lz4/v4	v4.1.26
github.com/pkg/errors	v0.9.1
github.com/planetscale/vtprotobuf	v0.6.1-0.20240319094008-0393e58bdf10
github.com/pmezard/go-difflib	v1.0.1-0.20181226105442-5d4384ee4fb2
github.com/power-devops/perfstat	v0.0.0-20210106213030-5aafc221ea8c
github.com/pressly/goose/v3	v3.27.1
github.com/prometheus/client_golang	v1.23.2
github.com/prometheus/client_model	v0.6.2
github.com/prometheus/common	v0.67.5
github.com/prometheus/otlptranslator	v1.0.0
github.com/prometheus/procfs	v0.20.1
github.com/remyoudompheng/bigfft	v0.0.0-20230129092748-24d4a6f8daec
github.com/robfig/cron/v3	v3.0.1
github.com/rogpeppe/fastuuid	v1.2.0
github.com/rogpeppe/go-internal	v1.14.1
github.com/russross/blackfriday/v2	v2.1.0
github.com/sagikazarmark/locafero	v0.11.0
github.com/sashabaranov/go-openai	v1.41.2
github.com/segmentio/asm	v1.2.1
github.com/segmentio/encoding	v0.5.4
github.com/sethvargo/go-retry	v0.3.0
github.com/shirou/gopsutil/v3	v3.23.12
github.com/shoenig/go-m1cpu	v0.1.6
github.com/shopspring/decimal	v1.4.0
github.com/sirupsen/logrus	v1.9.3
github.com/slack-go/slack	v0.24.0
github.com/sony/gobreaker	v1.0.0
github.com/sourcegraph/conc	v0.3.1-0.20240121214520-5f936abd7ae8
github.com/spaolacci/murmur3	v1.1.0
github.com/spf13/afero	v1.15.0
github.com/spf13/cast	v1.10.0
github.com/spf13/cobra	v1.10.2
github.com/spf13/pflag	v1.0.10
github.com/spf13/viper	v1.21.0
github.com/spiffe/go-spiffe/v2	v2.6.0
github.com/standard-webhooks/standard-webhooks/libraries	v0.0.1
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.11.1
github.com/subosito/gotenv	v1.6.0
github.com/testcontainers/testcontainers-go	v0.32.0
github.com/tidwall/gjson	v1.18.0
github.com/tidwall/match	v1.1.1
github.com/tidwall/pretty	v1.2.1
github.com/tidwall/sjson	v1.2.5
github.com/tklauser/go-sysconf	v0.3.12
github.com/tklauser/numcpus	v0.6.1
github.com/tursodatabase/libsql-client-go	v0.0.0-20251219100830-236aa1ff8acc
github.com/vertica/vertica-sql-go	v1.3.6
github.com/wk8/go-ordered-map/v2	v2.1.8
github.com/xhit/go-str2duration/v2	v2.1.0
github.com/ydb-platform/ydb-go-genproto	v0.0.0-20260311095541-ebbf792c1180
github.com/ydb-platform/ydb-go-sdk/v3	v3.135.0
github.com/yosida95/uritemplate/v3	v3.0.2
github.com/yuin/goldmark	v1.8.2
github.com/yuin/goldmark-highlighting/v2	v2.0.0-20230729083705-37449abec8cc
github.com/yusufpapurcu/wmi	v1.2.3
github.com/ziutek/mymysql	v1.5.4
go.opencensus.io	v0.24.0
go.opentelemetry.io/auto/sdk	v1.2.1
go.opentelemetry.io/contrib/detectors/gcp	v1.42.0
go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc	v0.49.0
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp	v0.69.0
go.opentelemetry.io/contrib/instrumentation/runtime	v0.69.0
go.opentelemetry.io/otel	v1.44.0
go.opentelemetry.io/otel/exporters/otlp/otlpmetric/otlpmetricgrpc	v1.44.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace	v1.44.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc	v1.44.0
go.opentelemetry.io/otel/exporters/prometheus	v0.66.0
go.opentelemetry.io/otel/metric	v1.44.0
go.opentelemetry.io/otel/metric/x	v0.66.0
go.opentelemetry.io/otel/sdk	v1.44.0
go.opentelemetry.io/otel/sdk/metric	v1.44.0
go.opentelemetry.io/otel/trace	v1.44.0
go.opentelemetry.io/proto/otlp	v1.10.0
go.uber.org/atomic	v1.11.0
go.uber.org/goleak	v1.3.0
go.uber.org/multierr	v1.11.0
go.yaml.in/yaml/v2	v2.4.4
go.yaml.in/yaml/v3	v3.0.4
golang.org/x/crypto	v0.53.0
golang.org/x/exp	v0.0.0-20260410095643-746e56fc9e2f
golang.org/x/mod	v0.36.0
golang.org/x/net	v0.55.0
golang.org/x/oauth2	v0.36.0
golang.org/x/sync	v0.21.0
golang.org/x/sys	v0.46.0
golang.org/x/term	v0.44.0
golang.org/x/text	v0.38.0
golang.org/x/time	v0.15.0
golang.org/x/tools	v0.45.0
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
gonum.org/v1/gonum	v0.17.0
google.golang.org/api	v0.189.0
google.golang.org/appengine	v1.6.7
google.golang.org/genproto/googleapis/api	v0.0.0-20260526163538-3dc84a4a5aaa
google.golang.org/genproto/googleapis/rpc	v0.0.0-20260526163538-3dc84a4a5aaa
google.golang.org/grpc	v1.81.1
google.golang.org/protobuf	v1.36.11
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/natefinch/lumberjack.v2	v2.2.1
gopkg.in/square/go-jose.v2	v2.4.1
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.1
howett.net/plist	v1.0.1
modernc.org/cc/v4	v4.28.2
modernc.org/ccgo/v4	v4.34.0
modernc.org/fileutil	v1.4.0
modernc.org/gc/v2	v2.6.5
modernc.org/gc/v3	v3.1.2
modernc.org/goabi0	v0.2.0
modernc.org/libc	v1.72.3
modernc.org/mathutil	v1.7.1
modernc.org/memory	v1.11.0
modernc.org/opt	v0.2.0
modernc.org/sortutil	v1.2.1
modernc.org/sqlite	v1.51.0
modernc.org/strutil	v1.2.1
modernc.org/token	v1.1.0
rsc.io/quote/v3	v3.1.0
rsc.io/sampler	v1.3.0
