github.com/PuerkitoBio/goquery	v1.10.2
github.com/andybalholm/cascadia	v1.3.3
github.com/dustin/go-humanize	v1.0.1
github.com/google/go-cmp	v0.6.0
github.com/google/pprof	v0.0.0-20250317173921-a4b03ec1a45e
github.com/google/uuid	v1.6.0
github.com/hashicorp/golang-lru/v2	v2.0.7
github.com/mattn/go-isatty	v0.0.20
github.com/ncruces/go-strftime	v1.0.0
github.com/remyoudompheng/bigfft	v0.0.0-20230129092748-24d4a6f8daec
github.com/yuin/goldmark	v1.4.13
golang.org/x/crypto	v0.37.0
golang.org/x/mod	v0.37.0
golang.org/x/net	v0.39.0
golang.org/x/sync	v0.21.0
golang.org/x/sys	v0.46.0
golang.org/x/telemetry	v0.0.0-20240228155512-f48c80bd79b2
golang.org/x/term	v0.31.0
golang.org/x/text	v0.24.0
golang.org/x/tools	v0.47.0
golang.org/x/xerrors	v0.0.0-20190717185122-a985d3407aa7
modernc.org/cc/v4	v4.29.0
modernc.org/ccgo/v4	v4.34.6
modernc.org/fileutil	v1.4.0
modernc.org/gc/v2	v2.6.5
modernc.org/gc/v3	v3.1.4
modernc.org/goabi0	v0.2.0
modernc.org/libc	v1.74.1
modernc.org/mathutil	v1.7.1
modernc.org/memory	v1.11.0
modernc.org/opt	v0.2.0
modernc.org/sortutil	v1.2.1
modernc.org/sqlite	v1.54.0
modernc.org/strutil	v1.2.1
modernc.org/token	v1.1.0
