github.com/aws/aws-lambda-go	v1.54.0
github.com/bitfield/script	v0.24.3
github.com/bombsimon/logrusr/v4	v4.1.0
github.com/davecgh/go-spew	v1.1.1
github.com/go-logr/logr	v1.4.3
github.com/go-logr/zapr	v1.3.0
github.com/go-logr/zerologr	v1.2.3
github.com/itchyny/gojq	v0.12.13
github.com/itchyny/timefmt-go	v0.1.5
github.com/klauspost/compress	v1.19.0
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.20
github.com/miekg/dns	v1.1.72
github.com/rs/zerolog	v1.35.1
github.com/sirupsen/logrus	v1.9.4
github.com/xdg-go/pbkdf2	v1.0.0
github.com/xdg-go/scram	v1.2.0
github.com/xdg-go/stringprep	v1.0.4
github.com/youmark/pkcs8	v0.0.0-20240726163527-a2c0da244d78
go.mongodb.go/mongo-driver/v2/internal/cmd/faas/awslambda/mongodb	
go.mongodb.go/mongo-driver/v2/internal/test/compilecheck	
go.mongodb.go/mongo-driver/v2/internal/test/goleak	
go.mongodb.org/mongo-driver/v2/examples	
go.mongodb.org/mongo-driver/v2/internal/cmd/check-fmt	
go.uber.org/multierr	v1.10.0
go.uber.org/zap	v1.28.0
golang.org/x/crypto	v0.52.0
golang.org/x/mod	v0.35.0
golang.org/x/net	v0.55.0
golang.org/x/sync	v0.20.0
golang.org/x/sys	v0.45.0
golang.org/x/text	v0.37.0
golang.org/x/tools	v0.44.0
mvdan.cc/sh/v3	v3.7.0
