repo,tool,gt_imp_july,gt_imp_now,gt_impT_july,gt_impT_now,gt_all_july_adj,gt_all_now,imp_tp_july,imp_tp_now,imp_fp_july,imp_fp_now,imp_fn_july,imp_fn_now,impT_tp_july,impT_tp_now,impT_fp_july,impT_fp_now,impT_fn_july,impT_fn_now,all_tp_july,all_tp_now,all_fp_july,all_fp_now,all_fn_july,all_fn_now,match
0xERR0R__blocky,syft,128,128,132,132,334,334,128,128,103,103,0,0,132,132,99,99,0,0,231,231,0,0,103,103,yes
0xERR0R__blocky,trivy,128,128,132,132,334,334,128,128,66,66,0,0,132,132,62,62,0,0,194,194,0,0,140,140,yes
0xERR0R__blocky,cdxgen,128,128,132,132,334,334,128,128,0,0,0,0,128,128,0,0,4,4,128,128,0,0,206,206,yes
0xERR0R__blocky,cyclonedx-gomod,128,128,132,132,334,334,128,128,60,60,0,0,128,128,60,60,4,4,188,188,0,0,146,146,yes
0xcafed00d__joystick,syft,3,3,3,3,3,3,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,yes
0xcafed00d__joystick,trivy,3,3,3,3,3,3,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,yes
0xcafed00d__joystick,cdxgen,3,3,3,3,3,3,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,yes
0xcafed00d__joystick,cyclonedx-gomod,3,3,3,3,3,3,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,yes
1set__cronrange,syft,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,yes
1set__cronrange,trivy,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,yes
1set__cronrange,cdxgen,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,yes
1set__cronrange,cyclonedx-gomod,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,yes
1set__starlet,syft,12,12,12,12,25,25,12,12,25,25,0,0,12,12,25,25,0,0,24,24,13,13,1,1,yes
1set__starlet,trivy,12,12,12,12,25,25,12,12,14,14,0,0,12,12,14,14,0,0,13,13,13,13,12,12,yes
1set__starlet,cdxgen,12,12,12,12,25,25,12,12,11,11,0,0,12,12,11,11,0,0,13,13,10,10,12,12,yes
1set__starlet,cyclonedx-gomod,12,12,12,12,25,25,12,12,0,0,0,0,12,12,0,0,0,0,12,12,0,0,13,13,yes
1set__todotxt,syft,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,yes
1set__todotxt,trivy,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,yes
1set__todotxt,cdxgen,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,yes
1set__todotxt,cyclonedx-gomod,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,yes
2ykwang__mac-cleanup-go,syft,25,25,25,25,35,35,25,25,4,4,0,0,25,25,4,4,0,0,29,29,0,0,6,6,yes
2ykwang__mac-cleanup-go,trivy,25,25,25,25,35,35,25,25,0,0,0,0,25,25,0,0,0,0,25,25,0,0,10,10,yes
