repo,tool,direction,module,in_gt_all
peterstace__simplefeatures,trivy,added_when_warm,golang.org/x/text,yes
awnumar__memguard,trivy,added_when_warm,golang.org/x/net,yes
awnumar__memguard,trivy,added_when_warm,golang.org/x/term,yes
awnumar__memguard,trivy,added_when_warm,golang.org/x/text,yes
flower-corp__lotusdb,syft,added_when_warm,go.etcd.io/bbolt,yes
fern4lvarez__piladb,cyclonedx-gomod,added_when_warm,github.com/gorilla/context,yes
fern4lvarez__piladb,cyclonedx-gomod,added_when_warm,github.com/gorilla/mux,yes
g4s8__envdoc,trivy,added_when_warm,github.com/yuin/goldmark,yes
g4s8__envdoc,trivy,added_when_warm,golang.org/x/net,yes
g4s8__envdoc,trivy,added_when_warm,golang.org/x/sys,yes
g4s8__envdoc,trivy,added_when_warm,golang.org/x/telemetry,yes
