cloud.google.com/go	v0.110.8
cloud.google.com/go/bigquery	v1.55.0
cloud.google.com/go/compute	v1.23.0
cloud.google.com/go/compute/metadata	v0.2.3
cloud.google.com/go/datacatalog	v1.16.0
cloud.google.com/go/iam	v1.1.2
cloud.google.com/go/longrunning	v0.5.1
cloud.google.com/go/storage	v1.30.1
github.com/JohnCGriffin/overflow	v0.0.0-20211019200055-46fa312c352c
github.com/andybalholm/brotli	v1.0.4
github.com/apache/arrow/go/v12	v12.0.0
github.com/apache/thrift	v0.16.0
github.com/davecgh/go-spew	v1.1.1
github.com/goccy/go-json	v0.9.11
github.com/golang/groupcache	v0.0.0-20210331224755-41bb18bfe9da
github.com/golang/protobuf	v1.5.3
github.com/golang/snappy	v0.0.4
github.com/google/flatbuffers	v2.0.8%2Bincompatible
github.com/google/go-cmp	v0.5.9
github.com/google/martian/v3	v3.3.2
github.com/google/s2a-go	v0.1.7
github.com/google/uuid	v1.3.1
github.com/googleapis/enterprise-certificate-proxy	v0.2.5
github.com/googleapis/gax-go/v2	v2.12.0
github.com/klauspost/asmfmt	v1.3.2
github.com/klauspost/compress	v1.15.9
github.com/klauspost/cpuid/v2	v2.0.9
github.com/minio/asm2plan9s	v0.0.0-20200509001527-cdd76441f9d8
github.com/minio/c2goasm	v0.0.0-20190812172519-36a3d3bbc4f3
github.com/pierrec/lz4/v4	v4.1.15
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/testify	v1.8.2
github.com/zeebo/assert	v1.3.0
github.com/zeebo/xxh3	v1.0.2
go.opencensus.io	v0.24.0
golang.org/x/crypto	v0.13.0
golang.org/x/exp	v0.0.0-20220827204233-334a2380cb91
golang.org/x/mod	v0.10.0
golang.org/x/net	v0.15.0
golang.org/x/oauth2	v0.12.0
golang.org/x/sync	v0.3.0
golang.org/x/sys	v0.12.0
golang.org/x/text	v0.13.0
golang.org/x/tools	v0.9.1
golang.org/x/xerrors	v0.0.0-20220907171357-04be3eba64a2
gonum.org/v1/gonum	v0.11.0
google.golang.org/api	v0.139.0
google.golang.org/appengine	v1.6.8
google.golang.org/genproto	v0.0.0-20230911183012-2d3300fd4832
google.golang.org/genproto/googleapis/api	v0.0.0-20230803162519-f966b187b2e5
google.golang.org/genproto/googleapis/rpc	v0.0.0-20230822172742-b8732ec3820d
google.golang.org/grpc	v1.58.0
google.golang.org/protobuf	v1.31.0
gopkg.in/yaml.v3	v3.0.1
