github.com/antchfx/xmlquery	v1.3.18
github.com/antchfx/xpath	v1.2.5
github.com/commander-cli/cmd	v1.6.0
github.com/cpuguy83/go-md2man/v2	v2.0.3
github.com/davecgh/go-spew	v1.1.1
github.com/distribution/reference	v0.5.0
github.com/docker/distribution	v2.8.3+incompatible
github.com/docker/docker	v24.0.7+incompatible
github.com/docker/go-connections	v0.4.0
github.com/docker/go-units	v0.5.0
github.com/gogo/protobuf	v1.3.2
github.com/golang/groupcache	v0.0.0-20210331224755-41bb18bfe9da
github.com/logrusorgru/aurora	v2.0.3+incompatible
github.com/opencontainers/go-digest	v1.0.0
github.com/opencontainers/image-spec	v1.1.0-rc5
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/russross/blackfriday/v2	v2.1.0
github.com/stretchr/testify	v1.8.4
github.com/tidwall/gjson	v1.17.0
github.com/tidwall/match	v1.1.1
github.com/tidwall/pretty	v1.2.1
github.com/urfave/cli	v1.22.14
golang.org/x/crypto	v0.14.0
golang.org/x/net	v0.17.0
golang.org/x/text	v0.13.0
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.1
