dario.cat/mergo	v1.0.1
github.com/Masterminds/goutils	v1.1.1
github.com/Masterminds/semver/v3	v3.3.0
github.com/Masterminds/sprig/v3	v3.3.0
github.com/bradleyjkemp/cupaloy/v2	v2.8.0
github.com/cpuguy83/go-md2man/v2	v2.0.7
github.com/davecgh/go-spew	v1.1.1
github.com/frankban/quicktest	v1.14.6
github.com/golang/mock	v1.6.0
github.com/google/go-cmp	v0.6.0
github.com/google/uuid	v1.6.0
github.com/huandu/xstrings	v1.5.0
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/labstack/gommon	v0.5.0
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.21
github.com/mattn/goveralls	v0.0.12
github.com/mitchellh/copystructure	v1.2.0
github.com/mitchellh/reflectwalk	v1.0.2
github.com/pmezard/go-difflib	v1.0.0
github.com/rogpeppe/go-internal	v1.9.0
github.com/russross/blackfriday/v2	v2.1.0
github.com/shopspring/decimal	v1.4.0
github.com/spf13/cast	v1.7.0
github.com/spf13/pflag	v1.0.10
github.com/stretchr/testify	v1.11.1
github.com/urfave/cli/v2	v2.27.7
github.com/xrash/smetrics	v0.0.0-20240521201337-686a1a2994c1
golang.org/x/crypto	v0.52.0
golang.org/x/mod	v0.38.0
golang.org/x/sync	v0.22.0
golang.org/x/sys	v0.47.0
golang.org/x/telemetry	v0.0.0-20260708182218-49f421fb7959
golang.org/x/text	v0.40.0
golang.org/x/tools	v0.48.0
golang.org/x/tools/cmd/cover	v0.1.0-deprecated
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v3	v3.0.1
