github.com/DATA-DOG/go-sqlmock	v1.5.0
github.com/agext/levenshtein	v1.2.1
github.com/apparentlymart/go-dump	v0.0.0-20180507223929-23540a00eaa3
github.com/apparentlymart/go-textseg/v13	v13.0.0
github.com/apparentlymart/go-textseg/v15	v15.0.0
github.com/bmatcuk/doublestar	v1.3.4
github.com/creack/pty	v1.1.9
github.com/davecgh/go-spew	v1.1.1
github.com/go-openapi/inflect	v0.19.0
github.com/go-test/deep	v1.0.3
github.com/google/go-cmp	v0.7.0
github.com/hashicorp/hcl/v2	v2.13.0
github.com/kr/pretty	v0.2.1
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.2.0
github.com/kylelemons/godebug	v1.1.0
github.com/mattn/go-sqlite3	v1.14.28
github.com/mitchellh/go-wordwrap	v0.0.0-20150314170334-ad45545899c7
github.com/pmezard/go-difflib	v1.0.0
github.com/sergi/go-diff	v1.0.0
github.com/spf13/pflag	v1.0.2
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.11.1
github.com/vmihailenco/msgpack/v5	v5.3.5
github.com/vmihailenco/tagparser/v2	v2.0.0
github.com/zclconf/go-cty	v1.14.4
github.com/zclconf/go-cty-debug	v0.0.0-20191215020915-b22d67c1ba0b
github.com/zclconf/go-cty-yaml	v1.1.0
golang.org/x/crypto	v0.0.0-20220517005047-85d78b3ac167
golang.org/x/mod	v0.35.0
golang.org/x/sync	v0.20.0
golang.org/x/sys	v0.0.0-20210615035016-665e8c7367d1
golang.org/x/term	v0.0.0-20201126162022-7de9c90e9dd1
golang.org/x/text	v0.37.0
golang.org/x/tools	v0.44.0
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v3	v3.0.1
