github.com/BurntSushi/toml	v1.2.1
github.com/Oudwins/tailwind-merge-go	v0.2.0
github.com/a-h/parse	v0.0.0-20250122154542-74294addb73e
github.com/a-h/templ	v0.3.1001
github.com/andybalholm/brotli	v1.1.1
github.com/cenkalti/backoff/v4	v4.3.0
github.com/cli/browser	v1.3.0
github.com/fatih/color	v1.18.0
github.com/fsnotify/fsnotify	v1.9.0
github.com/joho/godotenv	v1.5.1
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.20
github.com/natefinch/atomic	v1.0.1
github.com/yuin/goldmark	v1.7.13
go.abhg.dev/goldmark/frontmatter	v0.2.0
golang.org/x/mod	v0.27.0
golang.org/x/net	v0.43.0
golang.org/x/sync	v0.16.0
golang.org/x/sys	v0.35.0
golang.org/x/tools	v0.36.0
gopkg.in/yaml.v3	v3.0.1
