cloud.google.com/go/auth	v0.15.0
cloud.google.com/go/auth/oauth2adapt	v0.2.8
cloud.google.com/go/compute/metadata	v0.9.0
dario.cat/mergo	v1.0.1
github.com/alecthomas/units	v0.0.0-20240927000941-0f3dac36c52b
github.com/andybalholm/brotli	v1.1.1
github.com/armon/go-metrics	v0.4.1
github.com/asaskevich/govalidator	v0.0.0-20230301143203-a9d515a09cc2
github.com/aws/aws-sdk-go	v1.55.6
github.com/axiomhq/hyperloglog	v0.2.5
github.com/azure/azure-sdk-for-go/sdk/azcore	v1.17.0
github.com/azure/azure-sdk-for-go/sdk/azidentity	v1.8.2
github.com/azure/azure-sdk-for-go/sdk/internal	v1.10.0
github.com/azuread/microsoft-authentication-library-for-go	v1.3.3
github.com/bboreham/go-loser	v0.0.0-20230920113527-fcc2c21820a3
github.com/beorn7/perks	v1.0.1
github.com/blind-oracle/go-common	v1.0.7
github.com/c2h5oh/datasize	v0.0.0-20231215233829-aa82cc1e6500
github.com/caarlos0/env/v8	v8.0.0
github.com/cespare/xxhash/v2	v2.3.0
github.com/coreos/go-semver	v0.3.1
github.com/coreos/go-systemd/v22	v22.5.0
github.com/datadog/sketches-go	v1.4.7
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/dennwc/varint	v1.0.0
github.com/dgryski/go-metro	v0.0.0-20180109044635-280f6062b5bc
github.com/dgryski/go-rendezvous	v0.0.0-20200823014737-9f7001d12a5f
github.com/dustin/go-humanize	v1.0.1
github.com/dyson/certman	v0.3.0
github.com/ebitengine/purego	v0.8.2
github.com/edsrzf/mmap-go	v1.2.0
github.com/efficientgo/core	v1.0.0-rc.3
github.com/facette/natsort	v0.0.0-20181210072756-2cd4dd1e2dcb
github.com/fatih/color	v1.18.0
github.com/felixge/httpsnoop	v1.0.4
github.com/fsnotify/fsnotify	v1.8.0
github.com/go-kit/log	v0.2.1
github.com/go-logfmt/logfmt	v0.6.0
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/go-ole/go-ole	v1.3.0
github.com/go-openapi/analysis	v0.23.0
github.com/go-openapi/errors	v0.22.0
github.com/go-openapi/jsonpointer	v0.21.0
github.com/go-openapi/jsonreference	v0.21.0
github.com/go-openapi/loads	v0.22.0
github.com/go-openapi/spec	v0.21.0
github.com/go-openapi/strfmt	v0.23.0
github.com/go-openapi/swag	v0.23.0
github.com/go-openapi/validate	v0.24.0
github.com/go-redsync/redsync/v4	v4.13.0
github.com/gogo/googleapis	v1.4.1
github.com/gogo/protobuf	v1.3.2
github.com/gogo/status	v1.1.1
github.com/golang-jwt/jwt/v5	v5.2.2
github.com/golang/protobuf	v1.5.4
github.com/golang/snappy	v1.0.0
github.com/google/btree	v1.1.3
github.com/google/go-cmp	v0.7.0
github.com/google/s2a-go	v0.1.9
github.com/google/uuid	v1.6.0
github.com/googleapis/enterprise-certificate-proxy	v0.3.6
github.com/googleapis/gax-go/v2	v2.14.1
github.com/gorilla/mux	v1.8.1
github.com/grafana/dskit	v0.0.0-20250317084829-9cdd36a91f10
github.com/grafana/gomemcache	v0.0.0-20250228145437-da7b95fd2ac1
github.com/grafana/jsonparser	v0.0.0-20241004153430-023329977675
github.com/grafana/loki/pkg/push	v0.0.0-20240924133635-758364c7775f
github.com/grafana/loki/v3	v3.5.4
github.com/grafana/pyroscope-go/godeltaprof	v0.1.8
github.com/grafana/regexp	v0.0.0-20240518133315-a468a5bfb3bc
github.com/grpc-ecosystem/go-grpc-middleware/v2	v2.3.1
github.com/hashicorp/consul/api	v1.31.2
github.com/hashicorp/errwrap	v1.1.0
github.com/hashicorp/go-cleanhttp	v0.5.2
github.com/hashicorp/go-hclog	v1.6.3
github.com/hashicorp/go-immutable-radix	v1.3.1
github.com/hashicorp/go-metrics	v0.5.4
github.com/hashicorp/go-msgpack/v2	v2.1.1
github.com/hashicorp/go-multierror	v1.1.1
github.com/hashicorp/go-rootcerts	v1.0.2
github.com/hashicorp/go-sockaddr	v1.0.7
github.com/hashicorp/golang-lru	v1.0.2
github.com/hashicorp/memberlist	v0.5.3
github.com/hashicorp/serf	v0.10.1
github.com/hdrhistogram/hdrhistogram-go	v1.1.2
github.com/huandu/xstrings	v1.5.0
github.com/influxdata/tdigest	v0.0.2-0.20210216194612-fc98d27c9e8b
github.com/jmespath/go-jmespath	v0.4.0
github.com/josharian/intern	v1.0.0
github.com/jpillora/backoff	v1.0.0
github.com/json-iterator/go	v1.1.12
github.com/julienschmidt/httprouter	v1.3.0
github.com/kamstrup/intmap	v0.5.1
github.com/klauspost/compress	v1.18.0
github.com/kylelemons/godebug	v1.1.0
github.com/lufia/plan9stats	v0.0.0-20240226150601-1dcf7310316a
github.com/mailru/easyjson	v0.9.0
github.com/masterminds/goutils	v1.1.1
github.com/masterminds/semver/v3	v3.3.1
github.com/masterminds/sprig/v3	v3.3.0
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.20
github.com/mdlayher/socket	v0.5.1
github.com/mdlayher/vsock	v1.2.1
github.com/miekg/dns	v1.1.63
github.com/mitchellh/copystructure	v1.2.0
github.com/mitchellh/go-homedir	v1.1.0
github.com/mitchellh/mapstructure	v1.5.1-0.20220423185008-bf980b35cac4
github.com/mitchellh/reflectwalk	v1.0.2
github.com/modern-go/concurrent	v0.0.0-20180306012644-bacd9c7ef1dd
github.com/modern-go/reflect2	v1.0.2
github.com/munnerz/goautoneg	v0.0.0-20191010083416-a7dc8b61c822
github.com/mwitkow/go-conntrack	v0.0.0-20190716064945-2f068394615f
github.com/oklog/ulid	v1.3.1
github.com/open-telemetry/opentelemetry-collector-contrib/internal/exp/metrics	v0.116.0
github.com/open-telemetry/opentelemetry-collector-contrib/pkg/pdatautil	v0.116.0
github.com/open-telemetry/opentelemetry-collector-contrib/processor/deltatocumulativeprocessor	v0.116.0
github.com/opentracing-contrib/go-grpc	v0.1.1
