github.com/bobg/basexx/v2	v2.1.0
github.com/bobg/errors	v1.1.0
github.com/bobg/subcmd/v2	v2.3.0
github.com/davecgh/go-spew	v1.1.1
github.com/dustin/go-humanize	v1.0.1
github.com/google/go-cmp	v0.6.0
github.com/google/uuid	v1.6.0
github.com/mattn/go-sqlite3	v1.14.30
github.com/mfridman/interpolate	v0.0.2
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/pressly/goose/v3	v3.24.3
github.com/remyoudompheng/bigfft	v0.0.0-20230129092748-24d4a6f8daec
github.com/sethvargo/go-retry	v0.3.0
github.com/stretchr/testify	v1.10.0
go.uber.org/multierr	v1.11.0
golang.org/x/exp	v0.0.0-20250506013437-ce4c2cf36ca6
golang.org/x/sync	v0.16.0
golang.org/x/sys	v0.33.0
gopkg.in/yaml.v3	v3.0.1
modernc.org/libc	v1.65.0
modernc.org/mathutil	v1.7.1
modernc.org/memory	v1.10.0
modernc.org/sqlite	v1.37.0
