github.com/br0xen/boltbrowser	v0.0.0-20260327130740-898a1e52a566
github.com/br0xen/termbox-util	v0.0.0-20200220160819-dc6d6950ba00
github.com/cenkalti/backoff/v6	v6.0.1
github.com/cenkalti/log	v1.0.0
github.com/clipperhouse/stringish	v0.1.1
github.com/clipperhouse/uax29/v2	v2.3.0
github.com/cpuguy83/go-md2man/v2	v2.0.7
github.com/fatih/color	v1.10.0
github.com/fatih/structs	v1.1.0
github.com/gofrs/uuid	v4.4.0+incompatible
github.com/golang/groupcache	v0.0.0-20200121045136-8c9f03a8e57e
github.com/google/btree	v1.1.3
github.com/hashicorp/errwrap	v1.1.0
github.com/hashicorp/go-multierror	v1.1.1
github.com/hokaccha/go-prettyjson	v0.0.0-20211117102719-0474bc63780f
github.com/jackpal/bencode-go	v1.0.0
github.com/jroimartin/gocui	v0.5.0
github.com/juju/ratelimit	v1.0.2
github.com/klauspost/cpuid/v2	v2.0.9
github.com/mattn/go-colorable	v0.1.8
github.com/mattn/go-isatty	v0.0.12
github.com/mattn/go-runewidth	v0.0.19
github.com/mr-tron/base58	v1.2.0
github.com/multiformats/go-multihash	v0.2.3
github.com/multiformats/go-varint	v0.0.6
github.com/nictuku/dht	v0.0.0-20201226073453-fd1c1dd3d66a
github.com/nictuku/nettools	v0.0.0-20150117095333-8867a2107ad3
github.com/nsf/termbox-go	v1.1.1
github.com/powerman/rpc-codec	v1.2.2
github.com/rcrowley/go-metrics	v0.0.0-20201227073835-cf1acfcdf475
github.com/russross/blackfriday/v2	v2.1.0
github.com/spaolacci/murmur3	v1.1.0
github.com/urfave/cli	v1.22.17
github.com/youtube/vitess	v3.0.0-rc.3+incompatible
github.com/zeebo/bencode	v1.0.0
go.etcd.io/bbolt	v1.5.0
golang.org/x/crypto	v0.45.0
golang.org/x/sync	v0.22.0
golang.org/x/sys	v0.46.0
gopkg.in/yaml.v2	v2.4.0
lukechampine.com/blake3	v1.1.6
