charm.land/bubbletea/v2	v2.0.4
examples	
github.com/anmitsu/go-shlex	v0.0.0-20200514113438-38f4b401e2be
github.com/aymanbagabas/go-udiff	v0.4.1
github.com/charmbracelet/colorprofile	v0.4.3
github.com/charmbracelet/keygen	v0.5.1
github.com/charmbracelet/log	v0.4.1-0.20241010222913-47ce960d4847
github.com/charmbracelet/log/v2	v2.0.0-20251106192421-eb64aaa963a0
github.com/charmbracelet/ssh	v0.0.0-20241211182756-4fe22b0f1b7c
github.com/charmbracelet/ultraviolet	v0.0.0-20260703014108-f5a850f9c2b7
github.com/charmbracelet/wish/v2	v2.0.0-20251106193208-3cd15da8229f
github.com/charmbracelet/x/ansi	v0.11.7
github.com/charmbracelet/x/conpty	v0.1.0
github.com/charmbracelet/x/errors	v0.0.0-20240508181413-e8d8b6e2de86
github.com/charmbracelet/x/exp/charmtone	v0.0.0-20250627134340-c144409e381c
github.com/charmbracelet/x/exp/golden	v0.0.0-20250806222409-83e3a29d542f
github.com/charmbracelet/x/term	v0.2.2
github.com/charmbracelet/x/termios	v0.1.1
github.com/charmbracelet/x/windows	v0.2.2
github.com/clipperhouse/displaywidth	v0.11.0
github.com/clipperhouse/uax29/v2	v2.7.0
github.com/creack/pty	v1.1.21
github.com/davecgh/go-spew	v1.1.1
github.com/go-logfmt/logfmt	v0.6.0
github.com/lucasb-eyer/go-colorful	v1.4.0
github.com/mattn/go-runewidth	v0.0.23
github.com/muesli/cancelreader	v0.2.2
github.com/pmezard/go-difflib	v1.0.0
github.com/rivo/uniseg	v0.4.7
github.com/stretchr/testify	v1.10.0
github.com/xo/terminfo	v0.0.0-20220910002029-abceb7e1c41e
golang.org/x/crypto	v0.36.0
golang.org/x/exp	v0.0.0-20231006140011-7918f672742d
golang.org/x/exp	v0.0.0-20240719175910-8a7402abbf56
golang.org/x/sync	v0.21.0
golang.org/x/sys	v0.47.0
golang.org/x/term	v0.30.0
gopkg.in/yaml.v3	v3.0.1
