github.com/beorn7/perks	v1.0.1
github.com/cespare/xxhash/v2	v2.3.0
github.com/coreos/go-semver	v0.3.1
github.com/coreos/go-systemd/v22	v22.5.0
github.com/cpuguy83/go-md2man/v2	v2.0.6
github.com/cybergarage/go-logger	v1.3.12
github.com/cybergarage/go-safecast	v1.3.4
github.com/dgryski/go-rendezvous	v0.0.0-20200823014737-9f7001d12a5f
github.com/fsnotify/fsnotify	v1.8.0
github.com/go-viper/mapstructure/v2	v2.4.0
github.com/gogo/protobuf	v1.3.2
github.com/golang/protobuf	v1.5.4
github.com/google/uuid	v1.6.0
github.com/grpc-ecosystem/grpc-gateway/v2	v2.26.3
github.com/hashicorp/go-immutable-radix	v1.3.1
github.com/hashicorp/go-memdb	v1.3.5
github.com/hashicorp/go-uuid	v1.0.2
github.com/hashicorp/golang-lru	v1.0.2
github.com/inconshreveable/mousetrap	v1.1.0
github.com/munnerz/goautoneg	v0.0.0-20191010083416-a7dc8b61c822
github.com/pelletier/go-toml/v2	v2.2.3
github.com/prometheus/client_golang	v1.23.0
github.com/prometheus/client_model	v0.6.2
github.com/prometheus/common	v0.65.0
github.com/prometheus/procfs	v0.16.1
github.com/redis/go-redis/v9	v9.12.1
github.com/robfig/cron/v3	v3.0.1
github.com/russross/blackfriday/v2	v2.1.0
github.com/sagikazarmark/locafero	v0.7.0
github.com/sourcegraph/conc	v0.3.0
github.com/spf13/afero	v1.12.0
github.com/spf13/cast	v1.7.1
github.com/spf13/cobra	v1.9.1
github.com/spf13/pflag	v1.0.6
github.com/spf13/viper	v1.20.1
github.com/subosito/gotenv	v1.6.0
github.com/valkey-io/valkey-go	v1.0.63
go.etcd.io/etcd/api/v3	v3.6.4
go.etcd.io/etcd/client/pkg/v3	v3.6.4
go.etcd.io/etcd/client/v3	v3.6.4
go.uber.org/multierr	v1.11.0
go.uber.org/zap	v1.27.0
golang.org/x/net	v0.48.0
golang.org/x/sys	v0.39.0
golang.org/x/text	v0.32.0
google.golang.org/genproto/googleapis/api	v0.0.0-20251202230838-ff82c1b0f217
google.golang.org/genproto/googleapis/rpc	v0.0.0-20251202230838-ff82c1b0f217
google.golang.org/grpc	v1.79.3
google.golang.org/protobuf	v1.36.10
gopkg.in/yaml.v3	v3.0.1
