github.com/bitly/go-hostpool	v0.1.0
github.com/bmizerany/assert	v0.0.0-20160611221934-b7ed37b82869
github.com/cenkalti/backoff/v4	v4.3.0
github.com/creack/pty	v1.1.9
github.com/davecgh/go-spew	v1.1.1
github.com/golang/protobuf	v1.5.4
github.com/google/go-cmp	v0.5.5
github.com/hailocab/go-hostpool	v0.0.0-20160125115350-e80d13ce29ed
github.com/kr/pretty	v0.3.1
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.2.0
github.com/opentracing/opentracing-go	v1.2.0
github.com/pkg/diff	v0.0.0-20210226163009-20ebb0f2a09e
github.com/pmezard/go-difflib	v1.0.0
github.com/rogpeppe/go-internal	v1.13.1
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.9.0
golang.org/x/crypto	v0.27.0
golang.org/x/mod	v0.18.0
golang.org/x/net	v0.21.0
golang.org/x/sys	v0.25.0
golang.org/x/term	v0.24.0
golang.org/x/text	v0.18.0
golang.org/x/tools	v0.22.0
golang.org/x/xerrors	v0.0.0-20191204190536-9bdfabe68543
google.golang.org/protobuf	v1.34.2
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v2	v2.2.2
gopkg.in/yaml.v3	v3.0.1
