github.com/aymanbagabas/go-osc52/v2	v2.0.1
github.com/charmbracelet/lipgloss	v0.10.0
github.com/charmbracelet/log	v0.4.0
github.com/go-logfmt/logfmt	v0.6.0
github.com/gofrs/uuid/v5	v5.3.0
github.com/golang-jwt/jwt	v3.2.2%2Bincompatible
github.com/golang/groupcache	v0.0.0-20200121045136-8c9f03a8e57e
github.com/labstack/echo/v4	v4.12.0
github.com/labstack/gommon	v0.4.2
github.com/lucasb-eyer/go-colorful	v1.2.0
github.com/mattn/go-colorable	v0.1.13
github.com/mattn/go-isatty	v0.0.20
github.com/mattn/go-runewidth	v0.0.15
github.com/muesli/reflow	v0.3.0
github.com/muesli/termenv	v0.15.2
github.com/rivo/uniseg	v0.4.7
github.com/rs/zerolog	v1.33.0
github.com/sirupsen/logrus	v1.9.3
github.com/valyala/bytebufferpool	v1.0.0
github.com/valyala/fasttemplate	v1.2.2
go.opencensus.io	v0.24.0
go.uber.org/multierr	v1.10.0
go.uber.org/zap	v1.27.0
golang.org/x/crypto	v0.22.0
golang.org/x/net	v0.24.0
golang.org/x/sys	v0.19.0
golang.org/x/text	v0.14.0
golang.org/x/time	v0.5.0
