github.com/antlr4-go/antlr/v4	v4.13.1
github.com/bytedance/mockey	v1.4.6
github.com/evanw/esbuild	v0.25.4
github.com/expr-lang/expr	v1.17.8
github.com/frankban/quicktest	v1.14.6
github.com/fsnotify/fsnotify	v1.5.1
github.com/go-spring/gs-mock	v0.0.8
github.com/go-spring/log	v0.1.0
github.com/go-spring/stdlib	v0.1.2
github.com/google/go-cmp	v0.6.0
github.com/gopherjs/gopherjs	v1.20.2
github.com/inconshreveable/mousetrap	v1.1.0
github.com/jtolds/gls	v4.20.0+incompatible
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/magiconair/properties	v1.8.10
github.com/msvitok77/goembed	v0.3.5
github.com/neelance/astrewrite	v0.0.0-20160511093645-99348263ae86
github.com/neelance/sourcemap	v0.0.0-20200213170602-2833bce08e4c
github.com/pelletier/go-toml	v1.9.5
github.com/rogpeppe/go-internal	v1.9.0
github.com/shurcooL/go	v0.0.0-20200502201357-93f07166e636
github.com/sirupsen/logrus	v1.8.3
github.com/smarty/assertions	v1.16.0
github.com/smartystreets/assertions	v1.2.0
github.com/smartystreets/goconvey	v1.8.1
github.com/spf13/cast	v1.10.0
github.com/spf13/cobra	v1.9.1
github.com/spf13/pflag	v1.0.6
golang.org/x/arch	v0.26.0
golang.org/x/exp	v0.0.0-20260410095643-746e56fc9e2f
golang.org/x/mod	v0.35.0
golang.org/x/sync	v0.20.0
golang.org/x/sys	v0.43.0
golang.org/x/term	v0.0.0-20220411215600-e5f449aeb171
golang.org/x/tools	v0.44.0
golang.org/x/tools/go/expect	v0.1.1-deprecated
golang.org/x/tools/go/packages/packagestest	v0.1.1-deprecated
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v2	v2.4.0
rsc.io/pdf	v0.1.1
