api-key-example	
api-key-example	v0.0.0-20260219063403-646d550028e8
basic-auth-example	
basic-auth-example	v0.0.0-20260219063403-646d550028e8
chi-secured-example	
chi-secured-example	v0.0.0-20260219063403-646d550028e8
custom-auth-example	
custom-auth-example	v0.0.0-20260219063403-646d550028e8
echo-integration-example	
echo-integration-example	v0.0.0-20260219063403-646d550028e8
echo-secured-example	
echo-secured-example	v0.0.0-20260219063403-646d550028e8
fiber-integration-example	
fiber-integration-example	v0.0.0-20260219063403-646d550028e8
function-trace-example-monigo	
function-trace-example-monigo	v0.0.0-20260219063403-646d550028e8
gin-integration-example	
gin-integration-example	v0.0.0-20260219063403-646d550028e8
github.com/andybalholm/brotli	v1.2.0
github.com/beorn7/perks	v1.0.1
github.com/bytedance/sonic	v1.9.1
github.com/cenkalti/backoff/v5	v5.0.3
github.com/cespare/xxhash/v2	v2.3.0
github.com/chenzhuoyu/base64x	v0.0.0-20221115062448-fe3a3abad311
github.com/clipperhouse/stringish	v0.1.1
github.com/clipperhouse/uax29/v2	v2.3.0
github.com/davecgh/go-spew	v1.1.1
github.com/gabriel-vasile/mimetype	v1.4.2
github.com/gin-contrib/sse	v0.1.0
github.com/gin-gonic/gin	v1.9.1
github.com/go-chi/chi/v5	v5.0.10
github.com/go-chi/chi/v5	v5.2.5
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/go-ole/go-ole	v1.3.0
github.com/go-playground/assert/v2	v2.2.0
github.com/go-playground/locales	v0.14.1
github.com/go-playground/universal-translator	v0.18.1
github.com/go-playground/validator/v10	v10.14.0
github.com/goccy/go-json	v0.10.2
github.com/gofiber/fiber/v2	v2.52.10
github.com/golang-jwt/jwt	v3.2.2%2Bincompatible
github.com/golang/protobuf	v1.5.4
github.com/google/go-cmp	v0.7.0
github.com/google/uuid	v1.6.0
github.com/gorilla/mux	v1.8.1
github.com/grpc-ecosystem/grpc-gateway/v2	v2.27.7
github.com/json-iterator/go	v1.1.12
github.com/klauspost/compress	v1.18.2
github.com/klauspost/cpuid/v2	v2.2.4
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/kylelemons/godebug	v1.1.0
github.com/labstack/echo/v4	v4.11.1
github.com/labstack/echo/v4	v4.11.3
github.com/labstack/gommon	v0.4.0
github.com/leodido/go-urn	v1.2.4
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.20
github.com/mattn/go-runewidth	v0.0.19
github.com/modern-go/concurrent	v0.0.0-20180306012644-bacd9c7ef1dd
github.com/modern-go/reflect2	v1.0.2
github.com/munnerz/goautoneg	v0.0.0-20191010083416-a7dc8b61c822
github.com/nakabonne/tstorage	v0.3.6
github.com/pelletier/go-toml/v2	v2.0.8
github.com/pmezard/go-difflib	v1.0.0
github.com/prometheus/client_golang	v1.23.2
github.com/prometheus/client_model	v0.6.2
github.com/prometheus/common	v0.66.1
github.com/prometheus/procfs	v0.16.1
github.com/rogpeppe/go-internal	v1.14.1
github.com/shirou/gopsutil	v3.21.11%2Bincompatible
github.com/stretchr/testify	v1.11.1
github.com/tklauser/go-sysconf	v0.3.16
github.com/tklauser/numcpus	v0.11.0
github.com/twitchyliquid64/golang-asm	v0.15.1
github.com/ugorji/go/codec	v1.2.11
github.com/valyala/bytebufferpool	v1.0.0
github.com/valyala/fasthttp	v1.68.0
github.com/valyala/fasttemplate	v1.2.2
github.com/xyproto/randomstring	v1.0.5
github.com/yusufpapurcu/wmi	v1.2.4
go.opentelemetry.io/auto/sdk	v1.2.1
go.opentelemetry.io/otel	v1.40.0
go.opentelemetry.io/otel/exporters/otlp/otlpmetric/otlpmetricgrpc	v1.40.0
go.opentelemetry.io/otel/metric	v1.40.0
go.opentelemetry.io/otel/sdk	v1.40.0
go.opentelemetry.io/otel/sdk/metric	v1.40.0
go.opentelemetry.io/otel/trace	v1.40.0
go.opentelemetry.io/proto/otlp	v1.9.0
go.uber.org/goleak	v1.3.0
go.yaml.in/yaml/v2	v2.4.2
golang.org/x/arch	v0.3.0
golang.org/x/crypto	v0.47.0
golang.org/x/net	v0.49.0
golang.org/x/sys	v0.40.0
golang.org/x/text	v0.33.0
golang.org/x/time	v0.3.0
gonum.org/v1/gonum	v0.16.0
google.golang.org/genproto/googleapis/api	v0.0.0-20260128011058-8636f8732409
google.golang.org/genproto/googleapis/rpc	v0.0.0-20260128011058-8636f8732409
google.golang.org/grpc	v1.78.0
google.golang.org/protobuf	v1.36.11
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v3	v3.0.1
gorilla-mux-integration-example	
gorilla-mux-integration-example	v0.0.0-20260219063403-646d550028e8
ip-whitelist-example	
ip-whitelist-example	v0.0.0-20260219063403-646d550028e8
monigo-example	
monigo-example	v0.0.0-20260224095517-1e8cf89f0cfe
standard-mux-integration-example	
standard-mux-integration-example	v0.0.0-20260219063403-646d550028e8
