github.com/avast/retry-go	v3.0.0%2Bincompatible
github.com/davecgh/go-spew	v1.1.1
github.com/fatih/color	v1.18.0
github.com/google/go-cmp	v0.6.0
github.com/jessevdk/go-flags	v1.5.0
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/mattn/go-colorable	v0.1.13
github.com/mattn/go-isatty	v0.0.20
github.com/mitchellh/colorstring	v0.0.0-20190213212951-d06e56a500db
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/rivo/uniseg	v0.4.7
github.com/rogpeppe/go-internal	v1.9.0
github.com/schollz/progressbar/v3	v3.14.2
github.com/stretchr/testify	v1.9.0
github.com/termie/go-shutil	v0.0.0-20140729215957-bcacb06fecae
github.com/ulikunitz/xz	v0.5.15
github.com/zimmski/osutil	v1.6.1
golang.org/x/mod	v0.24.0
golang.org/x/sync	v0.12.0
golang.org/x/sys	v0.31.0
golang.org/x/term	v0.17.0
golang.org/x/tools	v0.31.0
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v3	v3.0.1
