github.com/codegangsta/cli	v1.20.0
github.com/corpix/uarand	v0.1.1
github.com/davecgh/go-spew	v1.1.0
github.com/etgryphon/stringup	v0.0.0-20121020160746-31534ccd8cac
github.com/icrowley/fake	v0.0.0-20180203215853-4178557ae428
github.com/masterminds/glide	v0.13.2
github.com/masterminds/semver	v1.4.2
github.com/masterminds/vcs	v1.13.0
github.com/mitchellh/go-homedir	v1.1.0
github.com/ngdinhtoan/glide-cleanup	v0.2.0
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/objx	v0.1.0
github.com/stretchr/testify	v1.6.0
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v2	v2.2.2
gopkg.in/yaml.v3	v3.0.0-20200313102051-9f266ea9e77c
