github.com/davecgh/go-spew	v1.1.1
github.com/google/go-cmp	v0.6.0
github.com/lestrrat-go/dsig	v1.3.0
github.com/lestrrat-go/option/v3	v3.0.0-alpha1
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.11.1
github.com/valyala/fastjson	v1.6.10
github.com/yuin/goldmark	v1.4.13
golang.org/x/crypto	v0.54.0
golang.org/x/mod	v0.35.0
golang.org/x/net	v0.56.0
golang.org/x/sync	v0.20.0
golang.org/x/sys	v0.47.0
golang.org/x/telemetry	v0.0.0-20260409153401-be6f6cb8b1fa
golang.org/x/term	v0.45.0
golang.org/x/text	v0.40.0
golang.org/x/tools	v0.44.0
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3	v3.0.1
