github.com/andybalholm/brotli	v1.1.0
github.com/bytedance/sonic	v1.9.1
github.com/chenzhuoyu/base64x	v0.0.0-20221115062448-fe3a3abad311
github.com/davecgh/go-spew	v1.1.1
github.com/gabriel-vasile/mimetype	v1.4.2
github.com/gin-contrib/sse	v0.1.0
github.com/gin-gonic/gin	v1.9.1
github.com/go-chi/chi/v5	v5.2.2
github.com/go-chi/chi/v5	v5.2.3
github.com/go-playground/locales	v0.14.1
github.com/go-playground/universal-translator	v0.18.1
github.com/go-playground/validator/v10	v10.14.0
github.com/goccy/go-json	v0.10.2
github.com/gofiber/fiber/v2	v2.52.13
github.com/gofiber/fiber/v2	v2.52.14
github.com/google/uuid	v1.6.0
github.com/json-iterator/go	v1.1.12
github.com/klauspost/compress	v1.17.9
github.com/klauspost/cpuid/v2	v2.2.4
github.com/kr/pretty	v0.1.0
github.com/kr/text	v0.2.0
github.com/labstack/echo/v4	v4.11.4
github.com/labstack/gommon	v0.4.2
github.com/leodido/go-urn	v1.2.4
github.com/mattn/go-colorable	v0.1.13
github.com/mattn/go-isatty	v0.0.20
github.com/mattn/go-runewidth	v0.0.16
github.com/modern-go/concurrent	v0.0.0-20180306012644-bacd9c7ef1dd
github.com/modern-go/reflect2	v1.0.2
github.com/pelletier/go-toml/v2	v2.0.8
github.com/pmezard/go-difflib	v1.0.0
github.com/rivo/uniseg	v0.2.0
github.com/samber/do/examples/http/gin/v2	
github.com/samber/do/http/chi/v2	
github.com/samber/do/http/echo/v2	
github.com/samber/do/http/fiber/v2	
github.com/samber/do/http/gin/v2	
github.com/samber/do/http/std/v2	
github.com/samber/do/v2/examples/dag	
github.com/samber/do/v2/examples/eager-loading	
github.com/samber/do/v2/examples/event-driven	
github.com/samber/do/v2/examples/healthcheckable	
github.com/samber/do/v2/examples/http/echo	
github.com/samber/do/v2/examples/http/std	
github.com/samber/do/v2/examples/interface	
github.com/samber/do/v2/examples/nested-scope	
github.com/samber/do/v2/examples/package-system	
github.com/samber/do/v2/examples/service-aliases	
github.com/samber/do/v2/examples/service-explanation	
github.com/samber/do/v2/examples/shutdownable	
github.com/samber/do/v2/examples/simple	
github.com/samber/do/v2/examples/struct	
github.com/samber/do/v2/examples/transient-services	
github.com/samber/do/v2/examples/web-application	
github.com/samber/go-type-to-string	v1.8.0
github.com/stretchr/testify	v1.11.1
github.com/twitchyliquid64/golang-asm	v0.15.1
github.com/ugorji/go/codec	v1.2.11
github.com/valyala/bytebufferpool	v1.0.0
github.com/valyala/fasthttp	v1.51.0
github.com/valyala/fasttemplate	v1.2.2
github.com/valyala/tcplisten	v1.0.0
go.uber.org/goleak	v1.2.1
golang.org/x/arch	v0.3.0
golang.org/x/crypto	v0.17.0
golang.org/x/net	v0.19.0
golang.org/x/sys	v0.15.0
golang.org/x/sys	v0.28.0
golang.org/x/text	v0.14.0
google.golang.org/protobuf	v1.33.0
gopkg.in/check.v1	v1.0.0-20180628173108-788fd7840127
gopkg.in/yaml.v3	v3.0.1
