github.com/RoaringBitmap/roaring	v0.5.5
github.com/alldroll/cdb	v1.0.2
github.com/alldroll/rbtree	v0.0.0-20201026153457-c76906afcaa0
github.com/araddon/dateparse	v0.0.0-20210429162001-6b43995a97de
github.com/cespare/xxhash/v2	v2.3.0
github.com/cpuguy83/go-md2man/v2	v2.0.6
github.com/cznic/mathutil	v0.0.0-20181122101859-297441e03548
github.com/cznic/sortutil	v0.0.0-20181122101858-f5f958428db8
github.com/davecgh/go-spew	v1.1.1
github.com/dsnet/compress	v0.0.1
github.com/dsnet/golib	v0.0.0-20171103203638-1ea166775780
github.com/edsrzf/mmap-go	v1.2.0
github.com/elliotwutingfeng/asciiset	v0.0.0-20230602022725-51bbb787efab
github.com/glycerine/go-unsnap-stream	v0.0.0-20181221182339-f9677308dec2
github.com/glycerine/goconvey	v0.0.0-20190410193231-58a59202ab31
github.com/golang/snappy	v0.0.1
github.com/gopherjs/gopherjs	v0.0.0-20190910122728-9d188e94fb99
github.com/gorilla/handlers	v1.4.0
github.com/gorilla/mux	v1.7.1
github.com/inconshreveable/mousetrap	v1.1.0
github.com/jtolds/gls	v4.20.0+incompatible
github.com/klauspost/compress	v1.18.3
github.com/klauspost/cpuid	v1.2.0
github.com/klauspost/pgzip	v1.2.6
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/mattn/go-colorable	v0.1.15
github.com/mattn/go-isatty	v0.0.20
github.com/mattn/go-runewidth	v0.0.10
github.com/mitchellh/go-homedir	v1.1.0
github.com/montanaflynn/stats	v0.6.6
github.com/mschoch/smat	v0.0.0-20160514031455-90eadee771ae
github.com/philhofer/fwd	v1.0.0
github.com/pierrec/lz4/v4	v4.1.25
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/remyoudompheng/bigfft	v0.0.0-20200410134404-eec4a21b6bb0
github.com/rivo/uniseg	v0.1.0
github.com/rogpeppe/go-internal	v1.9.0
github.com/russross/blackfriday/v2	v2.1.0
github.com/scylladb/termtables	v0.0.0-20191203121021-c4c0b6d42ff4
github.com/shenwei356/bio	v0.14.0
github.com/shenwei356/breader	v0.3.2
github.com/shenwei356/go-logging	v0.0.0-20171012171522-c6b9702d88ba
github.com/shenwei356/kmers	v0.1.0
github.com/shenwei356/natsort	v0.0.0-20190418160752-600d539c017d
github.com/shenwei356/util	v0.5.6
github.com/shenwei356/xopen	v0.4.0
github.com/snowballstem/snowball	v2.0.0+incompatible
github.com/spf13/cobra	v1.10.2
github.com/spf13/pflag	v1.0.9
github.com/stretchr/objx	v0.4.0
github.com/stretchr/testify	v1.8.0
github.com/suggest-go/suggest	v0.0.0-20210111224047-3b44145ad0b0
github.com/tinylib/msgp	v1.1.0
github.com/twotwotwo/sorts	v0.0.0-20160814051341-bf5c1f2b8553
github.com/ulikunitz/xz	v0.5.15
github.com/will-rowe/nthash	v0.4.0
github.com/willf/bitset	v1.1.10
github.com/yuin/goldmark	v1.2.1
github.com/zeebo/wyhash	v0.0.1
go.yaml.in/yaml/v3	v3.0.4
golang.org/x/crypto	v0.0.0-20200622213623-75b288015ac9
golang.org/x/lint	v0.0.0-20200302205851-738671d3881b
golang.org/x/mod	v0.3.0
golang.org/x/net	v0.0.0-20200822124328-c89045814202
golang.org/x/sync	v0.0.0-20200625203802-6e8e738ad208
golang.org/x/sys	v0.29.0
golang.org/x/text	v0.3.0
golang.org/x/tools	v0.0.0-20200928182047-19e03678916f
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v2	v2.2.2
gopkg.in/yaml.v3	v3.0.1
