github.com/beorn7/perks	v1.0.1
github.com/cespare/xxhash/v2	v2.3.0
github.com/cpuguy83/go-md2man/v2	v2.0.7
github.com/davecgh/go-spew	v1.1.1
github.com/google/go-cmp	v0.7.0
github.com/gorilla/mux	v1.8.1
github.com/klauspost/compress	v1.18.0
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/kylelemons/godebug	v1.1.0
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.20
github.com/munnerz/goautoneg	v0.0.0-20191010083416-a7dc8b61c822
github.com/pmezard/go-difflib	v1.0.0
github.com/prometheus/client_golang	v1.23.2
github.com/prometheus/client_model	v0.6.2
github.com/prometheus/common	v0.66.1
github.com/prometheus/procfs	v0.16.1
github.com/rogpeppe/go-internal	v1.10.0
github.com/rs/xid	v1.6.0
github.com/rs/zerolog	v1.35.1
github.com/russross/blackfriday/v2	v2.1.0
github.com/stretchr/testify	v1.11.1
github.com/urfave/cli/v2	v2.27.7
github.com/xrash/smetrics	v0.0.0-20240521201337-686a1a2994c1
go.uber.org/goleak	v1.3.0
go.yaml.in/yaml/v2	v2.4.2
golang.org/x/sys	v0.35.0
golang.org/x/term	v0.34.0
google.golang.org/protobuf	v1.36.8
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v3	v3.0.1
