cloud.google.com/go	v0.116.0
cloud.google.com/go/ai	v0.7.0
cloud.google.com/go/aiplatform	v1.69.0
cloud.google.com/go/alloydb	v1.14.0
cloud.google.com/go/alloydbconn	v1.13.2
cloud.google.com/go/auth	v0.14.0
cloud.google.com/go/auth/oauth2adapt	v0.2.7
cloud.google.com/go/cloudsqlconn	v1.14.1
cloud.google.com/go/compute/metadata	v0.6.0
cloud.google.com/go/iam	v1.2.2
cloud.google.com/go/longrunning	v0.6.2
cloud.google.com/go/vertexai	v0.12.0
dario.cat/mergo	v1.0.2
filippo.io/edwards25519	v1.1.0
github.com/AssemblyAI/assemblyai-go-sdk	v1.3.0
github.com/Azure/go-ansiterm	v0.0.0-20250102033503-faa5f7b0171c
github.com/BurntSushi/toml	v0.3.1
github.com/Code-Hex/go-generics-cache	v1.3.1
github.com/IBM/watsonx-go	v1.0.0
github.com/Masterminds/goutils	v1.1.1
github.com/Masterminds/semver	v1.5.0
github.com/Masterminds/semver/v3	v3.2.0
github.com/Masterminds/sprig/v3	v3.2.3
github.com/Microsoft/go-winio	v0.6.2
github.com/PuerkitoBio/goquery	v1.11.0
github.com/alicebob/miniredis/v2	v2.35.0
github.com/amikos-tech/chroma-go	v0.1.4
github.com/andybalholm/cascadia	v1.3.3
github.com/antchfx/htmlquery	v1.3.0
github.com/antchfx/xmlquery	v1.3.17
github.com/antchfx/xpath	v1.2.4
github.com/apapsch/go-jsonmerge/v2	v2.0.0
github.com/asaskevich/govalidator	v0.0.0-20230301143203-a9d515a09cc2
github.com/avast/retry-go	v3.0.0+incompatible
github.com/aws/aws-sdk-go-v2	v1.36.3
github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream	v1.6.10
github.com/aws/aws-sdk-go-v2/config	v1.29.4
github.com/aws/aws-sdk-go-v2/credentials	v1.17.57
github.com/aws/aws-sdk-go-v2/feature/ec2/imds	v1.16.27
github.com/aws/aws-sdk-go-v2/internal/configsources	v1.3.34
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2	v2.6.34
github.com/aws/aws-sdk-go-v2/internal/ini	v1.8.2
github.com/aws/aws-sdk-go-v2/internal/v4a	v1.3.34
github.com/aws/aws-sdk-go-v2/service/bedrockagent	v1.40.0
github.com/aws/aws-sdk-go-v2/service/bedrockagentruntime	v1.41.0
github.com/aws/aws-sdk-go-v2/service/bedrockruntime	v1.24.3
github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding	v1.12.3
github.com/aws/aws-sdk-go-v2/service/internal/checksum	v1.7.0
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url	v1.12.15
github.com/aws/aws-sdk-go-v2/service/internal/s3shared	v1.18.15
github.com/aws/aws-sdk-go-v2/service/s3	v1.78.2
github.com/aws/aws-sdk-go-v2/service/sso	v1.24.14
github.com/aws/aws-sdk-go-v2/service/ssooidc	v1.28.13
github.com/aws/aws-sdk-go-v2/service/sts	v1.33.12
github.com/aws/smithy-go	v1.22.2
github.com/aymerick/douceur	v0.2.0
github.com/beorn7/perks	v1.0.1
github.com/blang/semver/v4	v4.0.0
github.com/bsm/ginkgo/v2	v2.12.0
github.com/bsm/gomega	v1.27.10
github.com/cenkalti/backoff	v2.2.1+incompatible
github.com/cenkalti/backoff/v4	v4.3.0
github.com/census-instrumentation/opencensus-proto	v0.2.1
github.com/cespare/xxhash/v2	v2.3.0
github.com/chzyer/logex	v1.2.1
github.com/chzyer/readline	v1.5.1
github.com/chzyer/test	v1.0.0
github.com/cilium/ebpf	v0.11.0
github.com/client9/misspell	v0.3.4
github.com/clipperhouse/stringish	v0.1.1
github.com/clipperhouse/uax29/v2	v2.3.0
github.com/cockroachdb/errors	v1.9.1
github.com/cockroachdb/logtags	v0.0.0-20211118104740-dabe8e521a4f
github.com/cockroachdb/redact	v1.1.3
github.com/cohere-ai/tokenizer	v1.1.2
github.com/containerd/cgroups/v3	v3.0.3
github.com/containerd/errdefs	v1.0.0
github.com/containerd/errdefs/pkg	v0.3.0
github.com/containerd/log	v0.1.0
github.com/containerd/platforms	v0.2.1
github.com/coreos/go-semver	v0.3.0
github.com/coreos/go-systemd/v22	v22.5.0
github.com/cpuguy83/dockercfg	v0.3.2
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/deepmap/oapi-codegen/v2	v2.1.0
github.com/dgryski/go-rendezvous	v0.0.0-20200823014737-9f7001d12a5f
github.com/distribution/reference	v0.6.0
github.com/dlclark/regexp2	v1.10.0
github.com/docker/docker	v28.2.2+incompatible
github.com/docker/go-connections	v0.5.0
github.com/docker/go-units	v0.5.0
github.com/dustin/go-humanize	v1.0.1
github.com/ebitengine/purego	v0.8.4
github.com/envoyproxy/go-control-plane	v0.9.1-0.20191026205805-5f8ba28d4473
github.com/envoyproxy/protoc-gen-validate	v0.1.0
github.com/felixge/httpsnoop	v1.0.4
github.com/form3tech-oss/jwt-go	v3.2.3+incompatible
github.com/gage-technologies/mistral-go	v1.1.0
github.com/getsentry/sentry-go	v0.30.0
github.com/getzep/zep-go	v1.0.4
github.com/gin-contrib/sse	v0.1.0
github.com/gin-gonic/gin	v1.6.3
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/go-ole/go-ole	v1.3.0
github.com/go-openapi/analysis	v0.23.0
github.com/go-openapi/errors	v0.22.0
github.com/go-openapi/jsonpointer	v0.21.0
github.com/go-openapi/jsonreference	v0.21.0
github.com/go-openapi/loads	v0.22.0
github.com/go-openapi/runtime	v0.24.2
github.com/go-openapi/spec	v0.21.0
github.com/go-openapi/strfmt	v0.23.0
github.com/go-openapi/swag	v0.23.0
github.com/go-openapi/validate	v0.24.0
github.com/go-playground/assert/v2	v2.0.1
github.com/go-playground/locales	v0.13.0
github.com/go-playground/universal-translator	v0.17.0
github.com/go-playground/validator/v10	v10.2.0
github.com/go-sql-driver/mysql	v1.8.1
github.com/gobwas/glob	v0.2.3
github.com/gobwas/httphead	v0.0.0-20180130184737-2c6c146eadee
github.com/gobwas/pool	v0.2.0
github.com/gobwas/ws	v1.0.2
github.com/gocolly/colly	v1.2.0
github.com/godbus/dbus/v5	v5.0.4
github.com/gogo/protobuf	v1.3.2
github.com/golang-jwt/jwt/v5	v5.2.2
github.com/golang/glog	v0.0.0-20160126235308-23def4e6c14b
github.com/golang/groupcache	v0.0.0-20210331224755-41bb18bfe9da
github.com/golang/mock	v1.1.1
github.com/golang/protobuf	v1.5.4
github.com/golang/snappy	v0.0.4
github.com/google/btree	v1.1.3
github.com/google/flatbuffers	v23.5.26+incompatible
github.com/google/generative-ai-go	v0.15.1
github.com/google/go-cmp	v0.7.0
github.com/google/go-querystring	v1.1.0
github.com/google/gofuzz	v1.0.0
github.com/google/jsonschema-go	v0.4.2
github.com/google/s2a-go	v0.1.9
github.com/google/uuid	v1.6.0
github.com/googleapis/enterprise-certificate-proxy	v0.3.4
github.com/googleapis/gax-go/v2	v2.14.1
github.com/goph/emperror	v0.17.2
github.com/gorilla/css	v1.0.0
github.com/gorilla/websocket	v1.5.0
github.com/grpc-ecosystem/go-grpc-middleware	v1.4.0
github.com/grpc-ecosystem/go-grpc-prometheus	v1.2.0
github.com/grpc-ecosystem/grpc-gateway	v1.16.0
github.com/grpc-ecosystem/grpc-gateway/v2	v2.18.0
github.com/huandu/xstrings	v1.3.3
github.com/imdario/mergo	v0.3.13
github.com/inconshreveable/mousetrap	v1.1.0
github.com/jackc/pgpassfile	v1.0.0
github.com/jackc/pgservicefile	v0.0.0-20240606120523-5a60cdf6a761
github.com/jackc/pgx/v5	v5.7.6
github.com/jackc/puddle/v2	v2.2.2
github.com/jinzhu/inflection	v1.0.0
github.com/jmespath/go-jmespath	v0.4.0
github.com/jmespath/go-jmespath/internal/testify	v1.5.1
github.com/jonboulle/clockwork	v0.2.2
github.com/josharian/intern	v1.0.0
github.com/json-iterator/go	v1.1.13-0.20220915233716-71ac16282d12
github.com/kataras/golog	v0.1.15
github.com/kennygrant/sanitize	v1.2.4
github.com/klauspost/compress	v1.18.0
github.com/klauspost/cpuid/v2	v2.2.9
github.com/kr/pretty	v0.3.1
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.2.0
github.com/ledongthuc/pdf	v0.0.0-20220302134840-0c2507a12d80
github.com/leodido/go-urn	v1.2.0
github.com/lufia/plan9stats	v0.0.0-20250317134145-8bc96cf8fc35
github.com/magiconair/properties	v1.8.10
github.com/mailru/easyjson	v0.7.7
github.com/mattn/go-colorable	v0.1.13
github.com/mattn/go-isatty	v0.0.20
github.com/mattn/go-runewidth	v0.0.19
github.com/mattn/go-sqlite3	v1.14.32
github.com/mdelapenya/tlscert	v0.2.0
github.com/metaphorsystems/metaphor-go	v0.0.0-20230816231421-43794c04824e
github.com/microcosm-cc/bluemonday	v1.0.26
github.com/milvus-io/milvus-proto/go-api/v2	v2.6.1-0.20250819024338-07695f709619
github.com/milvus-io/milvus-sdk-go/v2	v2.4.0
github.com/milvus-io/milvus/client/v2	v2.6.0
github.com/milvus-io/milvus/pkg/v2	v2.0.0-20250319085209-5a6b4e56d59e
github.com/mitchellh/copystructure	v1.0.0
github.com/mitchellh/mapstructure	v1.5.0
github.com/mitchellh/reflectwalk	v1.0.0
github.com/moby/docker-image-spec	v1.3.1
github.com/moby/go-archive	v0.1.0
github.com/moby/patternmatcher	v0.6.0
github.com/moby/sys/sequential	v0.6.0
github.com/moby/sys/user	v0.4.0
github.com/moby/sys/userns	v0.1.0
github.com/moby/term	v0.5.2
github.com/modelcontextprotocol/go-sdk	v1.2.0
github.com/modern-go/concurrent	v0.0.0-20180306012644-bacd9c7ef1dd
github.com/modern-go/reflect2	v1.0.2
