github.com/BurntSushi/toml	v0.3.1
github.com/OneOfOne/xxhash	v1.2.2
github.com/andybalholm/brotli	v1.0.4
github.com/benbjohnson/clock	v1.1.0
github.com/cespare/xxhash	v1.1.0
github.com/davecgh/go-spew	v1.1.1
github.com/fsnotify/fsnotify	v1.4.9
github.com/go-playground/assert/v2	v2.0.1
github.com/go-playground/form/v4	v4.2.0
github.com/golang/mock	v1.4.4
github.com/golang/protobuf	v1.5.0
github.com/golang/snappy	v0.0.3
github.com/google/flatbuffers	v2.0.0+incompatible
github.com/google/go-cmp	v0.5.8
github.com/google/gofuzz	v1.0.0
github.com/google/renameio	v0.1.0
github.com/hashicorp/errwrap	v1.0.0
github.com/hashicorp/go-multierror	v1.1.1
github.com/json-iterator/go	v1.1.12
github.com/kavu/go_reuseport	v1.5.0
github.com/kisielk/gotool	v1.0.0
github.com/klauspost/compress	v1.15.9
github.com/kr/pretty	v0.1.0
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.1.0
github.com/lestrrat-go/envload	v0.0.0-20180220234015-a3eb8ddeffcc
github.com/lestrrat-go/strftime	v1.0.6
github.com/mitchellh/mapstructure	v1.5.0
github.com/modern-go/concurrent	v0.0.0-20180228061459-e0a39a4cb421
github.com/modern-go/reflect2	v1.0.2
github.com/panjf2000/ants/v2	v2.4.6
github.com/pierrec/lz4/v4	v4.1.21
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/r3labs/sse/v2	v2.10.0
github.com/rogpeppe/go-internal	v1.3.0
github.com/spaolacci/murmur3	v1.1.0
github.com/spf13/cast	v1.3.1
github.com/stretchr/objx	v0.4.0
github.com/stretchr/testify	v1.8.0
github.com/valyala/bytebufferpool	v1.0.0
github.com/valyala/fasthttp	v1.43.0
github.com/valyala/tcplisten	v1.0.0
go.uber.org/atomic	v1.11.0
go.uber.org/automaxprocs	v1.3.0
go.uber.org/goleak	v1.1.11
go.uber.org/multierr	v1.6.0
go.uber.org/zap	v1.24.0
golang.org/x/crypto	v0.14.0
golang.org/x/lint	v0.0.0-20191125180803-fdd1cda4f05f
golang.org/x/mod	v0.8.0
golang.org/x/net	v0.17.0
golang.org/x/sync	v0.1.0
golang.org/x/sys	v0.21.0
golang.org/x/term	v0.13.0
golang.org/x/text	v0.13.0
golang.org/x/tools	v0.6.0
golang.org/x/xerrors	v0.0.0-20191204190536-9bdfabe68543
google.golang.org/protobuf	v1.33.0
gopkg.in/cenkalti/backoff.v1	v1.1.0
gopkg.in/check.v1	v1.0.0-20180628173108-788fd7840127
gopkg.in/errgo.v2	v2.1.0
gopkg.in/yaml.v2	v2.2.7
gopkg.in/yaml.v3	v3.0.1
honnef.co/go/tools	v0.0.1-2019.2.3
trpc.group/trpc-go/tnet	v1.1.0
trpc.group/trpc/trpc-protocol/pb/go/trpc	v1.0.0
