github.com/VividCortex/ewma	v1.2.0
github.com/acarl005/stripansi	v0.0.0-20180116102854-5a71ef0e047d
github.com/clipperhouse/uax29/v2	v2.7.0
github.com/davecgh/go-spew	v1.1.1
github.com/fatih/color	v1.19.0
github.com/felixge/fgprof	v0.9.5
github.com/google/go-cmp	v0.6.0
github.com/google/pprof	v0.0.0-20260709232956-b9395ee17fa0
github.com/mattn/go-colorable	v0.1.15
github.com/mattn/go-isatty	v0.0.23
github.com/mattn/go-runewidth	v0.0.24
github.com/pkg/profile	v1.7.0
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/testify	v1.8.0
github.com/vbauerster/mpb/_examples/barExtender	
github.com/vbauerster/mpb/_examples/barExtenderRev	
github.com/vbauerster/mpb/_examples/cancel	
github.com/vbauerster/mpb/_examples/decoratorsOnTop	
github.com/vbauerster/mpb/_examples/differentWidth	
github.com/vbauerster/mpb/_examples/dynTotal	
github.com/vbauerster/mpb/_examples/io	
github.com/vbauerster/mpb/_examples/mexicanBar	
github.com/vbauerster/mpb/_examples/multiBars	
github.com/vbauerster/mpb/_examples/poplog	
github.com/vbauerster/mpb/_examples/progressAsWriter	
github.com/vbauerster/mpb/_examples/queueBar	
github.com/vbauerster/mpb/_examples/quietMode	
github.com/vbauerster/mpb/_examples/remove	
github.com/vbauerster/mpb/_examples/reverseBar	
github.com/vbauerster/mpb/_examples/singleBar	
github.com/vbauerster/mpb/_examples/spinTipBar	
github.com/vbauerster/mpb/_examples/spinnerBar	
github.com/vbauerster/mpb/_examples/spinnerDecorator	
github.com/vbauerster/mpb/_examples/stress	
github.com/vbauerster/mpb/_examples/suppressBar	
github.com/vbauerster/mpb/_examples/tipOnComplete	
golang.org/x/mod	v0.24.0
golang.org/x/sync	v0.13.0
golang.org/x/sys	v0.47.0
golang.org/x/tools	v0.32.0
gopkg.in/yaml.v3	v3.0.1
