github.com/gabriel-vasile/mimetype	v1.4.13
github.com/gin-contrib/sse	v1.1.1
github.com/gin-gonic/gin	v1.12.0
github.com/go-playground/locales	v0.14.1
github.com/go-playground/universal-translator	v0.18.1
github.com/go-playground/validator/v10	v10.30.2
github.com/goccy/go-yaml	v1.19.2
github.com/gorilla/mux	v1.8.1
github.com/labstack/echo/v4	v4.15.2
github.com/labstack/gommon	v0.5.0
github.com/leodido/go-urn	v1.4.0
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.22
github.com/pelletier/go-toml/v2	v2.3.1
github.com/quic-go/qpack	v0.6.0
github.com/quic-go/quic-go	v0.59.1
github.com/ugorji/go/codec	v1.3.1
github.com/valyala/bytebufferpool	v1.0.0
github.com/valyala/fasttemplate	v1.2.2
go.mongodb.org/mongo-driver/v2	v2.6.0
golang.org/x/crypto	v0.51.0
golang.org/x/net	v0.54.0
golang.org/x/sys	v0.44.0
golang.org/x/text	v0.37.0
google.golang.org/protobuf	v1.36.11
