github.com/armon/go-socks5	v0.0.0-20160902184237-e75332964ef5
github.com/asaskevich/govalidator	v0.0.0-20190424111038-f61b66f89f4a
github.com/chzyer/logex	v1.1.10
github.com/chzyer/readline	v0.0.0-20180603132655-2972be24d48e
github.com/chzyer/test	v0.0.0-20180213035817-a1ea475d72b1
github.com/creack/pty	v1.1.9
github.com/davecgh/go-spew	v1.1.1
github.com/emicklei/go-restful/v3	v3.8.0
github.com/evanphx/json-patch	v4.12.0%2Bincompatible
github.com/fsnotify/fsnotify	v1.4.9
github.com/go-logr/logr	v1.3.0
github.com/go-openapi/jsonpointer	v0.19.6
github.com/go-openapi/jsonreference	v0.20.2
github.com/go-openapi/swag	v0.22.3
github.com/go-task/slim-sprig	v0.0.0-20230315185526-52ccab3ef572
github.com/gogo/protobuf	v1.3.2
github.com/golang/protobuf	v1.5.3
github.com/google/gnostic-models	v0.6.8
github.com/google/go-cmp	v0.6.0
github.com/google/gofuzz	v1.2.0
github.com/google/pprof	v0.0.0-20210720184732-4bb14d4b1be1
github.com/google/uuid	v1.3.0
github.com/gorilla/websocket	v1.4.2
github.com/hpcloud/tail	v1.0.0
github.com/ianlancetaylor/demangle	v0.0.0-20200824232613-28f6c0f3b639
github.com/josharian/intern	v1.0.0
github.com/json-iterator/go	v1.1.12
github.com/kisielk/errcheck	v1.5.0
github.com/kisielk/gotool	v1.0.0
github.com/kr/pretty	v0.3.1
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.2.0
github.com/mailru/easyjson	v0.7.7
github.com/moby/spdystream	v0.2.0
github.com/modern-go/concurrent	v0.0.0-20180306012644-bacd9c7ef1dd
github.com/modern-go/reflect2	v1.0.2
github.com/munnerz/goautoneg	v0.0.0-20120707110453-a547fc61f48d
github.com/mxk/go-flowrate	v0.0.0-20140419014527-cca7078d478f
github.com/nxadm/tail	v1.4.8
github.com/nytimes/gziphandler	v0.0.0-20170623195520-56545f4a5d46
github.com/onsi/ginkgo	v1.16.4
github.com/onsi/ginkgo/v2	v2.13.0
github.com/onsi/gomega	v1.29.0
github.com/pkg/diff	v0.0.0-20210226163009-20ebb0f2a09e
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/rogpeppe/go-internal	v1.10.0
github.com/spf13/afero	v1.2.2
github.com/spf13/pflag	v1.0.5
github.com/stretchr/objx	v0.5.0
github.com/stretchr/testify	v1.8.4
github.com/valyala/fastjson	v1.6.4
github.com/yuin/goldmark	v1.4.13
golang.org/x/crypto	v0.16.0
golang.org/x/mod	v0.14.0
golang.org/x/net	v0.19.0
golang.org/x/sync	v0.5.0
golang.org/x/sys	v0.15.0
golang.org/x/term	v0.15.0
golang.org/x/text	v0.14.0
golang.org/x/time	v0.3.0
golang.org/x/tools	v0.16.1
golang.org/x/xerrors	v0.0.0-20220907171357-04be3eba64a2
google.golang.org/protobuf	v1.31.0
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/fsnotify.v1	v1.4.7
gopkg.in/inf.v0	v0.9.1
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.1
k8s.io/apimachinery	v0.29.2
k8s.io/gengo	v0.0.0-20230829151522-9cce18d56c01
k8s.io/klog/v2	v2.110.1
k8s.io/kube-openapi	v0.0.0-20231010175941-2dd684a91f00
k8s.io/utils	v0.0.0-20230726121419-3b25d923346b
sigs.k8s.io/json	v0.0.0-20221116044647-bc3834ca7abd
sigs.k8s.io/structured-merge-diff/v4	v4.4.1
sigs.k8s.io/yaml	v1.3.0
