# empty-gt-stratum 計測開始 2026-08-16T06:42:37.807Z 対象=123
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 36s
OK gt(imp/impT/all)=0/0/1 state=ok_nonempty/ok_nonempty/ok_empty/ok_nonempty 5s
OK gt(imp/impT/all)=0/1/1 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 4s

# 完了 処理=3 成功=3 SKIP=0
# empty-gt-stratum 計測開始 2026-08-16T06:43:33.505Z 対象=123
OK gt(imp/impT/all)=0/1/1 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 5s
OK gt(imp/impT/all)=0/3/3 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 5s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 5s
OK gt(imp/impT/all)=0/5/7 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 6s
OK gt(imp/impT/all)=0/5/7 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 5s
OK gt(imp/impT/all)=0/3/3 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 8s
OK gt(imp/impT/all)=0/18/25 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 8s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 6s
OK gt(imp/impT/all)=0/2/5 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 7s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 6s
OK gt(imp/impT/all)=0/19/47 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 15s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 5s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 5s
OK gt(imp/impT/all)=0/4/12 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 5s
OK gt(imp/impT/all)=0/3/3 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 5s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 6s
OK gt(imp/impT/all)=0/4/7 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_nonempty 7s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 5s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 5s
OK gt(imp/impT/all)=0/1/1 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 4s
OK gt(imp/impT/all)=0/3/3 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 7s
OK gt(imp/impT/all)=0/6/12 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 6s
OK gt(imp/impT/all)=0/1/9 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 6s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 6s
OK gt(imp/impT/all)=0/6/8 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 6s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 12s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 5s
OK gt(imp/impT/all)=0/0/13 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_nonempty 7s
OK gt(imp/impT/all)=0/1/1 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 5s
OK gt(imp/impT/all)=0/2/5 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 6s
OK gt(imp/impT/all)=0/5/7 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 6s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 6s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 6s
OK gt(imp/impT/all)=0/1/3 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 5s
OK gt(imp/impT/all)=0/0/10 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 8s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 5s
OK gt(imp/impT/all)=0/5/7 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 5s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 5s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 6s
OK gt(imp/impT/all)=0/4/7 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 11s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 15s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 6s
OK gt(imp/impT/all)=0/3/3 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 5s
OK gt(imp/impT/all)=0/4/8 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 8s
OK gt(imp/impT/all)=0/5/14 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 6s
OK gt(imp/impT/all)=0/4/12 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 6s
OK gt(imp/impT/all)=0/0/1 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_nonempty 5s
OK gt(imp/impT/all)=0/1/1 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 4s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 5s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 8s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 6s
OK gt(imp/impT/all)=0/4/6 state=ok_nonempty/ok_nonempty/ok_nonempty/ok_empty 12s
