repo,sha,stratum,status,n_gt_imported,n_gt_impT,n_gt_all,syft_state,trivy_state,cdxgen_state,cyclonedx-gomod_state,n_syft,n_trivy,n_cdxgen,n_cyclonedx-gomod,golist_real_errors,golist_progress_lines,error_kinds
3d0c__gmf,be727bc5b56cc2ab61e39d2a16c0e5ed0d00b82e,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,6,1,0,0,0,""
AsaiYusuke__jsonpath,ceeef42de954c85ddc12aa4c645724ce3a3bf816,impT_empty,OK,0,0,1,ok_nonempty,ok_nonempty,ok_empty,ok_nonempty,2,2,0,1,0,0,""
Eyevinn__hls-m3u8,ac8a22d118784fceacc8b0f98c0266c69635707e,impT_nonempty,OK,0,1,1,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,1,1,1,0,0,0,""
Eyevinn__mp4ff,8c9f99a4143239827775e16a99cb89137882cec1,impT_nonempty,OK,0,1,1,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,1,1,1,0,0,0,""
Fs02__wire,bf9e390791441152685607c853cedbdd0a771ea9,impT_nonempty,OK,0,3,3,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,3,3,3,0,0,0,""
HnH__di,5f0d384f471b73b071fbbcdc379615ca46795906,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,4,4,0,0,0,""
Kachit__dusupay-sdk-go,63985b8d5d89bc174ec47510fe9baaf4c1ad67a2,impT_nonempty,OK,0,5,7,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,6,7,2,0,0,0,""
Kachit__fasapay-sdk-go,c2e0c18b1db3410fcffd6801fdb5c690ffee37c4,impT_nonempty,OK,0,5,7,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,6,7,2,0,0,0,""
Konstantin8105__f4go,568775fd7b9b26ab28e653c9ccc8cc2fb7e1548c,impT_nonempty,OK,0,3,3,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,3,3,3,0,0,0,""
OrlovEvgeny__go-mcache,e9fc1cfea5b3ca030571bda219fe29af7c5a6254,impT_nonempty,OK,0,18,25,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,24,18,18,0,0,0,""
PhakornKiong__go-pattern-match,d4ff06facf3fbf8bdb6e83cae402154e5a29fbb9,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,4,4,0,0,0,""
SchwarzIT__hypermatch,3c39ef9c910a8f791f40110293710b38b94a906e,impT_nonempty,OK,0,2,5,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,5,2,0,0,0,""
SimonBaeumer__cmd,04f01f616eca1b93c1b56fe97cfc97a5f348ce04,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,4,4,0,0,0,""
SimonWaldherr__golang-benchmarks,a6f34af4b41ed3ecc30f877cce64b944561dc8cc,impT_nonempty,OK,0,19,47,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,40,22,22,0,0,0,""
SonicRoshan__scope,9bbd38664a7fef52124aa1241900308d49dd9e64,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,6,1,0,0,0,""
StudioSol__set,e3903aa95b4aaa35922c0f874b12eaa514ddf3bb,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,4,4,0,0,0,""
TeaEntityLab__fpGo,1547e5ec4dbe70588e420117de1b9dcbbb3009bd,impT_nonempty,OK,0,4,12,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,8,6,6,0,0,0,""
Wing924__hostutils,578e13e8b2003aa69a20de1f9c35dd036a75d109,impT_nonempty,OK,0,3,3,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,7,6,1,0,0,0,""
abusomani__jsonhandlers,a7f76c2cc9d4f7c1a8f348013550cba138b42eb6,impT_nonempty,OK,0,4,6,ok_nonempty,ok_nonempty,ok_nonempty,ok_empty,5,4,4,0,0,0,""
