github.com/brianvoe/gofakeit/v7	v7.12.1
github.com/davecgh/go-spew	v1.1.1
github.com/dustin/go-humanize	v1.0.1
github.com/google/pprof	v0.0.0-20250317173921-a4b03ec1a45e
github.com/google/uuid	v1.6.0
github.com/hashicorp/golang-lru/v2	v2.0.7
github.com/kr/text	v0.2.0
github.com/mattn/go-isatty	v0.0.20
github.com/mattn/go-runewidth	v0.0.3
github.com/ncruces/go-strftime	v1.0.0
github.com/peterh/liner	v1.2.2
github.com/pmezard/go-difflib	v1.0.0
github.com/remyoudompheng/bigfft	v0.0.0-20230129092748-24d4a6f8daec
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.11.1
go.uber.org/goleak	v1.3.0
go.uber.org/multierr	v1.11.0
go.uber.org/zap	v1.27.1
golang.org/x/crypto	v0.53.0
golang.org/x/mod	v0.33.0
golang.org/x/net	v0.55.0
golang.org/x/sync	v0.20.0
golang.org/x/sys	v0.46.0
golang.org/x/term	v0.44.0
golang.org/x/text	v0.38.0
golang.org/x/tools	v0.42.0
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3	v3.0.1
modernc.org/cc/v4	v4.27.3
modernc.org/ccgo/v4	v4.32.4
modernc.org/fileutil	v1.4.0
modernc.org/gc/v2	v2.6.5
modernc.org/gc/v3	v3.1.2
modernc.org/goabi0	v0.2.0
modernc.org/libc	v1.72.0
modernc.org/mathutil	v1.7.1
modernc.org/memory	v1.11.0
modernc.org/opt	v0.1.4
modernc.org/sortutil	v1.2.1
modernc.org/sqlite	v1.49.1
modernc.org/strutil	v1.2.1
modernc.org/token	v1.1.0
