github.com/cespare/xxhash/v2	v2.1.2
github.com/davecgh/go-spew	v1.1.1
github.com/dgryski/go-rendezvous	v0.0.0-20200823014737-9f7001d12a5f
github.com/fsnotify/fsnotify	v1.4.9
github.com/go-redis/redis/v8	v8.11.4
github.com/kr/pretty	v0.1.0
github.com/kr/text	v0.1.0
github.com/nxadm/tail	v1.4.8
github.com/onsi/ginkgo	v1.16.4
github.com/onsi/gomega	v1.16.0
github.com/pmezard/go-difflib	v1.0.0
github.com/satori/go.uuid	v1.2.0
github.com/spf13/cobra	v1.2.1
github.com/spf13/pflag	v1.0.5
github.com/stretchr/testify	v1.7.0
github.com/vmihailenco/msgpack/v5	v5.3.4
github.com/vmihailenco/tagparser/v2	v2.0.0
golang.org/x/mod	v0.5.1-0.20210830214625-1b1db11ec8f4
golang.org/x/net	v0.0.0-20210428140749-89ef3d95e781
golang.org/x/sync	v0.0.0-20210220032951-036812b2e83c
golang.org/x/sys	v0.0.0-20210510120138-977fb7262007
golang.org/x/text	v0.3.6
golang.org/x/tools	v0.1.5
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
gopkg.in/check.v1	v1.0.0-20190902080502-41f04d3bba15
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.0-20210107192922-496545a6307b
