charm.land/bubbles/v2	v2.1.0
charm.land/bubbletea/v2	v2.0.6
charm.land/lipgloss/v2	v2.0.3
github.com/ZxillyFork/gore	v0.0.0-20260517104207-c177b8d9fc9c
github.com/ZxillyFork/gosym	v0.0.0-20240510024817-deed2b882525
github.com/ZxillyFork/trie	v0.0.0-20240512061834-f75150731646
github.com/ZxillyFork/wazero	v0.0.0-20260213135451-912d95480a5c
github.com/alecthomas/chroma/v2	v2.24.1
github.com/alecthomas/kong	v1.15.0
github.com/aymanbagabas/go-osc52/v2	v2.0.1
github.com/aymerick/douceur	v0.2.0
github.com/blacktop/go-dwarf	v1.0.14
github.com/blacktop/go-macho	v1.1.272
github.com/charmbracelet/colorprofile	v0.4.3
github.com/charmbracelet/glamour	v1.0.0
github.com/charmbracelet/lipgloss	v1.1.1-0.20250404203927-76690c660834
github.com/charmbracelet/ultraviolet	v0.0.0-20260511121909-c840852527f3
github.com/charmbracelet/x/ansi	v0.11.7
github.com/charmbracelet/x/cellbuf	v0.0.15
github.com/charmbracelet/x/exp/slice	v0.0.0-20260517005351-920740d613be
github.com/charmbracelet/x/term	v0.2.2
github.com/charmbracelet/x/termios	v0.1.1
github.com/charmbracelet/x/windows	v0.2.2
github.com/clipperhouse/displaywidth	v0.11.0
github.com/clipperhouse/uax29/v2	v2.7.0
github.com/davecgh/go-spew	v1.1.1
github.com/dlclark/regexp2	v1.12.0
github.com/dustin/go-humanize	v1.0.1
github.com/go-delve/delve	v1.26.3
github.com/gorilla/css	v1.0.1
github.com/jedib0t/go-pretty/v6	v6.7.10
github.com/lucasb-eyer/go-colorful	v1.4.0
github.com/mattn/go-isatty	v0.0.22
github.com/mattn/go-runewidth	v0.0.23
github.com/microcosm-cc/bluemonday	v1.0.27
github.com/muesli/cancelreader	v0.2.2
github.com/muesli/reflow	v0.3.0
github.com/muesli/termenv	v0.16.0
github.com/nikolaydubina/treemap	v1.2.5
github.com/pbnjay/memory	v0.0.0-20210728143218-7b4eea64cf58
github.com/pkg/browser	v0.0.0-20240102092130-5ac0b6a4141c
github.com/pmezard/go-difflib	v1.0.0
github.com/puzpuzpuz/xsync/v4	v4.5.0
github.com/rivo/uniseg	v0.4.7
github.com/samber/lo	v1.53.0
github.com/stretchr/testify	v1.11.1
github.com/xo/terminfo	v0.0.0-20220910002029-abceb7e1c41e
github.com/yuin/goldmark	v1.8.2
github.com/yuin/goldmark-emoji	v1.0.6
golang.org/x/arch	v0.27.0
golang.org/x/exp	v0.0.0-20260508232706-74f9aab9d74a
golang.org/x/net	v0.55.0
golang.org/x/sync	v0.20.0
golang.org/x/sys	v0.45.0
golang.org/x/term	v0.43.0
golang.org/x/text	v0.37.0
gopkg.in/yaml.v3	v3.0.1
