github.com/davecgh/go-spew	v1.1.1
github.com/google/go-cmp	v0.7.0
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.11.1
github.com/yuin/goldmark	v1.4.13
golang.org/x/mod	v0.36.0
golang.org/x/net	v0.54.0
golang.org/x/sync	v0.20.0
golang.org/x/sys	v0.44.0
golang.org/x/telemetry	v0.0.0-20260508192327-42602be52be6
golang.org/x/tools	v0.45.0
golang.org/x/tools/go/expect	v0.1.0-deprecated
golang.org/x/tools/go/packages/packagestest	v0.1.1-deprecated
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3	v3.0.1
