github.com/PuerkitoBio/goquery	v1.12.0
github.com/andybalholm/cascadia	v1.3.4
github.com/boxesandglue/baseline-pdf	v1.1.18
github.com/boxesandglue/boxesandglue	v0.2.38
github.com/boxesandglue/csshtml	v0.0.14
github.com/boxesandglue/gofpdi	v1.0.24
github.com/boxesandglue/htmlbag	v0.0.37
github.com/boxesandglue/svgreader	v0.0.4
github.com/boxesandglue/textshape	v0.0.13
github.com/clipperhouse/stringish	v0.1.1
github.com/clipperhouse/uax29/v2	v2.5.0
github.com/google/uuid	v1.6.0
github.com/speedata/barcode	v1.1.1
github.com/speedata/css	v1.0.5
github.com/speedata/hyphenation	v1.0.2
github.com/speedata/optionparser	v1.2.1
github.com/speedata/pdfdisassembler	v0.0.7
golang.org/x/crypto	v0.54.0
golang.org/x/net	v0.57.0
golang.org/x/sys	v0.47.0
golang.org/x/term	v0.45.0
golang.org/x/text	v0.40.0
