cloud.google.com/go	v0.34.0
cloud.google.com/go/compute/metadata	v0.2.0
github.com/BurntSushi/toml	v0.3.1
github.com/NYTimes/gziphandler	v0.0.0-20170623195520-56545f4a5d46
github.com/OneOfOne/xxhash	v1.2.2
github.com/Shopify/sarama	v1.38.1
github.com/Shopify/toxiproxy/v2	v2.5.0
github.com/antihax/optional	v1.0.0
github.com/araddon/gou	v0.0.0-20211019181548-e7d08105776c
github.com/armon/go-socks5	v0.0.0-20160902184237-e75332964ef5
github.com/asaskevich/govalidator	v0.0.0-20190424111038-f61b66f89f4a
github.com/aws/aws-sdk-go	v1.44.262
github.com/bitly/go-hostpool	v0.1.0
github.com/bmizerany/assert	v0.0.0-20160611221934-b7ed37b82869
github.com/buger/jsonparser	v1.1.1
github.com/census-instrumentation/opencensus-proto	v0.2.1
github.com/cespare/xxhash	v1.1.0
github.com/cespare/xxhash/v2	v2.2.0
github.com/client9/misspell	v0.3.4
github.com/cncf/udpa/go	v0.0.0-20201120205902-5459f2c99403
github.com/cncf/xds/go	v0.0.0-20210312221358-fbca930ec8ed
github.com/coocood/freecache	v1.2.3
github.com/creack/pty	v1.1.9
github.com/davecgh/go-spew	v1.1.1
github.com/docopt/docopt-go	v0.0.0-20180111231733-ee0de3bc6815
github.com/eapache/go-resiliency	v1.3.0
github.com/eapache/go-xerial-snappy	v0.0.0-20230111030713-bf00bc1b83b6
github.com/eapache/queue	v1.1.0
github.com/emicklei/go-restful/v3	v3.10.2
github.com/envoyproxy/go-control-plane	v0.9.9-0.20210512163311-63b5d3c536b0
github.com/envoyproxy/protoc-gen-validate	v0.1.0
github.com/evanphx/json-patch	v4.12.0+incompatible
github.com/flowstack/go-jsonschema	v0.1.1
github.com/fortytw2/leaktest	v1.3.0
github.com/ghodss/yaml	v1.0.0
github.com/go-logr/logr	v1.2.4
github.com/go-openapi/jsonpointer	v0.19.6
github.com/go-openapi/jsonreference	v0.20.2
github.com/go-openapi/swag	v0.22.3
github.com/go-task/slim-sprig	v0.0.0-20210107165309-348f09dbbbc0
github.com/gogo/protobuf	v1.3.2
github.com/golang/glog	v0.0.0-20160126235308-23def4e6c14b
github.com/golang/groupcache	v0.0.0-20210331224755-41bb18bfe9da
github.com/golang/mock	v1.1.1
github.com/golang/protobuf	v1.5.3
github.com/golang/snappy	v0.0.4
github.com/google/btree	v1.0.1
github.com/google/gnostic	v0.6.9
github.com/google/go-cmp	v0.5.9
github.com/google/gofuzz	v1.2.0
