cloud.google.com/go/compute/metadata	v0.2.0
github.com/bwmarrin/discordgo/examples/linked_roles	
github.com/bwmarrin/discordgo/examples/voice_receive	
github.com/golang/protobuf	v1.5.2
github.com/google/go-cmp	v0.5.8
github.com/gorilla/websocket	v1.4.2
github.com/joho/godotenv	v1.4.0
github.com/pion/randutil	v0.1.0
github.com/pion/rtp	v1.6.0
github.com/pion/webrtc/v3	v3.0.0-20200721060053-ca3cc9d940bc
github.com/yuin/goldmark	v1.4.13
golang.org/x/crypto	v0.0.0-20210421170649-83a5a9bb288b
golang.org/x/crypto	v0.0.0-20210921155107-089bfa567519
golang.org/x/mod	v0.6.0-dev.0.20220419223038-86c51ed26bb4
golang.org/x/net	v0.3.0
golang.org/x/oauth2	v0.3.0
golang.org/x/sync	v0.0.0-20220722155255-886fb9371eb4
golang.org/x/sys	v0.0.0-20201119102817-f84b799fce68
golang.org/x/sys	v0.3.0
golang.org/x/term	v0.3.0
golang.org/x/text	v0.5.0
golang.org/x/tools	v0.1.12
golang.org/x/xerrors	v0.0.0-20191204190536-9bdfabe68543
google.golang.org/appengine	v1.6.7
google.golang.org/protobuf	v1.28.0
