contrib.go.opencensus.io/exporter/jaeger	v0.2.1
github.com/KyleBanks/depth	v1.2.1
github.com/alecthomas/template	v0.0.0-20190718012654-fb15b899a751
github.com/armon/go-metrics	v0.4.0
github.com/armon/go-radix	v1.0.0
github.com/aws/aws-sdk-go-v2	v1.16.6
github.com/aws/aws-sdk-go-v2/config	v1.15.12
github.com/aws/aws-sdk-go-v2/credentials	v1.12.7
github.com/aws/aws-sdk-go-v2/feature/ec2/imds	v1.12.7
github.com/aws/aws-sdk-go-v2/internal/configsources	v1.1.13
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2	v2.4.7
github.com/aws/aws-sdk-go-v2/internal/ini	v1.3.14
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url	v1.9.7
github.com/aws/aws-sdk-go-v2/service/kms	v1.17.4
github.com/aws/aws-sdk-go-v2/service/sso	v1.11.10
github.com/aws/aws-sdk-go-v2/service/sts	v1.16.8
github.com/aws/smithy-go	v1.12.0
github.com/beorn7/perks	v1.0.1
github.com/bytedance/sonic	v1.9.1
github.com/cenkalti/backoff/v3	v3.0.0
github.com/cespare/xxhash/v2	v2.2.0
github.com/chenzhuoyu/base64x	v0.0.0-20221115062448-fe3a3abad311
github.com/cossacklabs/pg_query_go/v5	v5.1.0
github.com/cossacklabs/themis/gothemis	v0.14.0
github.com/davecgh/go-spew	v1.1.1
github.com/fatih/color	v1.16.0
github.com/fatih/structs	v1.1.0
github.com/frankban/quicktest	v1.14.3
github.com/gabriel-vasile/mimetype	v1.4.2
github.com/gin-contrib/gzip	v0.0.1
github.com/gin-contrib/sse	v0.1.0
github.com/gin-gonic/gin	v1.9.1
github.com/go-openapi/jsonpointer	v0.19.6
github.com/go-openapi/jsonreference	v0.20.2
github.com/go-openapi/spec	v0.20.9
github.com/go-openapi/swag	v0.22.4
github.com/go-playground/assert/v2	v2.2.0
github.com/go-playground/locales	v0.14.1
github.com/go-playground/universal-translator	v0.18.1
github.com/go-playground/validator/v10	v10.14.0
github.com/go-redis/redis/v7	v7.0.1
github.com/go-sql-driver/mysql	v1.5.0
github.com/go-test/deep	v1.0.4
github.com/goccy/go-json	v0.10.2
github.com/golang/groupcache	v0.0.0-20210331224755-41bb18bfe9da
github.com/golang/protobuf	v1.5.3
github.com/golang/snappy	v0.0.4
github.com/google/btree	v1.0.0
github.com/google/go-cmp	v0.6.0
github.com/hashicorp/consul/api	v1.18.0
github.com/hashicorp/consul/sdk	v0.13.0
github.com/hashicorp/errwrap	v1.1.0
github.com/hashicorp/go-cleanhttp	v0.5.2
github.com/hashicorp/go-hclog	v1.6.3
github.com/hashicorp/go-immutable-radix	v1.3.1
github.com/hashicorp/go-msgpack	v0.5.3
github.com/hashicorp/go-multierror	v1.1.1
github.com/hashicorp/go-plugin	v1.4.3
github.com/hashicorp/go-retryablehttp	v0.7.7
github.com/hashicorp/go-rootcerts	v1.0.2
github.com/hashicorp/go-secure-stdlib/mlock	v0.1.1
github.com/hashicorp/go-secure-stdlib/parseutil	v0.1.1
github.com/hashicorp/go-secure-stdlib/strutil	v0.1.1
github.com/hashicorp/go-sockaddr	v1.0.2
github.com/hashicorp/go-uuid	v1.0.2
github.com/hashicorp/go-version	v1.2.1
github.com/hashicorp/golang-lru	v0.5.4
github.com/hashicorp/hcl	v1.0.0
github.com/hashicorp/memberlist	v0.5.0
github.com/hashicorp/serf	v0.10.1
github.com/hashicorp/vault/api	v1.3.0
github.com/hashicorp/vault/sdk	v0.3.0
github.com/hashicorp/yamux	v0.0.0-20180604194846-3520598351bb
github.com/hpcloud/tail	v1.0.0
github.com/jackc/pgpassfile	v1.0.0
github.com/jackc/pgservicefile	v0.0.0-20240606120523-5a60cdf6a761
github.com/jackc/pgx/v5	v5.7.2
github.com/jackc/puddle/v2	v2.2.2
github.com/jhump/protoreflect	v1.6.0
github.com/josharian/intern	v1.0.0
github.com/json-iterator/go	v1.1.12
github.com/klauspost/cpuid/v2	v2.2.4
github.com/kr/pretty	v0.3.0
github.com/kr/text	v0.2.0
github.com/leodido/go-urn	v1.2.4
github.com/lib/pq	v1.10.9
github.com/mailru/easyjson	v0.7.7
github.com/mattn/go-colorable	v0.1.13
github.com/mattn/go-isatty	v0.0.20
github.com/matttproud/golang_protobuf_extensions	v1.0.1
github.com/miekg/dns	v1.1.50
github.com/mitchellh/copystructure	v1.0.0
github.com/mitchellh/go-homedir	v1.1.0
github.com/mitchellh/go-testing-interface	v1.0.0
github.com/mitchellh/mapstructure	v1.5.0
github.com/mitchellh/reflectwalk	v1.0.0
github.com/modern-go/concurrent	v0.0.0-20180306012644-bacd9c7ef1dd
github.com/modern-go/reflect2	v1.0.2
github.com/oklog/run	v1.0.0
github.com/onsi/ginkgo	v1.10.2
github.com/onsi/gomega	v1.7.0
github.com/pascaldekloe/goe	v0.1.0
github.com/pelletier/go-toml/v2	v2.0.8
github.com/philhofer/fwd	v1.1.1
github.com/pierrec/lz4	v2.5.2%2Bincompatible
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/prometheus/client_golang	v1.11.1
github.com/prometheus/client_model	v0.2.0
github.com/prometheus/common	v0.26.0
github.com/prometheus/procfs	v0.6.0
github.com/rogpeppe/go-internal	v1.9.0
github.com/ryanuber/go-glob	v1.0.0
github.com/sean-/seed	v0.0.0-20170313163322-e2103e2c3529
github.com/sirupsen/logrus	v1.8.3
github.com/stretchr/objx	v0.5.0
github.com/stretchr/testify	v1.8.3
github.com/swaggo/files	v0.0.0-20190704085106-630677cd5c14
github.com/swaggo/gin-swagger	v1.3.0
github.com/swaggo/swag	v1.16.1
github.com/tinylib/msgp	v1.1.6
github.com/twitchyliquid64/golang-asm	v0.15.1
github.com/uber/jaeger-client-go	v2.25.0%2Bincompatible
github.com/ugorji/go/codec	v1.2.11
go.etcd.io/bbolt	v1.3.6
go.opencensus.io	v0.24.0
go.uber.org/atomic	v1.10.0
golang.org/x/arch	v0.3.0
golang.org/x/crypto	v0.36.0
golang.org/x/mod	v0.17.0
golang.org/x/net	v0.38.0
golang.org/x/sync	v0.12.0
golang.org/x/sys	v0.31.0
golang.org/x/text	v0.23.0
golang.org/x/time	v0.1.0
golang.org/x/tools	v0.21.1-0.20240508182429-e35e4ccd0d2d
google.golang.org/api	v0.107.0
google.golang.org/genproto	v0.0.0-20230410155749-daa745c078e1
google.golang.org/grpc	v1.56.3
google.golang.org/protobuf	v1.33.0
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/fsnotify.v1	v1.4.7
gopkg.in/square/go-jose.v2	v2.5.1
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.1
