github.com/coder/websocket	v1.8.14
github.com/davecgh/go-spew	v1.1.1
github.com/elazarl/goproxy/examples/goproxy-transparent	
github.com/elazarl/goproxy/ext	
github.com/elazarl/goproxy/ext	v0.0.0-20250117123040-e9229c451ab8
github.com/inconshreveable/go-vhost	v1.0.0
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/testify	v1.11.1
github.com/stretchr/testify	v1.8.4
github.com/things-go/go-socks5	v0.0.5
golang.org/x/net	v0.20.0
golang.org/x/net	v0.36.0
golang.org/x/net	v0.43.0
golang.org/x/text	v0.22.0
golang.org/x/text	v0.28.0
gopkg.in/yaml.v3	v3.0.1
socks5proxyserver	
