blitiri.com.ar/go/spf	v1.5.1
cel.dev/expr	v0.19.0
cloud.google.com/go	v0.116.0
cloud.google.com/go/aiplatform	v1.24.0
cloud.google.com/go/analytics	v0.12.0
cloud.google.com/go/area120	v0.6.0
cloud.google.com/go/artifactregistry	v1.7.0
cloud.google.com/go/asset	v1.8.0
cloud.google.com/go/assuredworkloads	v1.7.0
cloud.google.com/go/auth	v0.14.0
cloud.google.com/go/auth/oauth2adapt	v0.2.7
cloud.google.com/go/automl	v1.6.0
cloud.google.com/go/bigquery	v1.42.0
cloud.google.com/go/billing	v1.5.0
cloud.google.com/go/binaryauthorization	v1.2.0
cloud.google.com/go/cloudtasks	v1.6.0
cloud.google.com/go/compute	v1.24.0
cloud.google.com/go/compute/metadata	v0.6.0
cloud.google.com/go/containeranalysis	v0.6.0
cloud.google.com/go/datacatalog	v1.6.0
cloud.google.com/go/dataflow	v0.7.0
cloud.google.com/go/dataform	v0.4.0
cloud.google.com/go/datalabeling	v0.6.0
cloud.google.com/go/dataqna	v0.6.0
cloud.google.com/go/datastore	v1.1.0
cloud.google.com/go/datastream	v1.3.0
cloud.google.com/go/dialogflow	v1.17.0
cloud.google.com/go/documentai	v1.8.0
cloud.google.com/go/domains	v0.7.0
cloud.google.com/go/edgecontainer	v0.2.0
cloud.google.com/go/firestore	v1.15.0
cloud.google.com/go/functions	v1.7.0
cloud.google.com/go/gaming	v1.6.0
cloud.google.com/go/gkeconnect	v0.6.0
cloud.google.com/go/gkehub	v0.10.0
cloud.google.com/go/grafeas	v0.2.0
cloud.google.com/go/iam	v1.2.2
cloud.google.com/go/language	v1.6.0
cloud.google.com/go/lifesciences	v0.6.0
cloud.google.com/go/longrunning	v0.5.6
cloud.google.com/go/mediatranslation	v0.6.0
cloud.google.com/go/memcache	v1.5.0
cloud.google.com/go/metastore	v1.6.0
cloud.google.com/go/monitoring	v1.21.2
cloud.google.com/go/networkconnectivity	v1.5.0
cloud.google.com/go/networksecurity	v0.6.0
cloud.google.com/go/notebooks	v1.3.0
cloud.google.com/go/osconfig	v1.8.0
cloud.google.com/go/oslogin	v1.5.0
cloud.google.com/go/phishingprotection	v0.6.0
cloud.google.com/go/privatecatalog	v0.6.0
cloud.google.com/go/pubsub	v1.3.1
cloud.google.com/go/recaptchaenterprise	v1.3.1
cloud.google.com/go/recaptchaenterprise/v2	v2.3.0
cloud.google.com/go/recommendationengine	v0.6.0
cloud.google.com/go/recommender	v1.6.0
cloud.google.com/go/redis	v1.8.0
cloud.google.com/go/retail	v1.9.0
cloud.google.com/go/scheduler	v1.5.0
cloud.google.com/go/secretmanager	v1.6.0
cloud.google.com/go/security	v1.8.0
cloud.google.com/go/securitycenter	v1.14.0
cloud.google.com/go/servicedirectory	v1.5.0
cloud.google.com/go/speech	v1.7.0
cloud.google.com/go/storage	v1.49.0
cloud.google.com/go/talent	v1.2.0
cloud.google.com/go/translate	v1.10.3
cloud.google.com/go/videointelligence	v1.7.0
cloud.google.com/go/vision	v1.2.0
cloud.google.com/go/vision/v2	v2.3.0
cloud.google.com/go/webrisk	v1.5.0
cloud.google.com/go/workflows	v1.7.0
dmitri.shuralyov.com/gpu/mtl	v0.0.0-20190408044501-666a987793e9
filippo.io/edwards25519	v1.1.0
git.mills.io/prologic/bitcask	v1.0.0
github.com/Azure/go-ntlmssp	v0.0.0-20221128193559-754e69321358
github.com/BurntSushi/toml	v1.4.0
github.com/BurntSushi/xgb	v0.0.0-20160522181843-27f122750802
github.com/G-Core/gcore-dns-sdk-go	v0.2.9
github.com/GehirnInc/crypt	v0.0.0-20230320061759-8cc1b52080c5
github.com/GoogleCloudPlatform/opentelemetry-operations-go/detectors/gcp	v1.25.0
github.com/GoogleCloudPlatform/opentelemetry-operations-go/exporter/metric	v0.48.1
github.com/GoogleCloudPlatform/opentelemetry-operations-go/internal/resourcemapping	v0.48.1
github.com/OneOfOne/xxhash	v1.2.2
github.com/RoaringBitmap/roaring	v0.4.17
github.com/Smerity/govarint	v0.0.0-20150407073650-7265e41f48f1
github.com/abcum/lcp	v0.0.0-20201209214815-7a3f3840be81
github.com/alecthomas/kingpin/v2	v2.4.0
github.com/alecthomas/units	v0.0.0-20211218093645-b94a6e3cc137
github.com/alexbrainman/sspi	v0.0.0-20231016080023-1a75b4708caa
github.com/antihax/optional	v1.0.0
github.com/armon/go-metrics	v0.4.1
github.com/aws/aws-sdk-go	v1.44.40
github.com/aws/aws-sdk-go-v2	v1.33.0
github.com/aws/aws-sdk-go-v2/config	v1.29.1
github.com/aws/aws-sdk-go-v2/credentials	v1.17.54
github.com/aws/aws-sdk-go-v2/feature/ec2/imds	v1.16.24
github.com/aws/aws-sdk-go-v2/internal/configsources	v1.3.28
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2	v2.6.28
github.com/aws/aws-sdk-go-v2/internal/ini	v1.8.1
github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding	v1.12.1
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url	v1.12.9
github.com/aws/aws-sdk-go-v2/service/route53	v1.48.2
github.com/aws/aws-sdk-go-v2/service/sso	v1.24.11
github.com/aws/aws-sdk-go-v2/service/ssooidc	v1.28.10
github.com/aws/aws-sdk-go-v2/service/sts	v1.33.9
github.com/aws/smithy-go	v1.22.2
github.com/beorn7/perks	v1.0.1
github.com/bgentry/speakeasy	v0.1.0
github.com/blevesearch/bleve	v0.7.0
github.com/blevesearch/blevex	v0.0.0-20180227211930-4b158bb555a3
github.com/blevesearch/go-porterstemmer	v1.0.2
github.com/blevesearch/segment	v0.0.0-20160915185041-762005e7a34f
github.com/boltdb/bolt	v1.3.1
github.com/c0va23/go-proxyprotocol	v0.9.1
github.com/caddyserver/certmagic	v0.21.7
github.com/caddyserver/zerossl	v0.1.3
github.com/cenkalti/backoff	v2.2.1+incompatible
github.com/census-instrumentation/opencensus-proto	v0.4.1
github.com/cespare/xxhash	v1.1.0
github.com/cespare/xxhash/v2	v2.3.0
github.com/chzyer/logex	v1.1.10
github.com/chzyer/readline	v0.0.0-20180603132655-2972be24d48e
github.com/chzyer/test	v0.0.0-20180213035817-a1ea475d72b1
github.com/client9/misspell	v0.3.4
github.com/cncf/udpa/go	v0.0.0-20210930031921-04548b0d99d4
github.com/cncf/xds/go	v0.0.0-20240905190251-b4127c9b8d78
github.com/coreos/go-semver	v0.3.0
github.com/coreos/go-systemd/v22	v22.3.2
github.com/couchbase/vellum	v0.0.0-20190328134517-462e86d8716b
github.com/cpuguy83/go-md2man/v2	v2.0.6
github.com/cznic/b	v0.0.0-20181122101859-a26611c4d92d
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/digitalocean/godo	v1.134.0
github.com/dustin/go-humanize	v1.0.1
github.com/edsrzf/mmap-go	v1.1.0
github.com/emersion/go-imap	v1.2.2-0.20220928192137-6fac715be9cf
github.com/emersion/go-imap-appendlimit	v0.0.0-20190308131241-25671c986a6a
github.com/emersion/go-imap-compress	v0.0.0-20201103190257-14809af1d1b9
github.com/emersion/go-imap-move	v0.0.0-20180601155324-5eb20cb834bf
github.com/emersion/go-imap-sortthread	v1.2.0
github.com/emersion/go-message	v0.18.2
github.com/emersion/go-milter	v0.4.1
github.com/emersion/go-msgauth	v0.6.8
github.com/emersion/go-sasl	v0.0.0-20241020182733-b788ff22d5a6
github.com/emersion/go-smtp	v0.21.3
github.com/emersion/go-textwrapper	v0.0.0-20200911093747-65d896831594
github.com/envoyproxy/go-control-plane	v0.13.1
github.com/envoyproxy/protoc-gen-validate	v1.1.0
github.com/fatih/color	v1.18.0
github.com/felixge/httpsnoop	v1.0.4
github.com/foxcpp/go-dovecot-sasl	v0.0.0-20260303144336-f7632c6ec0ba
github.com/foxcpp/go-imap-backend-tests	v0.0.0-20220105184719-e80aa29a5e16
github.com/foxcpp/go-imap-i18nlevel	v0.0.0-20200208001533-d6ec88553005
github.com/foxcpp/go-imap-mess	v0.0.0-20230108134257-b7ec3a649613
github.com/foxcpp/go-imap-namespace	v0.0.0-20200802091432-08496dd8e0ed
github.com/foxcpp/go-imap-sql	v0.5.1-0.20260412184517-b5e85e90f14d
github.com/foxcpp/go-mockdns	v1.1.0
github.com/foxcpp/go-mtasts	v0.0.0-20240130093538-1438da2e5932
github.com/frankban/quicktest	v1.14.6
github.com/fsnotify/fsnotify	v1.8.0
github.com/ghodss/yaml	v1.0.0
github.com/glycerine/go-unsnap-stream	v0.0.0-20181221182339-f9677308dec2
github.com/go-asn1-ber/asn1-ber	v1.5.7
github.com/go-gl/glfw	v0.0.0-20190409004039-e6da0acd62b1
github.com/go-gl/glfw/v3.3/glfw	v0.0.0-20200222043503-6f7a984d4dc4
github.com/go-ini/ini	v1.67.0
github.com/go-ldap/ldap/v3	v3.4.10
github.com/go-logr/logr	v1.4.2
github.com/go-logr/stdr	v1.2.2
github.com/go-sql-driver/mysql	v1.8.1
github.com/goccy/go-json	v0.10.4
github.com/gofrs/flock	v0.8.1
github.com/gogo/protobuf	v1.3.2
github.com/golang-jwt/jwt/v4	v4.2.0
github.com/golang/glog	v1.2.3
github.com/golang/groupcache	v0.0.0-20210331224755-41bb18bfe9da
github.com/golang/mock	v1.6.0
github.com/golang/protobuf	v1.5.4
github.com/golang/snappy	v0.0.3
github.com/google/btree	v1.0.0
github.com/google/go-cmp	v0.6.0
github.com/google/go-pkcs11	v0.3.0
github.com/google/go-querystring	v1.1.0
github.com/google/martian	v2.1.0+incompatible
github.com/google/martian/v3	v3.3.2
github.com/google/pprof	v0.0.0-20240409012703-83162a5b38cd
github.com/google/renameio	v0.1.0
github.com/google/s2a-go	v0.1.9
github.com/google/uuid	v1.6.0
github.com/googleapis/enterprise-certificate-proxy	v0.3.4
github.com/googleapis/gax-go/v2	v2.14.1
github.com/googleapis/go-type-adapters	v1.0.0
github.com/gorilla/securecookie	v1.1.1
github.com/gorilla/sessions	v1.2.1
github.com/grpc-ecosystem/grpc-gateway	v1.16.0
github.com/hashicorp/consul/api	v1.28.2
github.com/hashicorp/errwrap	v1.1.0
github.com/hashicorp/go-cleanhttp	v0.5.2
github.com/hashicorp/go-hclog	v1.6.3
github.com/hashicorp/go-immutable-radix	v1.3.1
github.com/hashicorp/go-multierror	v1.1.1
github.com/hashicorp/go-plugin	v1.0.1
github.com/hashicorp/go-retryablehttp	v0.7.7
github.com/hashicorp/go-rootcerts	v1.0.2
github.com/hashicorp/go-uuid	v1.0.3
github.com/hashicorp/golang-lru	v0.5.4
github.com/hashicorp/hcl	v1.0.0
github.com/hashicorp/serf	v0.10.1
github.com/hashicorp/yamux	v0.0.0-20180604194846-3520598351bb
github.com/ianlancetaylor/demangle	v0.0.0-20200824232613-28f6c0f3b639
github.com/inconshreveable/mousetrap	v1.0.0
github.com/jcmturner/aescts/v2	v2.0.0
github.com/jcmturner/dnsutils/v2	v2.0.0
github.com/jcmturner/gofork	v1.7.6
github.com/jcmturner/goidentity/v6	v6.0.1
github.com/jcmturner/gokrb5/v8	v8.4.4
github.com/jcmturner/rpc/v2	v2.0.3
github.com/jimlambrt/gldap	v0.1.14
github.com/jmespath/go-jmespath	v0.4.0
github.com/jmespath/go-jmespath/internal/testify	v1.5.1
github.com/jmhodges/levigo	v1.0.0
github.com/johannesboyne/gofakes3	v0.0.0-20210704111953-6a9f95c2941c
github.com/josharian/intern	v1.0.0
github.com/jpillora/backoff	v1.0.0
github.com/json-iterator/go	v1.1.12
github.com/jstemmer/go-junit-report	v0.9.1
github.com/julienschmidt/httprouter	v1.3.0
github.com/kballard/go-shellquote	v0.0.0-20180428030007-95032a82bc51
github.com/kisielk/gotool	v1.0.0
github.com/klauspost/compress	v1.17.11
github.com/klauspost/cpuid/v2	v2.2.9
github.com/kr/fs	v0.1.0
github.com/kr/pretty	v0.3.1
github.com/kr/pty	v1.1.1
