fyne.io/systray	v1.12.2
github.com/BurntSushi/toml	v1.6.0
github.com/FyshOS/fancyfs	v0.0.1
github.com/akavel/rsrc	v0.10.2
github.com/anthonynsimon/bild	v0.14.0
github.com/clipperhouse/uax29/v2	v2.2.0
github.com/cpuguy83/go-md2man/v2	v2.0.7
github.com/davecgh/go-spew	v1.1.1
github.com/fogleman/gg	v1.3.0
github.com/fsnotify/fsnotify	v1.9.0
github.com/fyne-io/image	v0.1.1
github.com/fyne-io/oksvg	v0.2.0
github.com/go-gl/gl	v0.0.0-20260331235117-4566fea9a276
github.com/go-gl/glfw/v3.4/glfw	v0.1.0-pre.1.0.20260707082822-2a407d02d01a
github.com/go-text/render	v0.2.1
github.com/go-text/typesetting	v0.3.4
github.com/godbus/dbus/v5	v5.2.2
github.com/golang/freetype	v0.0.0-20170609003504-e2365dfdc4a0
github.com/jackmordaunt/icns/v2	v2.2.7
github.com/jeandeaual/go-locale	v0.0.0-20250612000132-0ef82f21eade
github.com/josephspurrier/goversioninfo	v1.7.0
github.com/jsummers/gobmp	v0.0.0-20230614200233-a9de23ed2e25
github.com/lucor/goinfo	v0.9.0
github.com/mattn/go-runewidth	v0.0.24
github.com/mcuadros/go-version	v0.0.0-20190830083331-035f6764e8d2
github.com/natefinch/atomic	v1.0.1
github.com/nfnt/resize	v0.0.0-20180221191011-83c6a9932646
github.com/nicksnyder/go-i18n/v2	v2.5.1
github.com/pmezard/go-difflib	v1.0.0
github.com/russross/blackfriday/v2	v2.1.0
github.com/rymdport/portal	v0.4.2
github.com/srwiley/oksvg	v0.0.0-20221011165216-be6e8873101c
github.com/srwiley/rasterx	v0.0.0-20220730225603-2ab79fcdd4ef
github.com/stretchr/testify	v1.11.1
github.com/urfave/cli/v2	v2.27.7
github.com/xrash/smetrics	v0.0.0-20240521201337-686a1a2994c1
github.com/yuin/goldmark	v1.8.2
golang.org/x/image	v0.24.0
golang.org/x/mod	v0.23.0
golang.org/x/net	v0.35.0
golang.org/x/sync	v0.11.0
golang.org/x/sys	v0.30.0
golang.org/x/text	v0.22.0
golang.org/x/tools	v0.30.0
golang.org/x/tools/go/vcs	v0.1.0-deprecated
gopkg.in/yaml.v3	v3.0.1
