github.com/gabriel-vasile/mimetype	v1.4.13
github.com/gin-contrib/sse	v1.1.0
github.com/go-playground/locales	v0.14.1
github.com/go-playground/universal-translator	v0.18.1
github.com/go-playground/validator/v10	v10.30.3
github.com/goccy/go-yaml	v1.19.2
github.com/leodido/go-urn	v1.4.0
github.com/mattn/go-isatty	v0.0.20
github.com/pelletier/go-toml/v2	v2.2.4
github.com/quic-go/qpack	v0.6.0
github.com/quic-go/quic-go	v0.60.0
github.com/ugorji/go/codec	v1.3.1
go.mongodb.org/mongo-driver/v2	v2.5.0
golang.org/x/crypto	v0.52.0
golang.org/x/net	v0.55.0
golang.org/x/sys	v0.45.0
golang.org/x/text	v0.37.0
google.golang.org/protobuf	v1.36.11
