github.com/HdrHistogram/hdrhistogram-go	v1.1.2
github.com/axgle/mahonia	v0.0.0-20180208002826-3358181d7394
github.com/cespare/xxhash/v2	v2.3.0
github.com/davecgh/go-spew	v1.1.1
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/gogo/protobuf	v1.3.2
github.com/golang/protobuf	v1.5.4
github.com/google/go-cmp	v0.7.0
github.com/google/uuid	v1.6.0
github.com/gookit/assert	v0.1.1
github.com/gookit/color	v1.6.0
github.com/grpc-ecosystem/go-grpc-middleware	v1.3.0
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/miekg/dns	v1.1.50
github.com/opentracing/opentracing-go	v1.2.0
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/pmezard/go-difflib	v1.0.1-0.20181226105442-5d4384ee4fb2
github.com/rogpeppe/go-internal	v1.10.0
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.11.1
github.com/uber/jaeger-client-go	v2.30.0%2Bincompatible
github.com/uber/jaeger-lib	v2.4.1%2Bincompatible
github.com/xo/terminfo	v0.0.0-20220910002029-abceb7e1c41e
github.com/xxjwxc/gowp	v0.0.0-20200603130651-4d7368b0e285
github.com/xxjwxc/public	v0.0.0-20260228072651-9aec6824e727
gmicro	
go.opentelemetry.io/auto/sdk	v1.2.1
go.opentelemetry.io/otel	v1.39.0
go.opentelemetry.io/otel/metric	v1.39.0
go.opentelemetry.io/otel/sdk	v1.39.0
go.opentelemetry.io/otel/sdk/metric	v1.39.0
go.opentelemetry.io/otel/trace	v1.39.0
go.uber.org/atomic	v1.11.0
go.uber.org/goleak	v1.3.0
go.uber.org/multierr	v1.11.0
go.uber.org/zap	v1.27.1
golang.org/x/exp	v0.0.0-20220909182711-5c715a9e8561
golang.org/x/exp	v0.0.0-20241009180824-f66d83c29e7c
golang.org/x/mod	v0.33.0
golang.org/x/net	v0.51.0
golang.org/x/sync	v0.19.0
golang.org/x/sys	v0.41.0
golang.org/x/text	v0.34.0
golang.org/x/tools	v0.42.0
gonum.org/v1/gonum	v0.16.0
google.golang.org/genproto/googleapis/rpc	v0.0.0-20260226221140-a57be14db171
google.golang.org/grpc	v1.79.1
google.golang.org/protobuf	v1.36.11
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/eapache/queue.v1	v1.1.0
gopkg.in/natefinch/lumberjack.v2	v2.2.1
gopkg.in/yaml.v3	v3.0.1
