github.com/a-h/templ	v0.3.1020
github.com/bytedance/gopkg	v0.1.3
github.com/bytedance/sonic	v1.15.0
github.com/bytedance/sonic/loader	v0.5.0
github.com/caddyserver/certmagic	v0.25.4
github.com/caddyserver/zerossl	v0.1.5
github.com/cloudwego/base64x	v0.1.6
github.com/cpuguy83/go-md2man/v2	v2.0.7
github.com/dustin/go-humanize	v1.0.1
github.com/gabriel-vasile/mimetype	v1.4.13
github.com/getkin/kin-openapi	v0.140.0
github.com/gin-contrib/sse	v1.1.0
github.com/gin-gonic/gin	v1.12.0
github.com/go-chi/chi/v5	v5.3.0
github.com/go-fuego/fuego/cmd/fuego	
github.com/go-fuego/fuego/examples/acme-tls	
github.com/go-fuego/fuego/examples/basic	
github.com/go-fuego/fuego/examples/crud-gorm	
github.com/go-fuego/fuego/examples/custom-errors	
github.com/go-fuego/fuego/examples/custom-serializer	
github.com/go-fuego/fuego/examples/echo-compat	
github.com/go-fuego/fuego/examples/full-app-gourmet	
github.com/go-fuego/fuego/examples/generate-opengraph-image	
github.com/go-fuego/fuego/examples/gin-compat	
github.com/go-fuego/fuego/examples/hello-world	
github.com/go-fuego/fuego/examples/mux-compat	
github.com/go-fuego/fuego/examples/openapi	
github.com/go-fuego/fuego/examples/openapi-generate	
github.com/go-fuego/fuego/examples/petstore	
github.com/go-fuego/fuego/examples/with-listener	
github.com/go-fuego/fuego/extra/fuegoecho	
github.com/go-fuego/fuego/extra/fuegogin	
github.com/go-fuego/fuego/extra/fuegomux	
github.com/go-fuego/fuego/extra/markdown	
github.com/go-fuego/fuego/extra/sql	
github.com/go-fuego/fuego/extra/sqlite3	
github.com/go-fuego/fuego/middleware/basicauth	
github.com/go-fuego/fuego/middleware/cache	
github.com/go-openapi/jsonpointer	v0.22.5
github.com/go-openapi/swag/jsonname	v0.25.5
github.com/go-playground/locales	v0.14.1
github.com/go-playground/universal-translator	v0.18.1
github.com/go-playground/validator/v10	v10.30.3
github.com/goccy/go-json	v0.10.5
github.com/goccy/go-yaml	v1.19.2
github.com/golang-jwt/jwt/v5	v5.3.1
github.com/golang-migrate/migrate/v4	v4.19.1
github.com/golang/freetype	v0.0.0-20170609003504-e2365dfdc4a0
github.com/golang/mock	v1.6.0
github.com/gomarkdown/markdown	v0.0.0-20250810172220-2e2c11897d1a
github.com/google/uuid	v1.6.0
github.com/gorilla/mux	v1.8.1
github.com/gorilla/schema	v1.4.1
github.com/hashicorp/golang-lru/v2	v2.0.7
github.com/jinzhu/inflection	v1.0.0
github.com/jinzhu/now	v1.1.5
github.com/joho/godotenv	v1.5.1
github.com/json-iterator/go	v1.1.12
github.com/klauspost/cpuid/v2	v2.3.0
github.com/labstack/echo/v4	v4.15.4
github.com/labstack/gommon	v0.5.0
github.com/leodido/go-urn	v1.4.0
github.com/libdns/libdns	v1.1.1
github.com/lmittmann/tint	v1.1.3
github.com/mattn/go-colorable	v0.1.15
github.com/mattn/go-isatty	v0.0.22
github.com/mattn/go-sqlite3	v1.14.47
github.com/mholt/acmez/v3	v3.1.6
github.com/miekg/dns	v1.1.72
github.com/modern-go/concurrent	v0.0.0-20180306012644-bacd9c7ef1dd
github.com/modern-go/reflect2	v1.0.2
github.com/ncruces/go-strftime	v1.0.0
github.com/oasdiff/yaml	v0.1.0
github.com/oasdiff/yaml3	v0.0.13
github.com/pelletier/go-toml/v2	v2.2.4
github.com/quic-go/qpack	v0.6.0
github.com/quic-go/quic-go	v0.59.0
github.com/remyoudompheng/bigfft	v0.0.0-20230129092748-24d4a6f8daec
github.com/rs/cors	v1.11.1
github.com/russross/blackfriday/v2	v2.1.0
github.com/santhosh-tekuri/jsonschema/v6	v6.0.2
github.com/stretchr/testify	v1.11.1
github.com/twitchyliquid64/golang-asm	v0.15.1
github.com/ugorji/go/codec	v1.3.1
github.com/urfave/cli/v2	v2.27.7
github.com/valyala/bytebufferpool	v1.0.0
github.com/valyala/fasttemplate	v1.2.2
github.com/xrash/smetrics	v0.0.0-20250705151800-55b8f293f342
github.com/zeebo/blake3	v0.2.4
go.mongodb.org/mongo-driver/v2	v2.5.0
go.uber.org/multierr	v1.11.0
go.uber.org/zap	v1.27.1
go.uber.org/zap/exp	v0.3.0
golang.org/x/arch	v0.23.0
golang.org/x/crypto	v0.53.0
golang.org/x/image	v0.43.0
golang.org/x/mod	v0.36.0
golang.org/x/net	v0.56.0
golang.org/x/sync	v0.21.0
golang.org/x/sys	v0.46.0
golang.org/x/text	v0.38.0
golang.org/x/time	v0.15.0
golang.org/x/tools	v0.45.0
google.golang.org/protobuf	v1.36.10
gopkg.in/yaml.v3	v3.0.1
gorm.io/driver/sqlite	v1.6.0
gorm.io/gorm	v1.31.2
modernc.org/libc	v1.73.4
modernc.org/mathutil	v1.7.1
modernc.org/memory	v1.11.0
modernc.org/sqlite	v1.53.0
testing-from-outside	
