github.com/BurntSushi/toml	v1.6.0
github.com/fatih/camelcase	v1.0.0
github.com/fatih/gomodifytags	v1.17.1-0.20250423142747-f3939df9aa3c
github.com/fatih/structtag	v1.2.0
github.com/fsnotify/fsnotify	v1.9.0
github.com/google/go-cmp	v0.7.0
github.com/google/jsonschema-go	v0.4.3
github.com/modelcontextprotocol/go-sdk	v1.6.1
github.com/segmentio/asm	v1.2.1
github.com/segmentio/encoding	v0.5.4
github.com/yosida95/uritemplate/v3	v3.0.2
github.com/yuin/goldmark	v1.4.13
golang.org/x/exp/typeparams	v0.0.0-20260611194520-c48552f49976
golang.org/x/mod	v0.38.0
golang.org/x/net	v0.57.0
golang.org/x/oauth2	v0.36.0
golang.org/x/sync	v0.22.0
golang.org/x/sys	v0.47.0
golang.org/x/telemetry	v0.0.0-20260708182218-49f421fb7959
golang.org/x/text	v0.40.0
golang.org/x/vuln	v1.5.0
gopkg.in/yaml.v3	v3.0.1
honnef.co/go/tools	v0.8.0-rc.1
mvdan.cc/gofumpt	v0.10.0
mvdan.cc/xurls/v2	v2.6.0
