github.com/andybalholm/brotli	v1.2.1
github.com/gabriel-vasile/mimetype	v1.4.13
github.com/gin-contrib/sse	v1.1.1
github.com/gin-gonic/gin	v1.12.0
github.com/go-chi/chi/v5	v5.2.5
github.com/go-playground/locales	v0.14.1
github.com/go-playground/universal-translator	v0.18.1
github.com/go-playground/validator/v10	v10.30.2
github.com/goccy/go-yaml	v1.19.2
github.com/gookit/color	v1.2.7
github.com/gookit/color	v1.3.5
github.com/gookit/color	v1.6.0
github.com/gookit/filter	v1.1.1
github.com/gookit/filter	v1.2.3
github.com/gookit/goutil	v0.3.6
github.com/gookit/goutil	v0.7.1
github.com/gookit/goutil	v0.8.0
github.com/gookit/rux	v1.2.10
github.com/gookit/rux	v1.3.1
github.com/gookit/rux	v1.4.1
github.com/gookit/validate	v1.2.5
github.com/gookit/validate	v1.5.5
github.com/gookit/validate	v1.5.7
github.com/gorilla/mux	v1.8.1
github.com/julienschmidt/httprouter	v1.3.0
github.com/kataras/muxie	v1.1.2
github.com/klauspost/compress	v1.18.6
github.com/labstack/echo	v3.3.10%2Bincompatible
github.com/labstack/gommon	v0.5.0
github.com/leodido/go-urn	v1.4.0
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.22
github.com/monoculum/formam	v0.0.0-20200923020755-6f187e4ffe27
github.com/monoculum/formam	v3.5.5%2Bincompatible
github.com/pelletier/go-toml/v2	v2.3.1
github.com/quic-go/qpack	v0.6.0
github.com/quic-go/quic-go	v0.59.1
github.com/ugorji/go/codec	v1.3.1
github.com/valyala/bytebufferpool	v1.0.0
github.com/valyala/fasthttp	v1.71.0
github.com/valyala/fasttemplate	v1.2.2
github.com/xo/terminfo	v0.0.0-20220910002029-abceb7e1c41e
go.mongodb.org/mongo-driver/v2	v2.6.0
golang.org/x/crypto	v0.52.0
golang.org/x/net	v0.55.0
golang.org/x/sync	v0.11.0
golang.org/x/sync	v0.16.0
golang.org/x/sync	v0.20.0
golang.org/x/sys	v0.30.0
golang.org/x/sys	v0.35.0
golang.org/x/sys	v0.45.0
golang.org/x/term	v0.29.0
golang.org/x/term	v0.43.0
golang.org/x/text	v0.22.0
golang.org/x/text	v0.28.0
golang.org/x/text	v0.37.0
google.golang.org/protobuf	v1.36.11
