github.com/apache/arrow/go/arrow	v0.0.0-20211112161151-bc219186db40
github.com/awalterschulze/gographviz	v2.0.3%2Bincompatible
github.com/chewxy/hm	v1.0.0
github.com/chewxy/math32	v1.10.1
github.com/davecgh/go-spew	v1.1.1
github.com/fatih/color	v1.10.0
github.com/go-gota/gota	v0.12.0
github.com/gogo/protobuf	v1.3.2
github.com/golang/protobuf	v1.5.2
github.com/golang/snappy	v0.0.3
github.com/google/flatbuffers	v2.0.6%2Bincompatible
github.com/google/go-cmp	v0.5.7
github.com/google/uuid	v1.3.0
github.com/klauspost/compress	v1.13.1
github.com/leesper/go_rng	v0.0.0-20190531154944-a612b043e353
github.com/mattn/go-colorable	v0.1.8
github.com/mattn/go-isatty	v0.0.12
github.com/mattn/go-runewidth	v0.0.13
github.com/pierrec/lz4/v4	v4.1.8
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/rivo/uniseg	v0.2.0
github.com/stretchr/testify	v1.7.0
github.com/xtgo/set	v1.0.0
go4.org/unsafe/assume-no-moving-gc	v0.0.0-20211027215541-db492cf91b37
golang.org/x/exp	v0.0.0-20191002040644-a1355ae1e2c3
golang.org/x/net	v0.0.0-20220401154927-543a649e0bdd
golang.org/x/sys	v0.0.0-20220330033206-e17cdc41300f
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
gonum.org/v1/gonum	v0.11.0
gonum.org/v1/netlib	v0.0.0-20220323200511-14de99971b2d
google.golang.org/protobuf	v1.28.0
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/cheggaaa/pb.v1	v1.0.28
gopkg.in/yaml.v3	v3.0.0-20200313102051-9f266ea9e77c
gorgonia.org/cu	v0.9.4
gorgonia.org/dawson	v1.2.0
gorgonia.org/tensor	v0.9.23
gorgonia.org/vecf32	v0.9.0
gorgonia.org/vecf64	v0.9.0
