cel.dev/expr	v0.25.1
cloud.google.com/go	v0.112.2
cloud.google.com/go/auth	v0.20.0
cloud.google.com/go/auth/oauth2adapt	v0.2.8
cloud.google.com/go/compute/metadata	v0.9.0
cloud.google.com/go/longrunning	v0.5.6
cloud.google.com/go/translate	v1.10.3
codeberg.org/go-fonts/liberation	v0.5.0
codeberg.org/go-latex/latex	v0.1.0
codeberg.org/go-pdf/fpdf	v0.10.0
dario.cat/mergo	v1.0.2
git.sr.ht/~sbinet/gg	v0.6.0
github.com/Azure/azure-sdk-for-go/sdk/azcore	v1.21.1
github.com/Azure/azure-sdk-for-go/sdk/azidentity	v1.13.1
github.com/Azure/azure-sdk-for-go/sdk/azidentity/cache	v0.3.2
github.com/Azure/azure-sdk-for-go/sdk/internal	v1.12.0
github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/compute/armcompute/v5	v5.7.0
github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/network/armnetwork/v4	v4.3.0
github.com/Azure/go-ansiterm	v0.0.0-20250102033503-faa5f7b0171c
github.com/AzureAD/microsoft-authentication-extensions-for-go/cache	v0.1.1
github.com/AzureAD/microsoft-authentication-library-for-go	v1.6.0
github.com/ClickHouse/ch-go	v0.73.0
github.com/ClickHouse/clickhouse-go/v2	v2.47.0
github.com/Code-Hex/go-generics-cache	v1.5.1
github.com/GehirnInc/crypt	v0.0.0-20230320061759-8cc1b52080c5
github.com/GoogleCloudPlatform/opentelemetry-operations-go/detectors/gcp	v1.31.0
github.com/IBM/sarama	v1.43.1
github.com/KimMachineGun/automemlimit	v0.7.5
github.com/Masterminds/semver/v3	v3.4.0
github.com/Microsoft/go-winio	v0.6.2
github.com/ag-ui-protocol/ag-ui/sdks/community/go	v0.0.0-20260605151526-e2c717d2194d
github.com/ajstarks/svgo	v0.0.0-20211024235047-1546f124cd8b
github.com/alecthomas/assert/v2	v2.11.0
github.com/alecthomas/kingpin/v2	v2.4.0
github.com/alecthomas/participle/v2	v2.1.4
github.com/alecthomas/repr	v0.4.0
github.com/alecthomas/units	v0.0.0-20240927000941-0f3dac36c52b
github.com/andybalholm/brotli	v1.2.1
github.com/antchfx/xmlquery	v1.5.1
github.com/antchfx/xpath	v1.3.6
github.com/antihax/optional	v1.0.0
github.com/apache/cassandra-gocql-driver/v2	v2.1.2
github.com/apache/thrift	v0.23.1-0.20260429145742-d2acd3c49e58
github.com/armon/go-metrics	v0.4.1
github.com/armon/go-socks5	v0.0.0-20160902184237-e75332964ef5
github.com/asaskevich/govalidator	v0.0.0-20230301143203-a9d515a09cc2
github.com/aws/aws-msk-iam-sasl-signer-go	v1.0.4
github.com/aws/aws-sdk-go	v1.55.8
github.com/aws/aws-sdk-go-v2	v1.42.0
github.com/aws/aws-sdk-go-v2/config	v1.32.25
github.com/aws/aws-sdk-go-v2/credentials	v1.19.24
github.com/aws/aws-sdk-go-v2/feature/ec2/imds	v1.18.29
github.com/aws/aws-sdk-go-v2/internal/configsources	v1.4.29
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2	v2.7.29
github.com/aws/aws-sdk-go-v2/internal/ini	v1.8.4
github.com/aws/aws-sdk-go-v2/internal/v4a	v1.4.30
github.com/aws/aws-sdk-go-v2/service/ec2	v1.304.0
github.com/aws/aws-sdk-go-v2/service/ecs	v1.81.0
github.com/aws/aws-sdk-go-v2/service/elasticache	v1.52.2
github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding	v1.13.12
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url	v1.13.29
github.com/aws/aws-sdk-go-v2/service/kafka	v1.52.0
github.com/aws/aws-sdk-go-v2/service/lightsail	v1.54.0
github.com/aws/aws-sdk-go-v2/service/rds	v1.118.2
github.com/aws/aws-sdk-go-v2/service/signin	v1.2.0
github.com/aws/aws-sdk-go-v2/service/sso	v1.31.3
github.com/aws/aws-sdk-go-v2/service/ssooidc	v1.36.6
github.com/aws/aws-sdk-go-v2/service/sts	v1.43.3
github.com/aws/smithy-go	v1.27.1
github.com/bahlo/generic-list-go	v0.2.0
github.com/basgys/goxml2json	v1.1.1-0.20231018121955-e66ee54ceaad
github.com/bboreham/go-loser	v0.0.0-20230920113527-fcc2c21820a3
github.com/beorn7/perks	v1.0.1
github.com/bitly/go-hostpool	v0.0.0-20171023180738-a3a6125de932
github.com/bmizerany/assert	v0.0.0-20160611221934-b7ed37b82869
github.com/buger/jsonparser	v1.1.2
github.com/campoy/embedmd	v1.0.0
github.com/cenkalti/backoff/v4	v4.3.0
github.com/cenkalti/backoff/v5	v5.0.3
github.com/cenkalti/backoff/v6	v6.0.1
github.com/cespare/xxhash/v2	v2.3.0
github.com/cncf/xds/go	v0.0.0-20260202195803-dba9d589def2
github.com/coder/acp-go-sdk	v0.13.0
github.com/containerd/errdefs	v1.0.0
github.com/containerd/errdefs/pkg	v0.3.0
github.com/containerd/log	v0.1.0
github.com/containerd/platforms	v0.2.1
github.com/coreos/go-systemd/v22	v22.7.0
github.com/cpuguy83/dockercfg	v0.3.2
github.com/cpuguy83/go-md2man/v2	v2.0.6
github.com/creack/pty	v1.1.9
github.com/cyphar/filepath-securejoin	v0.4.1
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/dennwc/varint	v1.0.0
github.com/dgraph-io/badger/v4	v4.9.2
github.com/dgraph-io/ristretto/v2	v2.2.0
github.com/dgryski/go-farm	v0.0.0-20240924180020-3414d57e47da
github.com/digitalocean/godo	v1.193.0
github.com/distribution/reference	v0.6.0
github.com/dmarkham/enumer	v1.6.3
github.com/docker/go-connections	v0.7.0
github.com/docker/go-units	v0.5.0
github.com/dustin/go-humanize	v1.0.1
github.com/eapache/go-resiliency	v1.6.0
github.com/eapache/go-xerial-snappy	v0.0.0-20230731223053-c322873962e3
github.com/eapache/queue	v1.1.0
github.com/ebitengine/purego	v0.10.1
github.com/edsrzf/mmap-go	v1.2.1-0.20241212181136-fad1cd13edbd
github.com/elastic/elastic-transport-go/v8	v8.9.0
github.com/elastic/go-elasticsearch/v9	v9.4.2
github.com/elastic/go-grok	v0.3.1
github.com/elastic/go-licenser	v0.4.2
github.com/elastic/lunes	v0.2.2
github.com/emicklei/go-restful/v3	v3.12.2
github.com/envoyproxy/go-control-plane	v0.14.0
github.com/envoyproxy/go-control-plane/envoy	v1.37.0
github.com/envoyproxy/go-control-plane/ratelimit	v0.1.0
github.com/envoyproxy/protoc-gen-validate	v1.3.3
github.com/expr-lang/expr	v1.17.8
github.com/facette/natsort	v0.0.0-20181210072756-2cd4dd1e2dcb
github.com/fatih/color	v1.18.0
github.com/felixge/fgprof	v0.9.5
github.com/felixge/httpsnoop	v1.0.4
github.com/foxboron/go-tpm-keyfiles	v0.0.0-20251226215517-609e4778396f
github.com/frankban/quicktest	v1.14.6
github.com/fsnotify/fsnotify	v1.10.1
github.com/fxamacker/cbor/v2	v2.9.0
github.com/go-faster/city	v1.0.1
github.com/go-faster/errors	v0.7.1
github.com/go-jose/go-jose/v4	v4.1.4
github.com/go-kit/log	v0.2.1
github.com/go-logfmt/logfmt	v0.6.0
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/go-logr/zapr	v1.3.0
github.com/go-ole/go-ole	v1.3.0
github.com/go-openapi/analysis	v0.25.0
github.com/go-openapi/errors	v0.22.7
github.com/go-openapi/jsonpointer	v0.23.1
github.com/go-openapi/jsonreference	v0.21.5
github.com/go-openapi/loads	v0.23.3
github.com/go-openapi/spec	v0.22.4
github.com/go-openapi/strfmt	v0.26.2
github.com/go-openapi/swag	v0.25.5
github.com/go-openapi/swag/cmdutils	v0.25.5
github.com/go-openapi/swag/conv	v0.25.5
github.com/go-openapi/swag/fileutils	v0.25.5
github.com/go-openapi/swag/jsonname	v0.26.0
github.com/go-openapi/swag/jsonutils	v0.25.5
github.com/go-openapi/swag/loading	v0.25.5
github.com/go-openapi/swag/mangling	v0.25.5
github.com/go-openapi/swag/netutils	v0.25.5
github.com/go-openapi/swag/stringutils	v0.25.5
github.com/go-openapi/swag/typeutils	v0.25.5
github.com/go-openapi/swag/yamlutils	v0.25.5
github.com/go-openapi/validate	v0.25.2
github.com/go-resty/resty/v2	v2.17.2
github.com/go-task/slim-sprig	v0.0.0-20230315185526-52ccab3ef572
github.com/go-viper/mapstructure/v2	v2.5.0
github.com/go-zookeeper/zk	v1.0.4
github.com/gobuffalo/here	v0.6.0
github.com/gobwas/glob	v0.2.3
github.com/goccmack/gocc	v1.0.2
github.com/goccy/go-json	v0.10.6
github.com/goccy/go-yaml	v1.19.2
github.com/gogo/googleapis	v1.4.1
