github.com/davecgh/go-spew	v1.1.1
github.com/google/go-cmp	v0.6.0
github.com/jackc/pgpassfile	v1.0.0
github.com/jackc/pgservicefile	v0.0.0-20221227161230-091c0ba34f0a
github.com/jackc/pgx/v5	v5.4.3
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/lib/pq	v1.10.9
github.com/neilotoole/slogt	v1.1.0
github.com/pmezard/go-difflib	v1.0.0
github.com/rogpeppe/go-internal	v1.12.0
github.com/stretchr/testify	v1.9.0
golang.org/x/crypto	v0.35.0
golang.org/x/mod	v0.27.0
golang.org/x/sync	v0.16.0
golang.org/x/text	v0.28.0
golang.org/x/tools	v0.36.0
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v3	v3.0.1
