github.com/dave/astrid	v0.0.0-20170323122508-8c2895878b14
github.com/dave/brenda	v1.1.0
github.com/dave/courtney	v0.3.0
github.com/dave/gopackages	v0.0.0-20170318123100-46e7023ec56e
github.com/dave/jennifer	v1.6.0
github.com/dave/kerr	v0.0.0-20170318121727-bc25dd6abe8e
github.com/dave/patsy	v0.0.0-20210517141501-957256f50cba
github.com/dave/rebecca	v0.9.1
github.com/davecgh/go-spew	v1.1.1
github.com/google/go-cmp	v0.6.0
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/objx	v0.5.0
github.com/stretchr/testify	v1.8.1
github.com/yuin/goldmark	v1.4.13
golang.org/x/mod	v0.24.0
golang.org/x/net	v0.37.0
golang.org/x/sync	v0.12.0
golang.org/x/sys	v0.31.0
golang.org/x/telemetry	v0.0.0-20240521205824-bda55230c457
golang.org/x/tools	v0.31.0
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3	v3.0.1
