github.com/ajstarks/svgo	v0.0.0-20180226025133-644b8db467af
github.com/fogleman/gg	v1.2.1-0.20190220221249-0403632d5b90
github.com/golang/freetype	v0.0.0-20170609003504-e2365dfdc4a0
github.com/jung-kurt/gofpdf	v1.0.3-0.20190309125859-24315acbbda5
golang.org/x/exp	v0.0.0-20190125153040-c74c464bbbf2
golang.org/x/image	v0.0.0-20180708004352-c73c2afc3b81
golang.org/x/tools	v0.0.0-20190206041539-40960b6deb8e
gonum.org/v1/gonum	v0.8.2
gonum.org/v1/netlib	v0.0.0-20190313105609-8cb42192e0e0
gonum.org/v1/plot	v0.0.0-20190515093506-e2840ee46a6b
rsc.io/pdf	v0.1.1
