cel.dev/expr	v0.25.1
cyphar.com/go-pathrs	v0.2.5
dario.cat/mergo	v1.0.2
github.com/Azure/go-ansiterm	v0.0.0-20250102033503-faa5f7b0171c
github.com/MakeNowJust/heredoc	v1.0.0
github.com/Masterminds/goutils	v1.1.1
github.com/Masterminds/semver	v1.5.0
github.com/Masterminds/semver/v3	v3.5.0
github.com/Masterminds/sprig	v2.22.0+incompatible
github.com/Masterminds/sprig/v3	v3.3.0
github.com/Masterminds/squirrel	v1.5.4
github.com/Microsoft/go-winio	v0.6.3-0.20251027160822-ad3df93bed29
github.com/Microsoft/hcsshim	v0.15.0-rc.1
github.com/NYTimes/gziphandler	v1.1.1
github.com/antlr4-go/antlr/v4	v4.13.1
github.com/asaskevich/govalidator	v0.0.0-20230301143203-a9d515a09cc2
github.com/avast/retry-go	v3.0.0+incompatible
github.com/beorn7/perks	v1.0.1
github.com/blang/semver/v4	v4.0.0
github.com/bombsimon/logrusr/v4	v4.1.0
github.com/cenkalti/backoff/v5	v5.0.3
github.com/cespare/xxhash/v2	v2.3.0
github.com/chai2010/gettext-go	v1.0.2
github.com/cilium/ebpf	v0.22.0
github.com/clipperhouse/uax29/v2	v2.7.0
github.com/cloudflare/cfssl	v1.6.5
github.com/containerd/cgroups/v3	v3.1.3
github.com/containerd/console	v1.0.5
github.com/containerd/containerd/api	v1.11.1
github.com/containerd/containerd/v2	v2.3.2
github.com/containerd/continuity	v0.5.0
github.com/containerd/errdefs	v1.0.0
github.com/containerd/errdefs/pkg	v0.3.0
github.com/containerd/fifo	v1.1.0
github.com/containerd/go-cni	v1.1.13
github.com/containerd/go-runc	v1.1.0
github.com/containerd/log	v0.1.0
github.com/containerd/platforms	v1.0.0-rc.4
github.com/containerd/plugin	v1.1.0
github.com/containerd/ttrpc	v1.2.8
github.com/containerd/typeurl/v2	v2.3.0
github.com/containernetworking/cni	v1.3.0
github.com/containernetworking/plugins	v1.9.1
github.com/coreos/go-semver	v0.3.1
github.com/coreos/go-systemd/v22	v22.7.0
github.com/cpuguy83/go-md2man/v2	v2.0.7
github.com/cyphar/filepath-securejoin	v0.7.0
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/distribution/reference	v0.6.0
github.com/docker/go-connections	v0.6.0
github.com/docker/go-units	v0.5.0
github.com/dustin/go-humanize	v1.0.1
github.com/emicklei/go-restful/v3	v3.13.0
github.com/euank/go-kmsg-parser	v2.0.0+incompatible
github.com/evanphx/json-patch	v5.9.11+incompatible
github.com/evanphx/json-patch/v5	v5.9.11
github.com/exponent-io/jsonpath	v0.0.0-20210407135951-1de76d718b3f
github.com/fatih/camelcase	v1.0.0
github.com/fatih/color	v1.19.0
github.com/felixge/httpsnoop	v1.0.4
github.com/fsnotify/fsnotify	v1.10.1
github.com/fxamacker/cbor/v2	v2.9.1
github.com/gabriel-vasile/mimetype	v1.4.13
github.com/ghodss/yaml	v1.0.0
github.com/go-errors/errors	v1.4.2
github.com/go-gorp/gorp/v3	v3.1.0
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/go-openapi/jsonpointer	v1.0.0
github.com/go-openapi/jsonreference	v0.21.4
github.com/go-openapi/swag	v0.26.1
