github.com/alicebob/gopher-json	v0.0.0-20180125190556-5a6b3ba71ee6
github.com/alicebob/miniredis/v2	v2.11.4
github.com/chzyer/logex	v1.1.10
github.com/chzyer/readline	v0.0.0-20180603132655-2972be24d48e
github.com/chzyer/test	v0.0.0-20180213035817-a1ea475d72b1
github.com/davecgh/go-spew	v1.1.0
github.com/fsnotify/fsnotify	v1.4.7
github.com/go-redis/redis/v7	v7.2.0
github.com/golang/protobuf	v1.3.2
github.com/gomodule/redigo	v1.7.1-0.20190322064113-39e2c31b7ca3
github.com/hpcloud/tail	v1.0.0
github.com/imdario/mergo	v0.3.9
github.com/kr/pretty	v0.1.0
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.1.0
github.com/onsi/ginkgo	v1.11.0
github.com/onsi/gomega	v1.8.1
github.com/pmezard/go-difflib	v1.0.0
github.com/ssgreg/repeat	v1.5.0
github.com/stretchr/objx	v0.1.0
github.com/stretchr/testify	v1.5.1
github.com/yuin/gopher-lua	v0.0.0-20191220021717-ab39c6098bdb
golang.org/x/crypto	v0.0.0-20190308221718-c2843e01d9a2
golang.org/x/net	v0.0.0-20190923162816-aa69164e4478
golang.org/x/sync	v0.0.0-20180314180146-1d60e4601c6f
golang.org/x/sys	v0.0.0-20191010194322-b09406accb47
golang.org/x/text	v0.3.2
golang.org/x/tools	v0.0.0-20180917221912-90fa682c2a6e
golang.org/x/xerrors	v0.0.0-20190717185122-a985d3407aa7
gopkg.in/check.v1	v1.0.0-20190902080502-41f04d3bba15
gopkg.in/fsnotify.v1	v1.4.7
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v2	v2.2.7
