dario.cat/mergo	v1.0.2
github.com/Microsoft/go-winio	v0.6.2
github.com/ProtonMail/go-crypto	v1.3.0
github.com/anmitsu/go-shlex	v0.0.0-20200514113438-38f4b401e2be
github.com/armon/go-socks5	v0.0.0-20160902184237-e75332964ef5
github.com/briandowns/spinner	v1.23.2
github.com/cloudflare/circl	v1.6.2
github.com/cyphar/filepath-securejoin	v0.6.1
github.com/davecgh/go-spew	v1.1.1
github.com/elazarl/goproxy	v1.7.2
github.com/emirpasic/gods	v1.18.1
github.com/fatih/color	v1.18.0
github.com/gliderlabs/ssh	v0.3.8
github.com/go-git/gcfg	v1.5.1-0.20230307220236-3a3c6141e376
github.com/go-git/go-billy/v5	v5.7.0
github.com/go-git/go-git-fixtures/v4	v4.3.2-0.20231010084843-55a94097c399
github.com/go-git/go-git/v5	v5.16.4
github.com/golang/groupcache	v0.0.0-20241129210726-2c02b8208cf8
github.com/google/go-cmp	v0.7.0
github.com/gookit/assert	v0.1.1
github.com/gookit/color	v1.6.0
github.com/jbenet/go-context	v0.0.0-20150711004518-d14ea06fba99
github.com/kevinburke/ssh_config	v1.4.0
github.com/klauspost/cpuid/v2	v2.3.0
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.20
github.com/onsi/gomega	v1.34.1
github.com/pjbgf/sha1cd	v0.5.0
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/rogpeppe/go-internal	v1.14.1
github.com/sergi/go-diff	v1.4.0
github.com/skeema/knownhosts	v1.3.2
github.com/stretchr/testify	v1.11.1
github.com/xanzy/ssh-agent	v0.3.3
github.com/xo/terminfo	v0.0.0-20220910002029-abceb7e1c41e
golang.org/x/crypto	v0.46.0
golang.org/x/exp	v0.0.0-20240719175910-8a7402abbf56
golang.org/x/net	v0.48.0
golang.org/x/sys	v0.39.0
golang.org/x/term	v0.38.0
golang.org/x/text	v0.32.0
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/warnings.v0	v0.1.2
gopkg.in/yaml.v3	v3.0.1
