4d63.com/gocheckcompilerdirectives	v1.2.1
4d63.com/gochecknoglobals	v0.2.1
cel.dev/expr	v0.25.1
cloud.google.com/go	v0.123.0
cloud.google.com/go/auth	v0.20.0
cloud.google.com/go/auth/oauth2adapt	v0.2.8
cloud.google.com/go/compute/metadata	v0.9.0
cloud.google.com/go/iam	v1.7.0
cloud.google.com/go/monitoring	v1.24.3
cloud.google.com/go/storage	v1.62.1
dario.cat/mergo	v1.0.1
filippo.io/edwards25519	v1.1.0
filippo.io/mkcert	v1.4.4
fyne.io/systray	v1.11.0
github.com/Abirdcfly/dupword	v0.0.11
github.com/AdaLogics/go-fuzz-headers	v0.0.0-20240806141605-e8a1dd7889d6
github.com/AdamKorcz/go-118-fuzz-build	v0.0.0-20230306123547-8075edf89bb0
github.com/AlekSi/pointer	v1.2.0
github.com/Antonboom/errname	v0.1.9
github.com/Antonboom/nilnil	v0.1.4
github.com/AudriusButkevicius/recli	v0.0.7-0.20220911121932-d000ce8fbf0f
github.com/Azure/go-ansiterm	v0.0.0-20250102033503-faa5f7b0171c
github.com/Azure/go-ntlmssp	v0.0.0-20221128193559-754e69321358
github.com/BurntSushi/toml	v1.4.1-0.20240526193622-a339e1f7089c
github.com/DATA-DOG/go-sqlmock	v1.5.2
github.com/Djarvur/go-err113	v0.1.0
github.com/GaijinEntertainment/go-exhaustruct/v2	v2.3.0
github.com/GoogleCloudPlatform/opentelemetry-operations-go/detectors/gcp	v1.31.0
github.com/GoogleCloudPlatform/opentelemetry-operations-go/exporter/metric	v0.55.0
github.com/GoogleCloudPlatform/opentelemetry-operations-go/internal/resourcemapping	v0.55.0
github.com/MakeNowJust/heredoc	v1.0.0
github.com/Masterminds/goutils	v1.1.1
github.com/Masterminds/semver	v1.5.0
github.com/Masterminds/semver/v3	v3.3.0
github.com/Masterminds/sprig	v2.22.0+incompatible
github.com/Masterminds/sprig/v3	v3.3.0
github.com/Masterminds/squirrel	v1.5.4
github.com/Masterminds/vcs	v1.13.3
github.com/Microsoft/cosesign1go	v1.4.0
github.com/Microsoft/didx509go	v0.0.3
github.com/Microsoft/go-winio	v0.6.2
github.com/Microsoft/hcsshim	v0.13.0
github.com/NYTimes/gziphandler	v1.1.1
github.com/OneOfOne/xxhash	v1.2.8
github.com/OpenPeeDeeP/depguard	v1.1.1
github.com/ProtonMail/go-crypto	v1.0.0
github.com/PuerkitoBio/goquery	v1.5.1
github.com/Shopify/logrus-bugsnag	v0.0.0-20170309145241-6dbc35f2c30d
github.com/agnivade/levenshtein	v1.2.0
github.com/akavel/rsrc	v0.10.2
github.com/akutz/memconn	v0.1.0
github.com/alecthomas/kingpin/v2	v2.4.0
github.com/alecthomas/kong	v1.6.0
github.com/alecthomas/template	v0.0.0-20160405071501-a0175ee3bccc
github.com/alecthomas/units	v0.0.0-20211218093645-b94a6e3cc137
github.com/alexbrainman/sspi	v0.0.0-20231016080023-1a75b4708caa
github.com/alexkohler/prealloc	v1.0.0
github.com/alingse/asasalint	v0.0.11
github.com/andybalholm/brotli	v1.1.0
github.com/andybalholm/cascadia	v1.1.0
github.com/anmitsu/go-shlex	v0.0.0-20200514113438-38f4b401e2be
github.com/antihax/optional	v1.0.0
github.com/antlr4-go/antlr/v4	v4.13.0
github.com/armon/go-radix	v1.0.0
github.com/armon/go-socks5	v0.0.0-20160902184237-e75332964ef5
github.com/asaskevich/govalidator	v0.0.0-20230301143203-a9d515a09cc2
github.com/ashanbrown/forbidigo	v1.5.1
github.com/ashanbrown/makezero	v1.1.1
github.com/atotto/clipboard	v0.1.4
github.com/aws/aws-sdk-go	v1.55.5
github.com/aws/aws-sdk-go-v2	v1.24.1
github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream	v1.4.10
github.com/aws/aws-sdk-go-v2/config	v1.26.5
github.com/aws/aws-sdk-go-v2/credentials	v1.16.16
github.com/aws/aws-sdk-go-v2/feature/ec2/imds	v1.14.11
github.com/aws/aws-sdk-go-v2/feature/s3/manager	v1.11.64
github.com/aws/aws-sdk-go-v2/internal/configsources	v1.2.10
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2	v2.5.10
github.com/aws/aws-sdk-go-v2/internal/ini	v1.7.2
github.com/aws/aws-sdk-go-v2/internal/v4a	v1.0.25
github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding	v1.10.4
github.com/aws/aws-sdk-go-v2/service/internal/checksum	v1.1.28
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url	v1.10.10
github.com/aws/aws-sdk-go-v2/service/internal/s3shared	v1.14.2
github.com/aws/aws-sdk-go-v2/service/s3	v1.33.0
github.com/aws/aws-sdk-go-v2/service/ssm	v1.44.7
github.com/aws/aws-sdk-go-v2/service/sso	v1.18.7
github.com/aws/aws-sdk-go-v2/service/ssooidc	v1.21.7
github.com/aws/aws-sdk-go-v2/service/sts	v1.26.7
github.com/aws/smithy-go	v1.19.0
github.com/beorn7/perks	v1.0.1
github.com/bgentry/speakeasy	v0.1.0
github.com/bitly/go-hostpool	v0.1.0
github.com/bitly/go-simplejson	v0.5.0
github.com/bits-and-blooms/bitset	v1.13.0
github.com/bkielbasa/cyclop	v1.2.0
github.com/blakesmith/ar	v0.0.0-20190502131153-809d4375e1fb
github.com/blang/semver/v4	v4.0.0
github.com/blizzy78/varnamelen	v0.8.0
github.com/bmizerany/assert	v0.0.0-20160611221934-b7ed37b82869
github.com/bombsimon/wsl/v3	v3.4.0
github.com/bramvdbogaerde/go-scp	v1.4.0
github.com/breml/bidichk	v0.2.4
github.com/breml/errchkjson	v0.3.1
github.com/bshuster-repo/logrus-logstash-hook	v1.0.0
github.com/bugsnag/bugsnag-go	v1.0.5-0.20150529004307-13fd6b8acda0
github.com/bugsnag/osext	v0.0.0-20130617224835-0dd3f918b21b
github.com/bugsnag/panicwrap	v0.0.0-20151223152923-e2c28503fcd0
github.com/butuzov/ireturn	v0.2.0
github.com/calmh/incontainer	v1.0.0
github.com/calmh/xdr	v1.2.0
github.com/cavaliergopher/cpio	v1.0.1
github.com/ccding/go-stun	v0.1.5
github.com/cenkalti/backoff	v2.2.1+incompatible
github.com/cenkalti/backoff/v4	v4.3.0
github.com/certifi/gocertifi	v0.0.0-20210507211836-431795d63e8d
github.com/cespare/xxhash/v2	v2.3.0
github.com/chai2010/gettext-go	v1.0.2
github.com/charithe/durationcheck	v0.0.10
github.com/chavacava/garif	v0.0.0-20230227094218-b8c73b2037b8
github.com/chmduquesne/rollinghash	v4.0.0+incompatible
github.com/chzyer/logex	v1.1.10
github.com/chzyer/readline	v1.5.1
github.com/chzyer/test	v0.0.0-20180213035817-a1ea475d72b1
github.com/cilium/ebpf	v0.16.0
github.com/cilium/ipam	v0.0.0-20230509084518-fd66eae7909b
github.com/cloudflare/cfssl	v0.0.0-20180223231731-4e2dcbde5004
github.com/cloudflare/circl	v1.3.7
github.com/cncf/xds/go	v0.0.0-20251210132809-ee656c7534f5
github.com/coder/websocket	v1.8.12
github.com/containerd/aufs	v1.0.0
github.com/containerd/btrfs/v2	v2.0.0
github.com/containerd/cgroups	v1.1.0
github.com/containerd/cgroups/v3	v3.0.5
github.com/containerd/console	v1.0.4
github.com/containerd/containerd	v1.7.27
github.com/containerd/containerd/api	v1.10.0
github.com/containerd/containerd/v2	v2.1.5
github.com/containerd/continuity	v0.4.5
github.com/containerd/errdefs	v1.0.0
github.com/containerd/errdefs/pkg	v0.3.0
github.com/containerd/fifo	v1.1.0
github.com/containerd/go-cni	v1.1.9
github.com/containerd/go-runc	v1.1.0
github.com/containerd/imgcrypt	v1.1.8
github.com/containerd/log	v0.1.0
github.com/containerd/nri	v0.8.0
github.com/containerd/platforms	v0.2.1
github.com/containerd/plugin	v1.0.0
github.com/containerd/protobuild	v0.3.0
github.com/containerd/stargz-snapshotter/estargz	v0.15.1
github.com/containerd/ttrpc	v1.2.7
github.com/containerd/typeurl	v1.0.2
github.com/containerd/typeurl/v2	v2.2.3
github.com/containerd/zfs	v1.1.0
github.com/containernetworking/cni	v1.1.2
github.com/containernetworking/plugins	v1.2.0
github.com/containers/ocicrypt	v1.1.10
github.com/coreos/go-iptables	v0.7.1-0.20240112124308-65c67c9f46e6
github.com/coreos/go-oidc	v2.2.1+incompatible
github.com/coreos/go-semver	v0.3.1
github.com/coreos/go-systemd	v0.0.0-20191104093116-d3cd4ed1dbcf
github.com/coreos/go-systemd/v22	v22.6.0
github.com/cpuguy83/go-md2man/v2	v2.0.6
github.com/creack/pty	v1.1.24
github.com/curioswitch/go-reassign	v0.2.0
github.com/cyphar/filepath-securejoin	v0.4.1
github.com/d4l3k/messagediff	v1.2.1
github.com/daixiang0/gci	v0.10.1
github.com/danieljoos/wincred	v1.2.1
github.com/dave/astrid	v0.0.0-20170323122508-8c2895878b14
github.com/dave/brenda	v1.1.0
github.com/dave/courtney	v0.4.0
github.com/dave/patsy	v0.0.0-20210517141501-957256f50cba
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/dblohm7/wingoes	v0.0.0-20240119213807-a09d6be7affa
github.com/decred/dcrd/dcrec/secp256k1/v4	v4.2.0
github.com/denis-tingaikin/go-header	v0.4.3
github.com/denisenkom/go-mssqldb	v0.9.0
github.com/dgryski/go-rendezvous	v0.0.0-20200823014737-9f7001d12a5f
github.com/digitalocean/go-smbios	v0.0.0-20180907143718-390a4f403a8e
github.com/distribution/distribution/v3	v3.0.0-rc.3
github.com/distribution/reference	v0.6.0
github.com/djherbis/times	v1.6.0
github.com/docker/cli	v27.5.1+incompatible
github.com/docker/distribution	v2.8.3+incompatible
github.com/docker/docker	v27.5.1+incompatible
github.com/docker/docker-credential-helpers	v0.8.2
github.com/docker/go	v1.5.1-1.0.20160303222718-d30aec9fd63c
github.com/docker/go-connections	v0.5.0
github.com/docker/go-events	v0.0.0-20250114142523-c867878c5e32
github.com/docker/go-metrics	v0.0.1
github.com/docker/go-units	v0.5.0
github.com/docker/libcontainer	v2.2.1+incompatible
github.com/docker/libtrust	v0.0.0-20160708172513-aabc10ec26b7
github.com/dsnet/try	v0.0.3
github.com/dustin/go-humanize	v1.0.1
github.com/dvsekhvalnov/jose2go	v0.0.0-20170216131308-f21a8cedbbae
github.com/dvyukov/go-fuzz	v0.0.0-20210103155950-6a8e9d1f2415
github.com/ebitengine/purego	v0.8.3
github.com/elastic/crd-ref-docs	v0.0.12
github.com/emicklei/go-restful/v3	v3.12.2
github.com/emirpasic/gods	v1.18.1
github.com/envoyproxy/go-control-plane	v0.14.0
github.com/envoyproxy/go-control-plane/envoy	v1.36.0
github.com/envoyproxy/go-control-plane/ratelimit	v0.1.0
github.com/envoyproxy/protoc-gen-validate	v1.3.0
github.com/erikstmartin/go-testdb	v0.0.0-20160219214506-8d10e4a1bae5
github.com/esimonov/ifshort	v1.0.4
github.com/ettle/strcase	v0.1.1
github.com/evanphx/json-patch	v5.9.11+incompatible
github.com/evanphx/json-patch/v5	v5.9.11
github.com/evanw/esbuild	v0.19.11
github.com/exponent-io/jsonpath	v0.0.0-20210407135951-1de76d718b3f
github.com/fatih/camelcase	v1.0.0
github.com/fatih/color	v1.18.0
github.com/fatih/structtag	v1.2.0
github.com/felixge/httpsnoop	v1.0.4
github.com/firefart/nonamedreturns	v1.0.4
github.com/fogleman/gg	v1.3.0
github.com/foxcpp/go-mockdns	v1.1.0
github.com/francoispqt/gojay	v1.2.13
github.com/frankban/quicktest	v1.14.6
github.com/fsnotify/fsnotify	v1.8.0
github.com/fvbommel/sortorder	v1.1.0
github.com/fxamacker/cbor/v2	v2.7.0
github.com/fzipp/gocyclo	v0.6.0
github.com/gaissmai/bart	v0.11.1
github.com/getsentry/raven-go	v0.2.0
github.com/gliderlabs/ssh	v0.3.8
github.com/go-asn1-ber/asn1-ber	v1.5.7
github.com/go-critic/go-critic	v0.8.0
github.com/go-errors/errors	v1.5.1
github.com/go-git/gcfg	v1.5.1-0.20230307220236-3a3c6141e376
github.com/go-git/go-billy/v5	v5.5.0
github.com/go-git/go-git/v5	v5.11.0
github.com/go-gorp/gorp/v3	v3.1.0
github.com/go-ini/ini	v1.67.0
github.com/go-jose/go-jose/v3	v3.0.3
github.com/go-jose/go-jose/v4	v4.1.4
github.com/go-json-experiment/json	v0.0.0-20231102232822-2e55bd4e08b0
github.com/go-kit/kit	v0.8.0
github.com/go-ldap/ldap/v3	v3.4.10
github.com/go-logfmt/logfmt	v0.6.0
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/go-logr/zapr	v1.3.0
github.com/go-ole/go-ole	v1.3.0
github.com/go-openapi/jsonpointer	v0.21.1
github.com/go-openapi/jsonreference	v0.21.0
github.com/go-openapi/swag	v0.23.1
github.com/go-sql-driver/mysql	v1.8.1
github.com/go-stack/stack	v1.8.0
github.com/go-task/slim-sprig	v0.0.0-20230315185526-52ccab3ef572
github.com/go-task/slim-sprig/v3	v3.0.0
github.com/go-toolsmith/astcast	v1.1.0
github.com/go-toolsmith/astcopy	v1.1.0
github.com/go-toolsmith/astequal	v1.1.0
github.com/go-toolsmith/astfmt	v1.1.0
github.com/go-toolsmith/astp	v1.1.0
github.com/go-toolsmith/strparse	v1.1.0
github.com/go-toolsmith/typep	v1.1.0
github.com/go-viper/mapstructure/v2	v2.2.1
github.com/go-xmlfmt/xmlfmt	v1.1.2
github.com/gobuffalo/flect	v1.0.2
github.com/gobwas/glob	v0.2.3
github.com/goccy/go-json	v0.10.2
github.com/goccy/go-yaml	v1.12.0
github.com/godbus/dbus/v5	v5.1.1-0.20230522191255-76236955d466
github.com/godror/godror	v0.40.4
github.com/godror/knownpb	v0.1.1
github.com/gofrs/flock	v0.12.1
github.com/gogo/protobuf	v1.3.2
github.com/golang-jwt/jwt/v4	v4.5.0
github.com/golang-sql/civil	v0.0.0-20190719163853-cb61b32ac6fe
github.com/golang/freetype	v0.0.0-20170609003504-e2365dfdc4a0
github.com/golang/glog	v1.2.5
github.com/golang/groupcache	v0.0.0-20241129210726-2c02b8208cf8
github.com/golang/protobuf	v1.5.4
github.com/golang/snappy	v0.0.4
github.com/golangci/check	v0.0.0-20180506172741-cfe4005ccda2
github.com/golangci/dupl	v0.0.0-20180902072040-3e9179ac440a
github.com/golangci/go-misc	v0.0.0-20220329215616-d24fe342adfe
github.com/golangci/gofmt	v0.0.0-20220901101216-f2edd75033f2
github.com/golangci/golangci-lint	v1.52.2
github.com/golangci/lint-1	v0.0.0-20191013205115-297bf364a8e0
