filippo.io/edwards25519	v1.1.0
github.com/BurntSushi/toml	v1.5.0
github.com/Yiling-J/theine-go	v0.6.1
github.com/bluele/gcache	v0.0.2
github.com/cespare/xxhash/v2	v2.3.0
github.com/chromedp/cdproto	v0.0.0-20231011050154-1d073bb38998
github.com/chromedp/chromedp	v0.9.3
github.com/chromedp/sysutil	v1.0.0
github.com/davecgh/go-spew	v1.1.1
github.com/dgraph-io/ristretto	v1.0.0
github.com/dgryski/go-clockpro	v0.0.0-20140817124034-edc6d3eeb96e
github.com/dgryski/go-farm	v0.0.0-20200201041132-a6ae2369ad13
github.com/dustin/go-humanize	v1.0.1
github.com/go-echarts/go-echarts/v2	v2.5.4
github.com/go-echarts/snapshot-chromedp	v0.0.5
github.com/go-sql-driver/mysql	v1.8.1
github.com/gobwas/httphead	v0.1.0
github.com/gobwas/pool	v0.2.1
github.com/gobwas/ws	v1.3.0
github.com/google/go-cmp	v0.6.0
github.com/hashicorp/golang-lru/arc/v2	v2.0.7
github.com/hashicorp/golang-lru/v2	v2.0.7
github.com/jellydator/ttlcache/v3	v3.3.0
github.com/jmoiron/sqlx	v1.4.0
github.com/josharian/intern	v1.0.0
github.com/karlseguin/ccache/v3	v3.0.6
github.com/klauspost/compress	v1.18.0
github.com/klauspost/cpuid/v2	v2.0.9
github.com/kr/pretty	v0.2.1
github.com/kr/text	v0.2.0
github.com/ledongthuc/pdf	v0.0.0-20220302134840-0c2507a12d80
github.com/lib/pq	v1.10.9
github.com/magiconair/properties	v1.8.0
github.com/mailru/easyjson	v0.7.7
github.com/mattn/go-runewidth	v0.0.16
github.com/mattn/go-sqlite3	v1.14.22
github.com/maypok86/otter/plugin/pslog	
github.com/maypok86/otter/v2/benchmarks	
github.com/maypok86/otter/v2/docs	
github.com/olekukonko/tablewriter	v0.0.5
github.com/orisano/pixelmatch	v0.0.0-20220722002657-fb0b55479cde
github.com/pingcap/errors	v0.11.5-0.20211224045212-9687c2b0f87c
github.com/pingcap/go-ycsb	v1.0.1
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/rivo/uniseg	v0.2.0
github.com/scalalang2/golang-fifo/v2	v2.0.0-20231212012136-274aca942e14
github.com/stretchr/testify	v1.10.0
github.com/stretchr/testify	v1.11.1
github.com/ulikunitz/xz	v0.5.12
github.com/viccon/sturdyc	v1.1.5
github.com/zeebo/assert	v1.3.0
github.com/zeebo/xxh3	v1.0.2
go.uber.org/atomic	v1.9.0
go.uber.org/goleak	v1.3.0
golang.org/x/sync	v0.14.0
golang.org/x/sys	v0.34.0
golang.org/x/sys	v0.38.0
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/check.v1	v1.0.0-20180628173108-788fd7840127
gopkg.in/yaml.v3	v3.0.1
