github.com/Azure/azure-sdk-for-go	v68.0.0%2Bincompatible
github.com/Azure/azure-sdk-for-go/sdk/azcore	v1.22.0
github.com/Azure/azure-sdk-for-go/sdk/azidentity	v1.13.1
github.com/Azure/azure-sdk-for-go/sdk/data/azcosmos	v1.4.2
github.com/Azure/azure-sdk-for-go/sdk/internal	v1.12.0
github.com/AzureAD/microsoft-authentication-library-for-go	v1.6.0
github.com/alessandro-c/gomemcached-lock	v1.0.0
github.com/armon/go-metrics	v0.4.1
github.com/aws/aws-sdk-go-v2	v1.42.1
github.com/aws/aws-sdk-go-v2/config	v1.32.27
github.com/aws/aws-sdk-go-v2/credentials	v1.19.26
github.com/aws/aws-sdk-go-v2/feature/dynamodb/attributevalue	v1.20.50
github.com/aws/aws-sdk-go-v2/feature/ec2/imds	v1.18.30
github.com/aws/aws-sdk-go-v2/internal/configsources	v1.4.30
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2	v2.7.30
github.com/aws/aws-sdk-go-v2/internal/v4a	v1.4.31
github.com/aws/aws-sdk-go-v2/service/dynamodb	v1.59.2
github.com/aws/aws-sdk-go-v2/service/dynamodbstreams	v1.34.2
github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding	v1.13.13
github.com/aws/aws-sdk-go-v2/service/internal/endpoint-discovery	v1.12.7
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url	v1.13.30
github.com/aws/aws-sdk-go-v2/service/signin	v1.2.2
github.com/aws/aws-sdk-go-v2/service/sso	v1.31.5
github.com/aws/aws-sdk-go-v2/service/ssooidc	v1.36.8
github.com/aws/aws-sdk-go-v2/service/sts	v1.43.5
github.com/aws/smithy-go	v1.27.3
github.com/bradfitz/gomemcache	v0.0.0-20250403215159-8d39553ac7cf
github.com/bsm/ginkgo/v2	v2.12.0
github.com/bsm/gomega	v1.27.10
github.com/cenkalti/backoff/v3	v3.2.2
github.com/cespare/xxhash/v2	v2.3.0
github.com/coreos/go-semver	v0.3.1
github.com/coreos/go-systemd/v22	v22.5.0
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/dgryski/go-rendezvous	v0.0.0-20200823014737-9f7001d12a5f
github.com/fatih/color	v1.16.0
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/go-redis/redis	v6.15.9%2Bincompatible
github.com/go-redis/redis/v7	v7.4.1
github.com/go-redis/redis/v8	v8.11.5
github.com/go-redsync/redsync/v4	v4.16.0
github.com/go-viper/mapstructure/v2	v2.4.0
github.com/gogo/protobuf	v1.3.2
github.com/golang-jwt/jwt/v5	v5.3.0
github.com/golang/protobuf	v1.5.4
github.com/gomodule/redigo	v1.9.3
github.com/google/btree	v1.0.1
github.com/google/go-cmp	v0.7.0
github.com/google/uuid	v1.6.0
github.com/grpc-ecosystem/grpc-gateway/v2	v2.26.3
github.com/hashicorp/consul/api	v1.34.1
github.com/hashicorp/consul/sdk	v0.17.2
github.com/hashicorp/errwrap	v1.1.0
github.com/hashicorp/go-cleanhttp	v0.5.2
github.com/hashicorp/go-hclog	v1.5.0
github.com/hashicorp/go-immutable-radix	v1.3.1
github.com/hashicorp/go-msgpack	v0.5.5
github.com/hashicorp/go-multierror	v1.1.1
github.com/hashicorp/go-rootcerts	v1.0.2
github.com/hashicorp/go-sockaddr	v1.0.2
github.com/hashicorp/go-uuid	v1.0.3
github.com/hashicorp/go-version	v1.2.1
github.com/hashicorp/golang-lru	v0.5.4
github.com/hashicorp/memberlist	v0.5.0
github.com/hashicorp/serf	v0.10.1
github.com/klauspost/cpuid/v2	v2.2.10
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/kylelemons/godebug	v1.1.0
github.com/lib/pq	v1.12.3
github.com/mattn/go-colorable	v0.1.13
github.com/mattn/go-isatty	v0.0.20
github.com/miekg/dns	v1.1.41
github.com/mitchellh/go-homedir	v1.1.0
github.com/pascaldekloe/goe	v0.1.0
github.com/pkg/browser	v0.0.0-20240102092130-5ac0b6a4141c
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.1-0.20181226105442-5d4384ee4fb2
github.com/redis/go-redis/v9	v9.21.0
github.com/redis/rueidis	v1.0.71
github.com/redis/rueidis/rueidiscompat	v1.0.71
github.com/rogpeppe/go-internal	v1.14.1
github.com/samuel/go-zookeeper	v0.0.0-20201211165307-7117e9ea2414
github.com/sean-/seed	v0.0.0-20170313163322-e2103e2c3529
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.11.1
github.com/stvp/tempredis	v0.0.0-20181119212430-b82af8480203
github.com/thanhpk/randstr	v1.0.4
github.com/zeebo/xxh3	v1.1.0
go.etcd.io/etcd/api/v3	v3.6.12
go.etcd.io/etcd/client/pkg/v3	v3.6.12
go.etcd.io/etcd/client/v3	v3.6.12
go.opentelemetry.io/auto/sdk	v1.2.1
go.opentelemetry.io/otel	v1.43.0
go.opentelemetry.io/otel/metric	v1.43.0
go.opentelemetry.io/otel/sdk	v1.43.0
go.opentelemetry.io/otel/sdk/metric	v1.43.0
go.opentelemetry.io/otel/trace	v1.43.0
go.uber.org/atomic	v1.11.0
go.uber.org/goleak	v1.3.0
go.uber.org/multierr	v1.11.0
go.uber.org/zap	v1.27.0
golang.org/x/crypto	v0.51.0
golang.org/x/exp	v0.0.0-20260218203240-3dfff04db8fa
golang.org/x/net	v0.55.0
golang.org/x/sync	v0.20.0
golang.org/x/sys	v0.45.0
golang.org/x/text	v0.37.0
gonum.org/v1/gonum	v0.17.0
google.golang.org/genproto/googleapis/api	v0.0.0-20260414002931-afd174a4e478
google.golang.org/genproto/googleapis/rpc	v0.0.0-20260414002931-afd174a4e478
google.golang.org/grpc	v1.82.0
google.golang.org/protobuf	v1.36.11
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v3	v3.0.1
