github.com/STARRY-S/zip	v0.2.3
github.com/andybalholm/brotli	v1.2.1
github.com/bodgit/plumbing	v1.3.0
github.com/bodgit/sevenzip	v1.6.4
github.com/bodgit/windows	v1.0.1
github.com/davecgh/go-spew	v1.1.1
github.com/dsnet/compress	v0.0.2-0.20230904184137-39efe44ab707
github.com/hashicorp/golang-lru/v2	v2.0.7
github.com/klauspost/compress	v1.18.6
github.com/klauspost/pgzip	v1.2.6
github.com/mikelolasagasti/xz	v1.0.1
github.com/minio/minlz	v1.1.1
github.com/nwaples/rardecode/v2	v2.2.3
github.com/pierrec/lz4/v4	v4.1.26
github.com/pmezard/go-difflib	v1.0.0
github.com/sorairolake/lzip-go	v0.3.8
github.com/spf13/afero	v1.15.0
github.com/stangelandcl/ppmd	v0.1.0
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.11.1
github.com/ulikunitz/xz	v0.5.15
github.com/xyproto/randomstring	v1.0.5
go4.org	v0.0.0-20260112195520-a5071408f32f
golang.org/x/sync	v0.20.0
golang.org/x/text	v0.37.0
gopkg.in/yaml.v3	v3.0.1
