github.com/davecgh/go-spew	v1.1.1
github.com/google/go-cmp	v0.5.8
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.11.1
github.com/tomasen/realip	v0.0.0-20180522021738-f0c99a92ddce
golang.org/x/exp	v0.0.0-20220613132600-b0d781184e0d
golang.org/x/mod	v0.6.0-dev.0.20220106191415-9b9b3d81d5e3
golang.org/x/sys	v0.0.0-20211019181941-9d821ace8654
golang.org/x/tools	v0.1.10
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3	v3.0.1
